"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Asteraceae"	"Cactaceae"	"Campanulaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Geraniaceae"	"Isoëtes"	"Malvaceae"	"Myrica"	"Poaceae"	"Podocarpus"	"Polylepis"	"Ranunculaceae"	"Solanaceae"
348	356	"Chacaltaya 2"	-16.36667	-68.15	155	"AWI"	155	5001	5748	5444	4	0	0	0	0	0	8	56	3	0	0	24	0	5	188	4	0	0	15
348	356	"Chacaltaya 2"	-16.36667	-68.15	160	"AWI"	160	5065	6017	5537	1	0	1	0	0	0	15	74	0	0	0	2	0	1	80	1	2	0	14
348	356	"Chacaltaya 2"	-16.36667	-68.15	170	"AWI"	170	5230	6314	5759	1	0	0	87	0	0	5	10	4	0	1	2	0	1	131	1	0	0	86
348	356	"Chacaltaya 2"	-16.36667	-68.15	180	"AWI"	180	5431	6573	5995	0	0	0	0	0	0	14	14	0	2	0	0	0	0	34	0	0	0	7
348	356	"Chacaltaya 2"	-16.36667	-68.15	190	"AWI"	190	5651	6797	6237	1	8	0	0	0	0	5	8	0	1	0	10	0	0	122	5	0	0	11
348	356	"Chacaltaya 2"	-16.36667	-68.15	200	"AWI"	200	5894	6983	6463	2	0	0	81	0	0	9	7	1	0	0	3	1	1	239	0	0	0	29
348	356	"Chacaltaya 2"	-16.36667	-68.15	210	"AWI"	210	6152	7158	6705	1	0	0	0	0	0	5	61	0	0	1	1	0	2	68	1	1	0	12
348	356	"Chacaltaya 2"	-16.36667	-68.15	220	"AWI"	220	6417	7316	6938	2	0	1	0	0	0	14	5	0	0	0	0	0	1	239	2	1	0	56
348	356	"Chacaltaya 2"	-16.36667	-68.15	235	"AWI"	235	6885	7551	7253	0	3	0	78	0	0	9	1	0	0	0	1	3	0	83	0	0	0	48
348	356	"Chacaltaya 2"	-16.36667	-68.15	245	"AWI"	245	7054	7785	7423	1	0	0	0	0	0	2	1	0	0	0	3	4	0	165	12	0	0	14
348	356	"Chacaltaya 2"	-16.36667	-68.15	255	"AWI"	255	7221	7970	7597	1	0	0	0	0	1	21	1	1	0	0	17	0	0	289	0	0	0	6
348	356	"Chacaltaya 2"	-16.36667	-68.15	270	"AWI"	270	7462	8220	7862	1	0	0	76	0	0	15	1	0	0	1	8	1	3	250	6	0	0	11
348	356	"Chacaltaya 2"	-16.36667	-68.15	280	"AWI"	280	7702	8361	8032	0	0	0	59	0	0	13	0	0	0	0	6	5	3	173	3	0	0	11
348	356	"Chacaltaya 2"	-16.36667	-68.15	285	"AWI"	285	7875	8467	8139	1	0	0	0	0	0	20	0	0	0	0	0	6	0	247	9	1	15	0
348	356	"Chacaltaya 2"	-16.36667	-68.15	290	"AWI"	290	7959	8664	8253	1	0	0	0	0	2	8	0	0	0	0	0	3	0	267	3	0	0	2
348	356	"Chacaltaya 2"	-16.36667	-68.15	295	"AWI"	295	8066	8878	8417	0	0	0	0	0	7	7	4	0	0	0	1	1	0	300	3	0	2	1
348	356	"Chacaltaya 2"	-16.36667	-68.15	305	"AWI"	305	8254	9434	8734	2	3	0	0	0	0	17	1	0	0	0	3	3	0	165	3	0	8	5
348	356	"Chacaltaya 2"	-16.36667	-68.15	310	"AWI"	310	8332	9718	8884	2	0	0	55	0	0	10	2	0	0	0	5	4	0	172	6	0	7	8
348	356	"Chacaltaya 2"	-16.36667	-68.15	325	"AWI"	325	8729	10200	9405	1	0	0	0	0	0	7	0	0	0	0	1	1	1	183	4	0	4	0
348	356	"Chacaltaya 2"	-16.36667	-68.15	340	"AWI"	340	9136	10712	9927	1	0	1	0	0	0	7	0	0	0	0	2	2	0	201	5	0	4	1
348	356	"Chacaltaya 2"	-16.36667	-68.15	360	"AWI"	360	9869	11250	10605	1	0	0	95	2	0	7	0	1	0	0	7	9	1	116	15	3	24	1
348	356	"Chacaltaya 2"	-16.36667	-68.15	375	"AWI"	375	10648	11633	11106	2	0	1	180	1	0	25	0	0	0	3	6	14	0	73	5	2	32	0
348	356	"Chacaltaya 2"	-16.36667	-68.15	380	"AWI"	380	10757	11878	11245	0	0	0	0	1	0	23	0	0	0	0	6	9	1	88	4	3	21	2
348	356	"Chacaltaya 2"	-16.36667	-68.15	385	"AWI"	385	10857	12068	11395	1	0	0	0	1	0	15	0	2	0	1	7	14	1	49	15	0	48	0
348	356	"Chacaltaya 2"	-16.36667	-68.15	395	"AWI"	395	11034	12600	11686	0	0	0	0	0	0	12	1	0	0	0	0	4	0	220	8	0	7	0
348	356	"Chacaltaya 2"	-16.36667	-68.15	408	"AWI"	408	11286	13188	12079	0	0	1	0	0	0	14	0	0	0	1	4	15	1	164	13	4	4	0
348	356	"Chacaltaya 2"	-16.36667	-68.15	415	"AWI"	415	11427	13543	12295	3	0	1	0	0	0	12	3	0	0	0	1	3	0	203	11	2	16	3
