"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cephalanthus"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Lamiaceae"	"Leitneria"	"Liliaceae"	"Liquidambar"	"Magnolia"	"Morus"	"Myrica"	"Nyssa"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnaceae"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
940	969	"Goshen Springs"	31.72111	-86.13417	355	"AWI"	355	39636	45236	41847	0	0	5	1	4	0	0	0	0	0	13	0	17	0	0	0	0	3	13	20	0	1	0	1	25	0	0	0	0	0	7	1	0	2	6	5	1	0	0	0	0	0	6	0	52	0	0	1	0	0	0	1	0	1	0	0	2	0	0	0
940	969	"Goshen Springs"	31.72111	-86.13417	365	"AWI"	365	40271	46460	42797	0	0	4	4	4	0	0	1	0	0	20	0	83	0	0	0	0	0	23	28	0	1	0	4	47	0	0	1	3	0	36	1	0	5	19	0	1	1	0	0	0	0	6	1	75	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0
940	969	"Goshen Springs"	31.72111	-86.13417	375	"AWI"	375	40995	47593	43735	1	0	8	2	1	0	0	1	0	0	14	0	88	0	0	0	0	3	10	4	0	2	0	1	21	0	0	0	3	0	13	0	0	3	9	4	2	1	0	0	0	0	6	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
940	969	"Goshen Springs"	31.72111	-86.13417	385	"AWI"	385	41698	48717	44699	0	0	8	2	0	2	0	0	0	0	31	0	57	0	1	0	0	0	7	4	0	3	0	2	39	0	0	2	0	0	36	0	0	3	18	0	4	1	0	0	0	0	10	0	35	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0
940	969	"Goshen Springs"	31.72111	-86.13417	395	"AWI"	395	42471	49873	45662	0	0	5	5	2	0	0	0	0	1	27	0	72	0	1	0	0	3	17	8	0	1	0	3	24	0	0	0	2	2	30	0	0	0	14	4	1	0	0	0	0	0	11	0	31	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0
940	969	"Goshen Springs"	31.72111	-86.13417	405	"AWI"	405	43226	50960	46599	0	0	4	3	2	0	0	0	1	0	16	0	26	0	0	0	0	0	8	24	0	10	0	3	31	0	0	0	1	0	40	0	0	0	2	0	3	1	0	0	0	0	15	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
940	969	"Goshen Springs"	31.72111	-86.13417	415	"AWI"	415	43902	52119	47518	0	0	4	2	1	1	0	1	0	0	18	0	26	1	0	0	0	0	18	12	0	2	0	3	28	0	0	1	1	0	26	0	0	2	9	0	2	0	0	0	0	0	8	0	43	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0
940	969	"Goshen Springs"	31.72111	-86.13417	425	"AWI"	425	44623	53224	48444	0	0	2	2	2	0	0	0	0	0	23	0	18	0	0	0	0	0	12	16	0	6	0	5	28	0	0	2	0	0	39	0	0	0	8	1	1	2	144	0	0	0	6	0	42	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0
940	969	"Goshen Springs"	31.72111	-86.13417	435	"AWI"	435	45377	54409	49401	0	0	6	1	1	0	0	0	0	0	34	0	18	0	0	0	0	0	8	0	0	7	0	1	28	0	0	0	0	0	45	0	0	0	15	0	0	1	0	0	0	0	13	0	41	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
940	969	"Goshen Springs"	31.72111	-86.13417	445	"AWI"	445	46153	55544	50343	0	0	2	4	3	0	0	0	0	0	17	0	9	0	1	1	0	0	16	20	0	9	0	4	31	0	0	1	0	0	45	0	1	3	8	0	0	1	0	0	0	0	6	0	41	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
940	969	"Goshen Springs"	31.72111	-86.13417	455	"AWI"	455	46953	56569	51263	0	0	4	6	1	0	0	1	0	0	16	0	26	0	0	0	0	2	29	8	0	3	0	4	31	0	0	1	0	0	38	0	0	3	28	0	1	1	145	0	0	0	4	1	40	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
940	969	"Goshen Springs"	31.72111	-86.13417	465	"AWI"	465	47772	57657	52148	0	0	4	3	3	0	0	0	0	0	11	0	18	0	0	0	0	0	10	0	0	13	0	4	34	0	0	0	6	0	43	0	0	1	18	0	5	0	124	0	0	0	6	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
940	969	"Goshen Springs"	31.72111	-86.13417	482	"AWI"	482	49042	59450	53686	0	0	1	1	6	0	0	1	0	0	23	0	31	0	0	0	0	0	12	20	0	3	0	2	25	0	0	1	0	0	12	2	0	2	1	0	1	0	0	0	0	0	6	4	90	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0
