"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Elaeagnaceae"	"Elaeagnus"	"Ephedraceae"	"Fraxinus"	"Juglans"	"Lamiaceae"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Thalictrum"	"Tsuga"	"Ulmus"	"Viburnum"
969	1000	"Hafichuk Site"	50.32056	-105.88389	395	"AWI"	395	12450	12998	12710	1	12	12	110	0	24	0	0	0	0	6	21	0	0	12	1	0	0	219	12	37	76	0	1	40	0	0	1	0
969	1000	"Hafichuk Site"	50.32056	-105.88389	400	"AWI"	400	12490	13034	12746	1	9	13	130	12	8	0	0	0	0	4	21	1	0	8	2	0	0	149	13	49	64	0	0	13	2	0	1	0
969	1000	"Hafichuk Site"	50.32056	-105.88389	405	"AWI"	405	12528	13071	12783	1	0	9	112	0	0	0	0	1	0	0	35	0	0	6	0	0	0	160	17	30	7	0	0	7	0	0	0	0
969	1000	"Hafichuk Site"	50.32056	-105.88389	410	"AWI"	410	12561	13112	12819	0	0	10	77	0	10	0	0	0	0	0	15	1	0	8	0	0	0	209	13	23	12	0	0	12	0	0	0	0
969	1000	"Hafichuk Site"	50.32056	-105.88389	415	"AWI"	415	12602	13145	12854	0	5	5	63	0	5	0	0	0	0	4	10	2	0	5	0	0	0	100	18	30	39	0	0	14	0	0	0	0
969	1000	"Hafichuk Site"	50.32056	-105.88389	420	"AWI"	420	12639	13183	12890	0	7	15	83	0	10	0	0	0	0	0	10	0	0	12	0	0	0	230	30	47	17	0	0	32	0	0	0	0
969	1000	"Hafichuk Site"	50.32056	-105.88389	425	"AWI"	425	12672	13219	12927	0	13	15	65	0	10	0	0	0	0	0	5	1	0	12	0	0	0	239	30	45	27	1	0	30	0	0	0	0
969	1000	"Hafichuk Site"	50.32056	-105.88389	435	"AWI"	435	12741	13293	13002	0	0	20	75	0	12	0	0	0	0	0	7	1	0	5	0	0	0	261	32	40	10	1	0	17	2	0	0	0
969	1000	"Hafichuk Site"	50.32056	-105.88389	450	"AWI"	450	12851	13405	13110	0	0	6	34	0	6	0	0	0	0	6	11	0	0	4	0	0	0	175	26	19	6	0	0	7	0	0	0	0
969	1000	"Hafichuk Site"	50.32056	-105.88389	460	"AWI"	460	12925	13473	13184	0	5	11	42	0	7	0	0	0	0	0	21	1	1	7	0	0	0	106	29	31	17	1	1	14	1	0	0	0
969	1000	"Hafichuk Site"	50.32056	-105.88389	480	"AWI"	480	13070	13622	13330	0	0	10	66	0	0	0	0	0	0	0	57	0	0	0	0	0	0	285	40	14	0	2	1	9	0	0	0	0
969	1000	"Hafichuk Site"	50.32056	-105.88389	490	"AWI"	490	13143	13694	13403	0	0	10	82	0	8	0	0	0	0	0	19	0	0	0	0	0	0	222	15	27	0	0	0	8	0	0	0	0
969	1000	"Hafichuk Site"	50.32056	-105.88389	500	"AWI"	500	13208	13768	13474	0	0	14	87	0	10	0	0	0	0	0	27	0	0	0	0	0	0	285	34	19	0	0	0	10	0	0	0	0
