"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Lamiaceae"	"Phellodendron"	"Picea"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Saxifragaceae"	"Syringa"	"Tilia"	"Ulmus"
966	997	"Gurskii Peat [Site 4381]"	50.06667	137.08333	235	"AWI"	235	9309	10749	10024	3	1	0	1	0	13	2	0	0	0	0	0	15	0	0	0	0	0	0	10	0	3	0	0	3	0	0	0	0	0	0	26
966	997	"Gurskii Peat [Site 4381]"	50.06667	137.08333	245	"AWI"	245	9568	11008	10276	2	0	0	0	1	4	0	0	0	0	0	8	30	0	0	0	0	0	0	10	0	3	0	0	1	1	0	0	0	0	0	32
966	997	"Gurskii Peat [Site 4381]"	50.06667	137.08333	255	"AWI"	255	9845	11262	10533	1	0	0	2	0	17	0	0	0	0	0	10	33	0	0	1	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	7
966	997	"Gurskii Peat [Site 4381]"	50.06667	137.08333	265	"AWI"	265	10129	11559	10827	0	0	0	2	1	5	0	0	0	0	0	8	5	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	6
966	997	"Gurskii Peat [Site 4381]"	50.06667	137.08333	275	"AWI"	275	10395	11902	11136	0	0	35	1	0	25	1	0	0	1	0	32	13	0	0	0	0	0	1	33	0	12	0	0	0	0	0	0	0	0	0	0
966	997	"Gurskii Peat [Site 4381]"	50.06667	137.08333	285	"AWI"	285	10669	12198	11435	0	0	29	0	5	12	17	0	13	1	0	176	40	0	0	0	0	0	0	0	58	27	0	0	0	3	40	0	0	0	0	3
966	997	"Gurskii Peat [Site 4381]"	50.06667	137.08333	295	"AWI"	295	10982	12477	11743	0	1	68	0	7	4	0	249	0	0	0	210	32	0	0	0	0	0	0	22	0	4	0	0	0	0	0	0	0	0	0	1
966	997	"Gurskii Peat [Site 4381]"	50.06667	137.08333	305	"AWI"	305	11300	12743	12055	0	0	33	0	1	2	2	0	4	0	0	196	23	1	0	0	0	0	0	9	0	1	0	1	0	1	2	0	0	0	0	1
966	997	"Gurskii Peat [Site 4381]"	50.06667	137.08333	315	"AWI"	315	11595	13111	12373	0	4	34	1	0	10	0	0	1	0	0	73	17	0	0	0	0	0	0	17	0	1	0	0	3	0	0	0	1	0	0	0
966	997	"Gurskii Peat [Site 4381]"	50.06667	137.08333	325	"AWI"	325	11879	13527	12680	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2
966	997	"Gurskii Peat [Site 4381]"	50.06667	137.08333	355	"AWI"	355	12825	14704	13627	0	0	0	0	2	0	0	302	0	0	0	56	18	0	0	0	0	0	0	7	0	3	0	0	1	2	0	0	1	0	0	0
966	997	"Gurskii Peat [Site 4381]"	50.06667	137.08333	360	"AWI"	360	12915	15029	13789	1	0	0	1	0	20	0	0	0	0	1	19	18	1	2	0	7	0	0	11	0	0	0	0	31	0	0	0	0	0	0	18
