"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Berberidaceae"	"Brassicaceae"	"Caryophyllaceae"	"Ceanothus"	"Convolvulaceae"	"Cupressus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Geraniaceae"	"Grossulariaceae"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Malvaceae"	"Picea"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhus"	"Rosaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Scrophulariaceae"	"Zygophyllaceae"
1127	1162	"Jacob Lake"	34.33333	-110.83333	227	"AWI"	227	14494	22273	18291	0	0	1	1	21	0	0	0	3	0	0	0	2	0	0	1	0	0	12	0	0	0	0	11	111	17	0	1	0	2	0	2	0	0	0	0	0	0
1127	1162	"Jacob Lake"	34.33333	-110.83333	235	"AWI"	235	15074	23208	18997	2	0	4	0	30	0	0	2	5	0	0	0	4	1	0	0	0	0	4	2	0	0	0	14	129	40	0	0	0	0	1	0	0	0	0	0	0	0
1127	1162	"Jacob Lake"	34.33333	-110.83333	239	"AWI"	239	15356	23764	19346	1	0	5	4	53	51	0	0	13	0	0	0	0	1	0	0	0	0	9	0	0	0	0	25	112	26	0	2	0	0	1	1	0	0	0	5	0	0
1127	1162	"Jacob Lake"	34.33333	-110.83333	253	"AWI"	253	16388	25425	20599	0	2	0	0	19	0	0	7	3	0	0	0	2	1	0	0	2	0	14	0	0	1	0	8	85	40	0	1	0	2	0	0	0	0	0	2	0	0
1127	1162	"Jacob Lake"	34.33333	-110.83333	263	"AWI"	263	17047	26612	21496	1	0	0	0	19	0	0	2	8	0	0	0	0	0	0	0	0	0	5	1	0	0	0	2	114	23	0	0	0	1	0	1	0	0	0	1	0	0
1127	1162	"Jacob Lake"	34.33333	-110.83333	270	"AWI"	270	17539	27444	22145	0	0	1	0	5	0	0	0	1	0	0	0	0	0	0	0	0	1	3	2	0	0	0	5	136	23	0	0	0	0	0	0	0	0	0	0	0	0
1127	1162	"Jacob Lake"	34.33333	-110.83333	274	"AWI"	274	17898	27911	22516	0	0	1	2	20	0	0	0	1	0	0	0	4	0	0	0	0	0	4	0	0	0	0	5	105	51	0	0	0	0	0	0	0	0	0	0	0	0
1127	1162	"Jacob Lake"	34.33333	-110.83333	288	"AWI"	288	18925	29591	23796	3	0	3	1	13	0	0	0	3	0	0	0	7	0	0	0	0	0	3	0	0	0	0	7	205	46	0	1	0	0	0	0	0	0	0	0	0	0
1127	1162	"Jacob Lake"	34.33333	-110.83333	292	"AWI"	292	19246	30041	24171	9	0	2	0	9	0	0	1	4	0	2	0	0	0	0	0	0	1	0	2	0	2	0	31	168	43	0	0	0	1	1	0	0	0	0	0	0	0
1127	1162	"Jacob Lake"	34.33333	-110.83333	295.5	"AWI"	295.5	19485	30358	24497	3	0	4	4	24	0	1	0	4	1	1	0	4	0	0	0	0	0	3	0	0	0	1	13	79	91	0	2	0	1	0	0	0	0	0	1	0	0
