"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula (<20 µm)"	"Betula (>20 µm)"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Lamiaceae"	"Myrica"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	65	"AWI"	65	2476	3354	2995	27	0	4	0	0	0	4	58	0	2	0	0	1	23	19	0	2	46	1	1	0	0	46	79	10	8	0	0	1	0	0	0	0	0	0	2	0	0	0	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	68	"AWI"	68	2686	3417	3122	25	0	5	0	1	0	4	45	3	0	0	0	0	35	4	2	0	41	2	0	4	0	20	41	7	2	0	0	0	0	0	0	0	1	1	4	0	0	0	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	70	"AWI"	70	2776	3491	3211	26	0	5	0	0	0	2	110	0	0	0	0	2	21	4	0	4	46	0	0	1	0	35	109	6	3	2	0	0	0	0	0	0	0	9	4	0	0	0	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	75	"AWI"	75	2933	3600	3333	16	1	3	1	0	0	5	94	0	0	0	0	0	14	6	1	0	26	0	0	0	0	9	47	4	0	0	0	1	1	0	0	0	0	0	5	0	0	0	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	85	"AWI"	85	3128	3969	3552	6	0	3	0	0	5	2	99	0	0	0	0	0	12	6	0	1	25	1	0	0	0	34	61	3	2	0	0	1	0	0	0	0	0	2	5	0	0	0	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	95	"AWI"	95	3294	4257	3760	17	0	3	0	0	0	4	60	1	0	1	0	0	13	3	0	0	33	4	0	1	0	24	56	3	2	1	0	1	0	0	0	0	0	1	4	0	0	0	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	105	"AWI"	105	3473	4484	3972	21	0	3	0	0	0	0	100	1	0	0	0	1	5	4	0	3	49	18	0	1	0	47	66	6	2	1	0	2	0	0	0	0	0	10	15	0	0	0	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	115	"AWI"	115	3659	4712	4180	47	0	4	0	0	0	2	80	1	0	0	0	0	12	1	0	1	71	2	0	0	0	21	83	4	0	1	0	1	1	0	1	1	0	12	9	0	0	0	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	125	"AWI"	125	3855	4911	4398	20	0	1	0	0	0	2	102	0	1	0	1	0	4	1	1	0	26	0	0	0	0	31	43	0	0	0	0	1	2	0	0	1	0	11	12	0	0	0	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	135	"AWI"	135	4062	5096	4609	24	0	4	0	0	0	0	104	0	0	1	0	0	8	5	0	0	40	0	0	0	1	18	61	2	2	0	0	0	0	0	0	1	0	15	3	0	0	0	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	145	"AWI"	145	4288	5266	4824	12	0	4	0	0	0	2	76	0	0	0	0	0	9	1	2	1	31	0	0	2	0	19	71	4	1	0	0	4	1	0	0	1	0	4	3	1	0	0	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	155	"AWI"	155	4549	5414	5035	23	0	7	0	0	5	0	113	1	0	0	0	0	4	4	0	2	25	2	1	0	0	26	63	5	1	0	0	1	0	0	0	2	0	16	6	0	0	0	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	165	"AWI"	165	4859	5561	5241	27	0	2	0	0	0	3	107	2	0	0	0	0	21	2	0	5	42	1	0	0	0	17	65	4	0	0	0	3	0	0	0	1	0	7	3	0	0	0	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	168	"AWI"	168	4940	5611	5301	26	0	0	0	1	0	8	97	5	0	0	1	0	7	1	0	0	51	0	0	3	0	14	42	5	1	0	2	1	0	0	0	2	0	2	2	0	0	0	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	175	"AWI"	175	5162	5807	5499	19	0	3	0	0	0	11	88	4	0	0	0	0	5	2	0	0	55	0	0	0	1	10	53	2	1	0	0	1	0	0	0	2	0	6	2	0	0	0	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	185	"AWI"	185	5411	6394	5841	26	0	0	0	0	0	1	94	1	0	0	0	0	6	2	0	1	33	1	0	0	0	18	68	5	2	0	0	1	0	0	0	0	0	12	0	0	0	0	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	195	"AWI"	195	5670	6969	6233	16	0	5	0	0	0	1	78	1	0	0	1	0	3	3	0	1	24	1	0	1	0	22	65	1	1	3	0	0	0	0	0	1	0	9	2	0	0	2	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	205	"AWI"	205	5957	7419	6648	78	0	15	0	2	0	12	261	0	1	0	2	0	26	6	0	0	70	0	0	1	0	42	101	9	4	7	0	0	3	9	0	0	0	0	12	0	1	2	1
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	210	"AWI"	210	6093	7635	6860	7	0	1	0	0	0	5	115	1	0	0	1	0	7	1	1	2	37	2	0	0	0	29	74	1	5	3	1	0	0	0	0	3	0	17	6	0	1	0	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	215	"AWI"	215	6311	7749	7065	69	0	17	0	0	0	16	399	0	2	0	0	0	54	4	0	0	93	0	0	4	0	47	195	16	9	5	0	0	10	0	0	2	0	88	13	0	0	0	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	220	"AWI"	220	6456	7945	7272	11	0	1	0	0	0	2	126	1	0	0	1	0	7	1	0	0	36	2	0	0	0	19	67	5	1	6	0	0	0	0	0	1	0	17	4	0	0	0	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	222.5	"AWI"	222.5	6606	7986.5	7370	12	0	3	0	0	0	2	109	1	0	0	0	0	7	0	0	0	31	5	0	2	0	25	71	4	1	4	0	0	0	0	0	2	0	20	2	0	0	0	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	225	"AWI"	225	6735	8033	7473	33	0	6	0	0	0	7	218	0	0	0	0	0	15	2	0	0	38	0	0	4	0	24	52	5	0	13	0	0	3	0	0	1	0	10	4	0	0	1	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	230	"AWI"	230	6909	8199	7676	7	1	2	1	0	0	2	92	2	1	0	0	0	3	2	0	1	28	0	0	0	0	13	51	1	1	6	0	0	1	0	0	1	0	13	3	0	0	0	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	235	"AWI"	235	7344	8267	7855	14	0	3	0	0	0	6	179	0	0	0	0	0	5	1	0	0	19	0	0	5	0	6	77	2	1	8	0	1	4	0	0	1	0	32	10	0	1	0	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	240	"AWI"	240	7623	8399	8046	19	0	4	0	0	0	17	269	0	0	0	0	0	9	0	0	0	36	0	0	1	0	27	37	7	6	3	0	0	3	0	0	0	0	28	4	0	0	0	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	245	"AWI"	245	7717	8649	8184	51	0	20	0	0	0	66	149	0	0	0	0	0	7	10	0	0	110	0	0	2	0	84	189	44	17	0	0	0	0	0	0	10	0	0	8	0	0	0	9
