"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Geraniaceae"	"Larix"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Thalictrum"
1632	1687	"Lake Madjagara"	64.83333	120.96667	450	"AWI"	450	5369	6209	5852	0	0	1	0	0	89	1	0	9	1	22	0	21	0	5	42	29	0	0	0	8	2
1632	1687	"Lake Madjagara"	64.83333	120.96667	460	"AWI"	460	5771	6291	6073	29	0	0	0	0	100	0	0	7	1	28	0	30	0	4	33	36	0	0	0	2	1
1632	1687	"Lake Madjagara"	64.83333	120.96667	470	"AWI"	470	5933	6347	6165	27	0	0	0	0	104	0	0	3	1	26	0	25	0	9	39	22	0	0	0	1	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	480	"AWI"	480	5994	6397	6227	0	0	1	2	0	110	0	0	23	0	24	0	25	0	15	59	33	0	0	0	3	1
1632	1687	"Lake Madjagara"	64.83333	120.96667	490	"AWI"	490	6047	6451	6285	18	0	0	1	0	97	0	1	5	0	24	0	21	0	12	46	32	0	0	0	7	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	500	"AWI"	500	6087	6524	6333	25	0	1	2	0	99	0	0	8	2	24	0	9	0	15	50	37	0	0	0	2	1
1632	1687	"Lake Madjagara"	64.83333	120.96667	510	"AWI"	510	6128	6618	6381	19	0	0	0	0	89	0	0	3	0	23	0	30	0	18	55	10	0	0	0	2	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	520	"AWI"	520	6165	6693	6433	19	0	0	1	0	107	0	0	8	1	30	0	5	0	4	33	41	0	0	0	2	2
1632	1687	"Lake Madjagara"	64.83333	120.96667	530	"AWI"	530	6204	6792	6480	20	1	0	1	0	91	1	0	4	1	21	0	20	0	11	40	21	0	0	0	4	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	540	"AWI"	540	6247	6843	6531	0	0	0	1	0	118	0	0	8	1	29	0	15	0	12	42	30	0	0	0	6	0
