"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cannabaceae"	"Carya"	"Castanea"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Liquidambar"	"Myrica"	"Nyssa"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Vitaceae"
303	309	"Brandreth Bog"	43.91667	-74.68333	260	"AWI"	260	3420	3937	3625	4	15	21	1	1	6	75	0	1	0	0	4	10	2	42	5	0	27	0	0	0	0	13	3	0	10	7	76	0	0	0	21	1	0	0	0	0	0	0	0	2	52	7	0
303	309	"Brandreth Bog"	43.91667	-74.68333	280	"AWI"	280	3493	4175	3744	10	5	7	0	0	0	48	0	2	0	0	0	4	1	19	0	0	11	0	0	0	0	4	2	0	1	3	0	0	1	0	10	0	2	0	1	0	0	0	0	0	16	5	0
303	309	"Brandreth Bog"	43.91667	-74.68333	300	"AWI"	300	3561	4350	3880	7	15	21	2	2	0	97	0	1	0	0	0	12	3	51	8	0	27	0	0	0	0	5	3	0	10	2	0	1	2	0	17	0	0	0	0	0	0	0	0	1	30	2	0
303	309	"Brandreth Bog"	43.91667	-74.68333	320	"AWI"	320	3648	4498	4014	1	0	7	0	0	2	36	0	2	0	0	0	8	1	13	6	0	15	0	0	0	0	8	1	0	2	5	33	0	0	0	11	0	0	0	1	1	0	0	0	1	21	5	0
303	309	"Brandreth Bog"	43.91667	-74.68333	340	"AWI"	340	3711	4672	4148	0	9	6	0	1	0	32	0	0	0	0	1	5	1	17	3	0	12	0	0	0	0	3	3	0	4	4	44	0	1	0	8	0	0	1	0	1	0	0	0	2	25	1	0
303	309	"Brandreth Bog"	43.91667	-74.68333	360	"AWI"	360	3837	4768	4284	0	0	11	0	0	0	41	0	2	0	1	0	9	0	14	4	0	11	0	0	0	0	1	2	0	3	3	38	0	0	0	7	0	0	0	0	1	0	0	0	0	27	2	0
303	309	"Brandreth Bog"	43.91667	-74.68333	380	"AWI"	380	3941	4902	4418	10	21	18	0	1	4	113	0	0	1	0	0	19	3	38	8	0	23	0	0	1	0	13	5	0	9	1	0	0	4	0	15	0	0	0	0	1	1	0	1	1	52	6	0
303	309	"Brandreth Bog"	43.91667	-74.68333	400	"AWI"	400	4062	5022	4554	1	0	4	1	0	0	45	0	1	0	0	0	6	1	18	0	0	3	0	0	0	0	11	6	0	3	0	52	0	1	0	11	0	0	0	0	0	0	0	0	0	7	5	0
303	309	"Brandreth Bog"	43.91667	-74.68333	420	"AWI"	420	4209	5128	4685	2	23	11	0	1	5	130	0	3	0	0	0	7	2	29	5	0	18	3	0	0	0	3	3	0	9	1	96	0	2	0	19	0	0	0	0	1	0	0	0	3	38	4	0
303	309	"Brandreth Bog"	43.91667	-74.68333	440	"AWI"	440	4329	5246	4817	0	9	4	0	0	0	38	0	0	0	0	0	8	0	21	3	0	11	0	0	0	0	3	3	0	9	0	45	0	1	0	7	0	0	0	0	0	0	0	0	0	17	6	0
303	309	"Brandreth Bog"	43.91667	-74.68333	460	"AWI"	460	4522	5314	4944	3	17	5	0	0	2	86	0	1	0	1	0	4	0	40	0	0	20	0	0	0	0	2	1	0	4	1	83	2	0	0	15	0	0	0	0	0	0	0	0	1	40	7	0
303	309	"Brandreth Bog"	43.91667	-74.68333	480	"AWI"	480	4679	5419	5075	0	14	4	0	1	0	44	0	0	0	0	0	3	0	21	6	0	4	0	0	0	0	8	8	0	3	0	44	0	1	0	9	0	0	0	0	0	0	0	0	0	18	5	0
303	309	"Brandreth Bog"	43.91667	-74.68333	500	"AWI"	500	4897	5479	5204	16	0	28	2	0	4	221	0	0	0	2	1	18	3	36	10	0	37	0	0	0	1	15	6	0	10	4	418	2	1	0	66	0	0	2	0	1	0	0	1	2	78	28	0
303	309	"Brandreth Bog"	43.91667	-74.68333	520	"AWI"	520	5072	5708	5396	1	0	3	0	0	0	52	0	0	0	0	0	3	0	23	2	0	10	0	0	0	0	0	2	0	2	1	26	1	1	0	4	0	0	0	0	1	0	0	0	0	53	4	0
303	309	"Brandreth Bog"	43.91667	-74.68333	540	"AWI"	540	5155	6372	5601	0	0	11	0	0	0	41	1	0	0	0	0	3	2	27	4	0	14	0	0	0	0	3	0	0	7	1	43	1	4	0	4	0	0	0	0	3	0	0	0	2	188	2	0
303	309	"Brandreth Bog"	43.91667	-74.68333	560	"AWI"	560	5324	6788	5873	0	0	1	0	0	0	43	0	1	0	0	0	7	1	16	0	0	6	0	0	0	0	3	0	0	2	0	16	0	0	0	7	0	0	0	0	0	0	0	0	1	77	1	0
303	309	"Brandreth Bog"	43.91667	-74.68333	580	"AWI"	580	5442	7336	6128	0	0	2	0	0	0	32	0	2	0	0	0	4	0	21	0	0	2	0	0	0	0	2	0	0	2	1	17	0	1	0	5	0	0	0	0	0	0	0	0	0	87	7	0
303	309	"Brandreth Bog"	43.91667	-74.68333	600	"AWI"	600	5640	7637	6421	1	0	6	1	0	0	55	0	2	0	0	2	9	2	25	3	0	11	0	1	0	0	6	1	0	4	1	65	0	0	0	22	0	0	1	0	0	0	0	0	2	117	8	0
303	309	"Brandreth Bog"	43.91667	-74.68333	610	"AWI"	610	5698	7872	6559	0	0	2	0	0	0	41	0	0	0	0	0	0	0	4	2	0	9	0	0	0	0	3	0	0	6	2	44	1	1	1	30	0	0	0	0	0	0	0	0	0	37	6	0
303	309	"Brandreth Bog"	43.91667	-74.68333	620	"AWI"	620	5803	8004	6702	0	0	2	0	0	0	35	0	0	0	0	0	1	0	7	0	0	3	0	0	0	0	2	0	0	6	2	23	0	1	0	6	0	0	0	0	0	0	0	0	1	91	5	0
303	309	"Brandreth Bog"	43.91667	-74.68333	640	"AWI"	640	5965	8351	6987	0	0	3	0	0	0	36	0	1	0	0	0	4	1	10	0	0	5	0	0	0	0	3	1	0	2	0	38	1	1	0	13	0	0	0	0	0	0	0	0	0	80	6	0
303	309	"Brandreth Bog"	43.91667	-74.68333	660	"AWI"	660	6191	8619	7263	1	0	7	0	0	0	71	0	0	0	0	1	9	0	21	2	0	9	0	0	0	0	4	0	0	8	1	136	1	4	0	34	0	0	0	0	0	0	0	2	0	108	8	0
303	309	"Brandreth Bog"	43.91667	-74.68333	680	"AWI"	680	6369	8947	7548	0	0	3	0	0	0	28	0	0	0	0	0	3	0	8	2	0	2	0	0	0	0	6	0	0	4	0	64	1	1	0	18	0	0	0	0	0	0	1	0	0	37	4	0
303	309	"Brandreth Bog"	43.91667	-74.68333	700	"AWI"	700	6661	9213	7830	0	0	4	0	0	0	21	0	0	0	0	0	3	0	6	2	0	4	0	0	0	0	1	0	0	4	1	76	3	0	0	20	0	0	0	0	0	0	0	0	0	44	1	0
303	309	"Brandreth Bog"	43.91667	-74.68333	720	"AWI"	720	6866	9520	8124	2	0	8	1	0	0	10	0	0	0	0	0	1	0	0	0	0	3	0	0	0	1	2	0	0	2	4	128	1	0	0	14	2	0	0	1	0	0	0	0	0	14	2	0
303	309	"Brandreth Bog"	43.91667	-74.68333	740	"AWI"	740	7093	9766	8414	4	0	6	0	0	0	17	0	1	0	0	0	1	0	3	3	0	5	0	0	0	0	4	0	0	2	4	107	1	0	0	19	0	0	0	0	0	0	0	0	1	10	4	2
303	309	"Brandreth Bog"	43.91667	-74.68333	760	"AWI"	760	7365	10034	8701	3	0	1	1	1	0	6	0	0	0	0	0	1	0	3	0	0	4	0	0	0	0	0	0	0	1	1	157	0	1	0	12	0	0	0	0	0	0	0	0	0	8	0	0
303	309	"Brandreth Bog"	43.91667	-74.68333	780	"AWI"	780	7577	10355	8977	9	0	5	1	0	0	43	0	0	0	0	2	1	0	0	6	0	9	0	0	0	0	3	0	0	5	2	240	2	0	0	39	0	0	0	0	1	0	0	0	0	40	5	0
303	309	"Brandreth Bog"	43.91667	-74.68333	800	"AWI"	800	7872	10561	9272	7	0	5	0	0	0	17	0	0	0	0	0	3	0	0	5	0	5	0	0	0	0	1	0	0	6	0	200	1	0	0	37	0	0	0	0	0	0	0	0	1	5	2	0
303	309	"Brandreth Bog"	43.91667	-74.68333	810	"AWI"	810	7988	10707	9410	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	3	0	0	6	1	131	1	1	0	35	0	0	0	0	0	0	0	0	0	2	1	0
303	309	"Brandreth Bog"	43.91667	-74.68333	820	"AWI"	820	8130	10821	9541	7	14	14	2	1	4	37	0	2	0	0	3	4	3	2	14	0	17	0	0	0	0	13	0	0	20	11	649	2	2	0	76	0	0	0	0	0	0	0	0	0	16	6	0
303	309	"Brandreth Bog"	43.91667	-74.68333	830	"AWI"	830	8301	10895	9687	0	0	4	0	5	0	23	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	3	0	140	0	4	0	34	0	0	0	0	0	0	0	0	0	1	5	0
303	309	"Brandreth Bog"	43.91667	-74.68333	840	"AWI"	840	8453	11009	9833	5	0	3	0	0	0	13	0	1	0	0	0	3	0	1	0	0	2	0	0	0	0	4	0	0	2	7	136	0	0	0	15	0	0	0	0	0	0	0	0	0	2	4	0
303	309	"Brandreth Bog"	43.91667	-74.68333	860	"AWI"	860	8759	11241	10106	14	0	8	0	0	0	39	0	0	0	0	2	1	0	1	7	0	4	0	0	0	0	5	0	0	8	26	395	0	0	0	59	0	0	0	0	0	0	0	0	0	4	6	0
303	309	"Brandreth Bog"	43.91667	-74.68333	880	"AWI"	880	9010	11466	10388	5	0	3	0	0	0	15	0	0	0	0	0	5	0	1	0	0	4	0	0	0	0	0	0	0	6	12	119	0	1	0	15	0	0	0	0	0	0	0	0	0	6	2	0
303	309	"Brandreth Bog"	43.91667	-74.68333	900	"AWI"	900	9418	11648	10659	23	4	7	1	0	5	55	0	1	1	0	3	1	0	2	5	0	14	0	0	0	0	7	0	0	12	32	350	1	1	0	36	0	0	1	0	1	0	0	0	0	10	9	0
303	309	"Brandreth Bog"	43.91667	-74.68333	920	"AWI"	920	9725	11878	10940	10	0	3	0	0	0	23	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	4	0	0	4	12	118	0	0	0	15	0	0	0	0	1	0	0	0	0	3	3	0
303	309	"Brandreth Bog"	43.91667	-74.68333	940	"AWI"	940	10108	12002	11209	9	0	6	0	0	0	18	0	0	0	0	0	3	0	2	0	0	6	0	0	0	0	4	0	0	5	14	89	0	1	0	12	0	0	0	0	0	0	0	0	0	2	2	0
303	309	"Brandreth Bog"	43.91667	-74.68333	960	"AWI"	960	10478	12171	11483	24	0	12	0	0	0	39	0	0	0	0	3	5	0	1	3	0	14	0	0	0	0	31	0	0	5	97	159	0	6	0	31	0	0	1	0	5	0	0	0	0	4	8	0
303	309	"Brandreth Bog"	43.91667	-74.68333	980	"AWI"	980	10886	12320	11751	3	0	6	1	0	3	21	0	0	0	0	1	7	0	0	0	0	5	0	0	0	0	1	0	1	2	74	40	0	0	0	2	0	0	0	0	3	0	0	1	0	0	1	0
303	309	"Brandreth Bog"	43.91667	-74.68333	1000	"AWI"	1000	11317	12469	11996	12	0	5	1	2	6	20	0	0	0	1	0	13	0	0	2	0	6	0	0	0	0	0	0	0	0	215	85	0	8	0	13	0	0	0	0	1	0	0	0	0	0	1	0
303	309	"Brandreth Bog"	43.91667	-74.68333	1010	"AWI"	1010	11445	12573	12116	0	0	3	0	1	0	6	0	0	0	0	0	0	1	0	5	0	5	0	0	0	0	0	0	0	9	39	55	0	6	0	9	0	0	0	0	0	0	0	0	0	0	3	0
303	309	"Brandreth Bog"	43.91667	-74.68333	1020	"AWI"	1020	11559	12771	12238	8	0	0	1	6	0	15	0	0	0	0	5	10	1	2	0	0	9	0	0	0	0	1	0	0	4	54	37	0	3	0	11	0	0	0	0	2	0	0	0	0	2	1	0
