"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Lamiaceae"	"Larix"	"Liliaceae"	"Myrica"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	100	"AWI"	100	3794	4568	4210	0.201207243460765	10.261569416499	0.201207243460765	0.402414486921529	0.201207243460765	0	3.01810865191147	0	0	0	0	0.402414486921529	0	0.603621730382294	0	0	0.201207243460765	0	0	0.603621730382294	0	28.169014084507	52.3138832997988	0	0.402414486921529	0	0	0	0	0	3.01810865191147	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	110	"AWI"	110	4139	5070	4573	0.373134328358209	8.3955223880597	0	0.373134328358209	0.186567164179104	0	2.79850746268657	0	0	0	0	0	0	0.186567164179104	0	0.559701492537313	0	0.186567164179104	0	0.186567164179104	0	39.7388059701493	45.8955223880597	0	0	0	0	0	0	0	1.11940298507463	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	120	"AWI"	120	4401	5484	4906	0	9.28853754940712	0	0	0.197628458498024	0	4.34782608695652	0	0	0	0	0.790513833992095	0	0.197628458498024	0	0	0	0	0	0.988142292490119	0	35.5731225296443	46.4426877470356	0	0.197628458498024	0	0	0	0	0	1.97628458498024	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	130	"AWI"	130	4688	5864	5250	0.392156862745098	7.05882352941176	0	0.196078431372549	0.196078431372549	0	4.90196078431373	0	0	0	0	0.392156862745098	0.196078431372549	0	0	0	0	0	0	0	0	35.2941176470588	49.2156862745098	0	0.392156862745098	0	0.392156862745098	0	0	0	0.980392156862745	0	0.196078431372549	0.196078431372549
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	140	"AWI"	140	4962	6246	5589	0	9.94671403197158	0.177619893428064	0	0	0	6.21669626998224	0	0	0	0	1.77619893428064	0	0	0	0	0	0	0	0.355239786856128	0	33.7477797513321	44.404973357016	0	0.532859680284192	0	0.177619893428064	0	0	0	2.66429840142096	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	150	"AWI"	150	5268	6583	5941	0.35650623885918	5.88235294117647	0	0	0	0	5.16934046345811	0	0	0	0	0	0	0	0	0.35650623885918	0	0	0	0	0	37.7896613190731	49.554367201426	0	0	0	0	0	0	0	0.89126559714795	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	160	"AWI"	160	5626	6887	6284	0	11.9047619047619	0	0.198412698412698	0	0	3.96825396825397	0	0	0	0	2.97619047619048	0.198412698412698	0	0	0.396825396825397	0	0	0	0.595238095238095	0	37.6984126984127	39.6825396825397	0	0.396825396825397	0	0	0	0	0	1.98412698412698	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	170	"AWI"	170	5984	7176	6627	0	0	0	0	0	0	3.66088631984586	0	0	0	0	0.192678227360308	0	0	0	0.385356454720617	0	0	0	0.192678227360308	0	26.0115606936416	68.0154142581888	0	0.385356454720617	0	0	0	0	0	0.963391136801541	0	0.192678227360308	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	180	"AWI"	180	6366	7425	6967	0.252525252525253	8.58585858585858	0	0.505050505050505	0.505050505050505	0	6.31313131313131	0	0	0	0.505050505050505	2.02020202020202	0	0	0.252525252525253	0	0	0	0	0.757575757575758	0	0	75.7575757575758	0	1.76767676767677	0	0	0	0	0.252525252525253	2.52525252525253	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	190	"AWI"	190	6834	7654	7310	0.373831775700935	4.48598130841121	0	0	0.186915887850467	0	2.80373831775701	0	0	0	0	0.186915887850467	0	0	0.186915887850467	0.186915887850467	0	0	0	0.186915887850467	0	33.2710280373832	57.3831775700935	0	0.560747663551402	0	0	0	0	0	0.186915887850467	0	0	0
