"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cannabaceae"	"Carya"	"Celtis"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Salix"	"Tilia"	"Ulmus"
485	497	"Colo Marsh"	42.02	-93.27	150	"AWI"	150	6678	7303	7007	0	5	3	1052	6	64	2	0	1	0	0	3	0	37	0	0	21	0	0	4	10	20	3	21	0	37	1	0	2
485	497	"Colo Marsh"	42.02	-93.27	155	"AWI"	155	6922	7558	7214	0	1	3	396	11	87	2	0	1	0	0	3	0	38	0	1	18	0	0	1	13	13	2	29	0	36	0	0	3
485	497	"Colo Marsh"	42.02	-93.27	160	"AWI"	160	7074	7969	7444	0	4	2	271	16	110	0	0	1	0	0	0	0	31	0	3	31	2	0	3	17	19	3	61	1	65	0	0	3
485	497	"Colo Marsh"	42.02	-93.27	165	"AWI"	165	7233	8314	7697	4	1	6	483	13	70	2	0	2	1	0	2	0	43	0	6	11	0	1	5	38	15	0	26	0	21	0	0	2
485	497	"Colo Marsh"	42.02	-93.27	170	"AWI"	170	7427	8586	7950	3	2	5	554	7	53	3	0	1	0	0	3	0	46	0	6	38	0	1	2	37	11	0	21	0	34	0	0	6
485	497	"Colo Marsh"	42.02	-93.27	175	"AWI"	175	7638	8857	8202	4	0	7	498	13	56	3	0	1	0	0	2	0	89	0	1	20	1	0	3	36	20	0	25	0	34	0	1	6
485	497	"Colo Marsh"	42.02	-93.27	180	"AWI"	180	7839	9094	8451	6	0	8	460	13	49	5	0	3	0	0	6	0	56	0	4	40	0	1	1	54	10	0	34	0	31	0	1	9
485	497	"Colo Marsh"	42.02	-93.27	186	"AWI"	186	8168	9375	8754	2	2	3	500	12	48	2	0	4	0	0	1	0	81	0	1	23	3	1	7	43	16	0	21	0	38	0	1	4
485	497	"Colo Marsh"	42.02	-93.27	192	"AWI"	192	8564	9698	9044	1	2	7	392	11	90	5	0	5	0	0	1	0	108	0	7	31	2	1	12	29	12	0	53	0	72	0	1	28
485	497	"Colo Marsh"	42.02	-93.27	198	"AWI"	198	9138	10095	9437	15	23	19	11	20	26	36	0	32	2	0	11	0	12	0	20	3	32	15	43	21	23	2	18	0	213	0	12	296
485	497	"Colo Marsh"	42.02	-93.27	203	"AWI"	203	9619	10566	10154	29	3	94	5	40	32	66	5	0	2	0	32	0	8	0	84	5	1	10	59	103	3	0	24	0	69	4	0	45
485	497	"Colo Marsh"	42.02	-93.27	208	"AWI"	208	9938	11303	10705	34	2	12	8	19	35	7	2	2	1	0	14	0	11	0	212	4	0	3	33	88	3	0	8	0	38	1	0	34
485	497	"Colo Marsh"	42.02	-93.27	213	"AWI"	213	10230	11766	11026	8	0	15	0	17	21	2	5	2	3	0	2	0	10	0	232	6	1	1	19	118	0	0	5	0	38	1	0	12
485	497	"Colo Marsh"	42.02	-93.27	218	"AWI"	218	10545	12158	11360	26	1	15	3	15	30	2	8	0	1	0	12	0	17	0	172	2	2	2	13	139	6	1	10	2	57	2	0	19
485	497	"Colo Marsh"	42.02	-93.27	223	"AWI"	223	10872	12504	11712	7	0	8	2	12	43	2	16	0	0	0	3	1	8	0	126	8	1	4	13	215	1	2	11	0	37	4	0	4
485	497	"Colo Marsh"	42.02	-93.27	228	"AWI"	228	11214	12787	12071	6	12	7	0	16	17	5	6	0	1	0	5	1	19	0	77	15	0	3	7	272	3	0	17	0	23	2	0	3
485	497	"Colo Marsh"	42.02	-93.27	233	"AWI"	233	11602	13062	12434	0	2	13	1	9	28	2	15	0	1	0	1	4	10	0	105	15	0	7	10	235	2	0	17	3	19	2	0	5
485	497	"Colo Marsh"	42.02	-93.27	238	"AWI"	238	12067	13299	12778	0	5	6	0	19	25	11	6	0	1	0	3	3	17	0	42	8	0	18	4	312	5	0	14	0	31	3	0	1
485	497	"Colo Marsh"	42.02	-93.27	243	"AWI"	243	12610	13519	13101	2	2	7	3	22	16	7	9	0	0	0	3	4	17	0	25	10	0	15	5	316	6	0	7	1	20	2	0	0
485	497	"Colo Marsh"	42.02	-93.27	253	"AWI"	253	13212	14199	13656	2	2	5	1	32	10	3	6	0	0	0	0	5	35	0	18	24	0	12	4	314	4	1	20	0	12	8	0	2
485	497	"Colo Marsh"	42.02	-93.27	263	"AWI"	263	13523	14903	14121	6	3	9	3	30	7	0	7	0	0	0	4	6	13	0	8	8	0	13	0	368	8	0	5	0	10	1	0	1
485	497	"Colo Marsh"	42.02	-93.27	273	"AWI"	273	13877	15516	14601	1	1	11	2	21	9	3	3	0	0	0	3	5	31	0	8	14	0	20	2	347	3	1	8	0	9	3	0	1
485	497	"Colo Marsh"	42.02	-93.27	283	"AWI"	283	14255	16103	15080	4	0	8	1	28	9	1	0	0	0	0	0	2	26	1	10	20	1	11	0	348	4	0	10	0	15	1	0	0
485	497	"Colo Marsh"	42.02	-93.27	293	"AWI"	293	14665	16660	15568	4	0	14	0	34	6	3	1	0	0	0	1	1	67	0	14	31	0	13	9	325	10	0	16	0	25	8	0	3
485	497	"Colo Marsh"	42.02	-93.27	303	"AWI"	303	15088	17185	16044	3	0	3	2	52	13	6	0	0	0	0	2	4	59	4	2	48	1	2	4	320	7	0	22	0	12	4	0	2
485	497	"Colo Marsh"	42.02	-93.27	313	"AWI"	313	15524	17745	16534	6	3	9	8	66	20	0	0	0	0	0	4	6	36	0	8	174	0	13	0	368	8	0	24	0	10	1	0	1
