"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Juglans"	"Larix"	"Nyssa"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Quercus"	"Rumex"	"Salix"	"Tilia"	"Tsuga"	"Ulmus"
661	679	"Demont Lake"	43.48	-85	605	"AWI"	605	7838	9907	8692	0	5	0	1	1	0	18	1	1	0	0	1	2	9	0	0	0	18	0	106	0	0	87	0	1	0	0	15
661	679	"Demont Lake"	43.48	-85	615	"AWI"	615	7907	10530	8957	6	2	1	1	2	0	3	2	0	4	0	0	2	3	0	0	0	18	0	58	0	3	54	0	0	3	0	13
661	679	"Demont Lake"	43.48	-85	630	"AWI"	630	7983	11509	9341	0	1	0	1	0	5	6	1	1	1	0	0	0	3	0	0	0	8	0	126	0	0	63	0	0	0	0	5
661	679	"Demont Lake"	43.48	-85	645	"AWI"	645	8654	11676	9874	0	1	1	0	2	3	7	1	2	0	1	0	1	6	0	0	0	5	0	115	0	0	50	0	1	1	0	7
661	679	"Demont Lake"	43.48	-85	660	"AWI"	660	9113	11870	10434	0	2	0	2	1	0	7	0	0	0	0	0	1	4	0	2	0	4	0	145	0	0	38	0	0	0	0	7
661	679	"Demont Lake"	43.48	-85	685	"AWI"	685	9621	12338	11380	1	6	0	0	1	2	14	3	0	1	0	1	2	8	0	0	0	7	14	167	0	0	48	0	0	1	0	21
661	679	"Demont Lake"	43.48	-85	700	"AWI"	700	10057	12653	11761	0	2	1	0	2	2	3	2	2	0	0	0	1	6	0	4	0	7	0	150	0	0	28	0	0	0	0	15
661	679	"Demont Lake"	43.48	-85	715	"AWI"	715	10703	12710	12010	0	1	0	0	0	2	7	0	1	0	0	0	0	4	0	2	0	3	4	128	0	0	31	0	3	0	0	10
661	679	"Demont Lake"	43.48	-85	720	"AWI"	720	10870	12730	12097	0	0	1	0	2	0	3	0	0	2	0	0	0	13	1	4	0	1	15	166	0	0	14	0	2	0	0	4
661	679	"Demont Lake"	43.48	-85	730	"AWI"	730	11188	12789	12291	2	0	0	2	0	0	4	2	0	4	0	0	1	13	1	1	0	6	34	76	0	4	7	0	6	0	0	15
661	679	"Demont Lake"	43.48	-85	735	"AWI"	735	11294	12837	12412	0	0	1	0	11	0	6	0	0	0	0	0	0	10	2	0	0	4	35	117	0	0	20	0	0	0	0	3
661	679	"Demont Lake"	43.48	-85	750	"AWI"	750	11591	13151	12672	2	3	1	0	8	0	3	2	0	0	0	0	0	9	2	1	0	7	59	94	0	0	11	0	0	0	0	2
661	679	"Demont Lake"	43.48	-85	765	"AWI"	765	11791	13481	12806	0	0	1	0	18	5	4	0	0	0	0	0	1	6	0	1	0	3	63	87	0	0	14	0	3	0	1	2
661	679	"Demont Lake"	43.48	-85	780	"AWI"	780	11920	13627	12890	0	0	3	0	10	0	4	0	0	0	0	0	0	1	0	0	0	3	91	78	0	0	14	0	1	0	0	1
661	679	"Demont Lake"	43.48	-85	795	"AWI"	795	12038	13829	12968	4	0	2	0	16	9	1	0	0	1	0	0	0	9	0	5	0	6	184	50	0	0	7	0	0	0	0	0
661	679	"Demont Lake"	43.48	-85	810	"AWI"	810	12113	14065	13046	6	0	2	0	17	8	2	1	0	1	0	0	0	7	1	1	0	8	72	61	0	0	14	0	0	0	0	0
661	679	"Demont Lake"	43.48	-85	815	"AWI"	815	12139	14135	13071	4	0	4	1	11	3	1	0	0	0	2	0	0	9	0	0	0	3	85	73	0	0	8	0	0	0	0	2
661	679	"Demont Lake"	43.48	-85	830	"AWI"	830	12252	14287	13154	9	1	1	0	25	0	12	0	0	0	0	0	3	40	0	0	0	8	56	35	0	0	19	0	1	0	0	17
661	679	"Demont Lake"	43.48	-85	845	"AWI"	845	12362	14411	13236	8	0	1	0	25	0	0	0	1	0	0	0	0	20	0	0	0	8	93	35	0	0	4	0	1	0	0	2
661	679	"Demont Lake"	43.48	-85	860	"AWI"	860	12478	14580	13317	14	1	0	0	9	8	4	0	0	0	0	0	0	14	0	0	0	2	90	42	0	0	11	0	0	0	0	0
661	679	"Demont Lake"	43.48	-85	875	"AWI"	875	12553	14761	13396	9	0	0	0	11	0	0	0	0	0	0	0	0	13	0	0	0	9	93	67	0	0	4	0	0	0	0	0
661	679	"Demont Lake"	43.48	-85	890	"AWI"	890	12655	14930	13489	10	0	1	1	4	5	0	1	0	0	0	0	0	10	0	0	0	5	78	69	0	0	10	0	2	0	0	1
661	679	"Demont Lake"	43.48	-85	905	"AWI"	905	12815	15046	13590	5	0	0	1	10	6	0	1	0	0	0	0	0	26	1	2	0	1	43	86	0	2	10	0	1	0	0	2
661	679	"Demont Lake"	43.48	-85	915	"AWI"	915	12898	15119	13651	3	0	1	2	16	0	0	0	0	0	0	0	0	12	0	0	0	3	25	122	0	2	6	0	1	0	0	1
661	679	"Demont Lake"	43.48	-85	930	"AWI"	930	13002	15331	13736	6	0	0	3	8	14	0	0	0	0	0	0	0	29	0	0	0	0	24	90	0	0	8	0	14	0	0	0
661	679	"Demont Lake"	43.48	-85	945	"AWI"	945	13087	15525	13829	6	0	0	1	2	11	0	0	0	0	0	0	0	30	0	0	0	7	31	85	0	4	10	0	9	0	0	0
