"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Agathis"	"Arecaceae"	"Casuarinaceae"	"Cunoniaceae"	"Dacrydium"	"Elaeocarpaceae"	"Eucalyptus"	"Myrtaceae"	"Phyllocladus"	"Poaceae"	"Podocarpus"	"Rutaceae"	"Urticaceae"
1628	1683	"Lynch's Crater"	-17.3667	145.6881	1950	"AWI"	1950	63637	72227	66807	13.2075471698113	0	22.0125786163522	0	0	0	18.8679245283019	3.14465408805031	0	22.6415094339623	14.4654088050314	0	5.66037735849057
1628	1683	"Lynch's Crater"	-17.3667	145.6881	1975	"AWI"	1975	63861	73490	67448	10.4575163398693	0	22.2222222222222	0	1.96078431372549	0	31.3725490196078	2.61437908496732	0	16.3398692810458	11.1111111111111	1.96078431372549	1.96078431372549
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2000	"AWI"	2000	64161	74642	68076	13.7724550898204	0	26.9461077844311	0	0.598802395209581	0	15.5688622754491	1.19760479041916	0	25.1497005988024	13.7724550898204	0.598802395209581	2.39520958083832
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2025	"AWI"	2025	64726	75194	68789	11.3924050632911	0	30.379746835443	0	0.632911392405063	0.632911392405063	13.9240506329114	2.53164556962025	0	27.2151898734177	8.86075949367089	1.89873417721519	2.53164556962025
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2050	"AWI"	2050	65115	75852	69500	6.07734806629834	0	29.2817679558011	0	0.552486187845304	0	23.2044198895028	0	0	25.9668508287293	10.4972375690608	1.10497237569061	3.31491712707182
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2075	"AWI"	2075	65410	76765	70185	11.377245508982	0	28.7425149700599	0	0	0	19.1616766467066	2.9940119760479	0	20.9580838323353	12.5748502994012	2.9940119760479	1.19760479041916
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2100	"AWI"	2100	65696	77807	70853	14.9700598802395	0	24.5508982035928	0	1.19760479041916	1.19760479041916	11.377245508982	5.38922155688623	0	27.5449101796407	7.18562874251497	1.19760479041916	5.38922155688623
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2125	"AWI"	2125	66437	78242	71527	14.1975308641975	0	16.6666666666667	0	1.23456790123457	1.85185185185185	22.8395061728395	5.55555555555556	0	25.3086419753086	3.7037037037037	2.46913580246914	6.17283950617284
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2150	"AWI"	2150	67001	78867	72197	15.9763313609467	0.591715976331361	26.6272189349112	0	1.18343195266272	0	10.6508875739645	4.73372781065089	0	26.0355029585799	9.46745562130178	0	4.73372781065089
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2175	"AWI"	2175	67390	79660	72857	14.207650273224	0	22.4043715846995	0	0.546448087431694	1.09289617486339	12.568306010929	5.46448087431694	0	27.8688524590164	8.19672131147541	1.09289617486339	6.55737704918033
