"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Morus"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Vitaceae"
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1400	"AWI"	1400	1512	2301	1817	0	0	22	0	0	9	0	64	0	0	0	0	0	0	0	0	4	13	21	0	0	0	0	0	2	6	0	6	0	0	2	9	184	0	21	11	16	0	2	0	0	0	0	1	1	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1420	"AWI"	1420	1757	2734	2180	1	0	18	0	0	4	0	77	0	0	0	2	0	0	0	0	2	3	11	0	0	0	0	0	4	4	0	2	0	0	6	6	235	2	8	4	21	0	0	0	0	0	0	5	0	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1440	"AWI"	1440	2047	3110	2563	3	0	18	0	0	7	0	67	0	0	0	0	0	0	0	0	5	6	10	0	0	0	0	0	4	3	0	2	0	0	7	6	170	0	7	4	13	0	2	0	0	1	0	7	1	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1460	"AWI"	1460	2350	3469	2921	0	0	27	0	0	2	0	51	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	6	1	0	8	2	0	0	6	161	0	13	3	28	1	3	0	0	0	0	6	1	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1480	"AWI"	1480	2732	3777	3289	1	0	4	0	0	11	0	36	0	0	0	0	0	0	0	0	2	3	3	0	0	0	0	0	2	0	0	0	0	0	5	12	169	1	3	8	8	0	1	0	0	0	0	4	0	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1500	"AWI"	1500	3134	4056	3647	3	0	18	0	0	11	0	42	0	0	0	0	0	0	1	0	2	0	12	0	0	0	0	0	4	1	0	3	0	0	5	7	188	0	8	4	19	0	5	0	0	0	0	2	0	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1520	"AWI"	1520	3719	4330	3985	0	0	24	0	0	10	0	38	0	0	0	0	0	0	0	0	6	2	15	0	0	0	0	0	7	2	0	1	0	0	7	8	158	1	9	8	34	0	8	0	0	0	0	0	0	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1540	"AWI"	1540	4085	5106	4508	2	0	54	0	0	20	0	78	0	0	0	0	0	0	0	1	10	4	16	0	0	0	0	0	14	6	0	3	0	0	6	12	233	2	27	9	42	0	7	0	0	0	0	10	3	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1560	"AWI"	1560	4516	5667	5104	0	0	29	0	1	14	11	21	0	0	0	0	0	0	0	0	7	3	12	0	0	0	0	0	5	1	0	0	0	0	4	2	122	0	20	5	28	0	3	0	0	0	0	2	0	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1570	"AWI"	1570	4788	5888	5403	0	0	44	0	0	17	0	35	0	0	0	0	0	0	0	0	2	2	54	0	0	0	0	0	9	5	2	1	0	0	4	2	169	2	22	10	26	1	9	0	0	1	0	2	1	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1580	"AWI"	1580	5106	6063	5683	2	0	28	0	0	7	0	31	0	0	0	0	0	0	2	0	7	0	12	0	0	0	0	0	19	8	0	4	0	0	15	7	244	1	17	5	47	0	4	0	0	2	0	15	1	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1590	"AWI"	1590	5612	6232	5950	1	0	14	0	0	14	0	25	0	0	0	0	0	0	1	0	7	1	5	0	0	0	0	0	8	2	0	0	0	0	18	2	200	0	11	1	56	0	1	0	0	1	0	6	1	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1600	"AWI"	1600	5858	6752	6247	0	0	22	0	0	19	0	21	0	0	0	0	0	0	0	0	5	2	8	0	0	0	0	0	11	3	0	0	0	0	18	1	72	0	14	4	48	0	4	0	0	1	0	13	1	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1610	"AWI"	1610	6056	7212	6546	2	0	22	0	0	8	0	26	0	0	0	0	0	0	0	0	4	3	9	0	0	0	0	0	12	0	0	2	0	0	16	2	193	1	18	6	52	0	2	0	1	1	0	7	0	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1620	"AWI"	1620	6278	7529	6866	0	0	18	0	0	24	0	32	0	0	0	0	0	0	0	0	10	4	15	0	0	0	0	1	12	1	0	0	0	0	23	5	71	0	25	3	63	0	9	0	0	2	0	11	0	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1628	"AWI"	1628	6507	7737	7115	0	0	11	0	0	15	0	35	0	0	0	0	0	0	0	0	6	1	23	0	0	0	0	0	14	1	0	0	0	0	24	0	42	1	18	2	60	1	8	0	0	0	0	9	2	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1640	"AWI"	1640	6833	8046	7494	0	0	13	0	1	24	0	30	0	0	0	0	0	0	0	0	15	7	41	0	0	0	0	0	10	12	0	0	1	0	14	0	55	0	27	16	107	0	7	0	1	0	0	6	4	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1650	"AWI"	1650	7172	8238	7819	0	0	10	0	0	19	0	22	0	0	0	1	1	0	0	0	13	6	15	0	0	1	0	0	14	8	0	0	1	0	6	2	80	0	24	15	102	0	7	1	0	1	0	13	1	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1660	"AWI"	1660	7718	8405	8124	0	0	15	0	0	24	0	17	0	0	0	0	0	0	0	0	5	3	18	1	0	0	0	0	6	4	0	0	0	0	4	7	76	0	28	12	54	0	7	0	0	0	0	8	1	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1670	"AWI"	1670	8103	8802	8406	0	0	15	0	0	31	0	23	0	0	0	0	0	0	0	0	5	3	18	0	1	0	0	0	9	9	0	0	0	0	5	2	0	0	27	9	30	1	12	0	0	0	0	2	2	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1680	"AWI"	1680	8266	9362	8680	1	0	22	0	1	22	0	16	0	0	0	0	0	0	0	0	4	6	26	0	0	0	0	0	7	11	0	0	0	0	5	3	160	0	43	21	22	0	12	0	0	0	0	8	1	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1700	"AWI"	1700	8645	10117	9284	0	0	22	0	0	23	0	18	0	0	1	0	0	0	0	0	6	2	23	1	0	0	0	0	12	3	0	1	0	1	4	1	167	0	19	2	19	0	16	0	0	0	0	3	0	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1720	"AWI"	1720	9071	10779	9891	1	0	35	0	0	22	0	56	2	0	0	0	0	0	0	0	6	1	15	0	0	0	0	0	12	6	0	2	0	0	6	7	0	2	17	2	12	0	13	0	0	0	0	11	1	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1740	"AWI"	1740	9609	11360	10510	1	0	30	0	0	18	0	30	0	0	0	0	0	0	0	0	2	3	52	0	0	0	0	0	1	3	0	4	0	0	7	6	197	1	13	0	14	0	8	0	0	0	0	8	0	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1760	"AWI"	1760	10227	11889	11120	5	0	3	0	0	10	0	66	0	0	0	0	0	0	0	0	3	1	11	0	0	0	0	0	4	6	0	3	0	0	6	34	0	0	7	3	19	0	4	0	1	0	0	26	0	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1774	"AWI"	1774	10749	12164	11545	2	0	0	0	0	12	0	52	0	0	0	2	0	0	1	0	6	3	41	0	0	0	0	0	22	7	0	16	0	0	5	32	0	0	16	18	23	0	4	0	0	0	0	18	0	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1790	"AWI"	1790	11346	12519	12016	1	0	4	0	0	15	0	24	0	0	0	2	0	0	0	0	3	10	22	0	0	0	0	0	22	7	0	17	0	0	4	144	0	0	14	12	18	0	10	0	0	0	0	20	1	0
