"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Caryophyllaceae"	"Ceanothus"	"Celtis"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Larix"	"Liquidambar"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"	"Vitaceae"
1486	1524	"Kitchner Lake"	45.66667	-87.455	180	"AWI"	180	1328	3072	2165	2	0	4	0	5	0	91	1	0	0	0	0	0	0	0	18	5	3	0	0	8	1	0	0	15	9	0	0	1	0	0	14	0	0	0	0	0	2	66	10	0	0
1486	1524	"Kitchner Lake"	45.66667	-87.455	220	"AWI"	220	1882	3580	2754	0	0	1	1	1	0	144	1	0	0	2	0	0	0	0	19	0	0	0	0	21	1	0	0	7	2	0	0	0	0	0	25	0	0	0	0	0	7	51	17	0	0
1486	1524	"Kitchner Lake"	45.66667	-87.455	240	"AWI"	240	2176	3830	3047	2	0	1	0	4	0	94	1	0	0	1	0	0	0	0	7	0	2	0	0	31	3	1	0	14	5	107	0	0	2	1	41	0	0	0	0	0	6	43	9	0	0
1486	1524	"Kitchner Lake"	45.66667	-87.455	260	"AWI"	260	2502	4078	3330	4	0	1	2	5	0	105	0	0	0	0	2	1	0	0	8	4	4	0	0	21	5	0	0	18	1	127	0	0	0	3	34	0	0	1	0	0	6	27	7	0	0
1486	1524	"Kitchner Lake"	45.66667	-87.455	280	"AWI"	280	2852	4291	3614	1	0	6	1	3	0	31	2	0	0	0	0	3	0	0	6	11	6	0	0	24	2	0	0	11	0	156	0	0	0	0	52	0	0	2	0	0	6	16	10	0	0
1486	1524	"Kitchner Lake"	45.66667	-87.455	300	"AWI"	300	3349	4495	3875	2	0	7	0	4	0	63	3	0	0	0	0	0	0	0	4	0	5	0	0	18	2	0	0	15	4	201	0	0	1	1	54	0	0	4	0	0	3	10	11	0	0
1486	1524	"Kitchner Lake"	45.66667	-87.455	320	"AWI"	320	3742	4860	4245	1	0	10	1	4	0	36	0	0	0	0	1	1	0	0	1	10	7	0	0	29	4	0	0	11	6	187	0	1	1	0	30	0	0	0	0	0	0	9	11	0	0
1486	1524	"Kitchner Lake"	45.66667	-87.455	340	"AWI"	340	4040	5355	4666	1	0	2	0	2	0	42	1	0	0	0	0	0	0	0	0	10	5	0	5	26	2	0	0	11	5	164	0	0	1	2	41	0	0	0	0	0	1	20	9	0	0
1486	1524	"Kitchner Lake"	45.66667	-87.455	360	"AWI"	360	4407	5798	5112	2	0	8	0	2	0	50	0	0	0	0	0	3	0	0	1	8	2	0	0	12	9	1	0	19	2	164	0	0	0	0	33	0	0	0	0	0	1	7	7	0	0
1486	1524	"Kitchner Lake"	45.66667	-87.455	380	"AWI"	380	4872	6124	5545	2	0	3	4	1	0	18	0	0	0	0	0	2	0	0	2	3	4	2	0	2	2	0	0	11	1	260	0	0	1	0	28	0	0	1	0	0	1	5	7	0	0
1486	1524	"Kitchner Lake"	45.66667	-87.455	420	"AWI"	420	5713	7356	6364	1	0	5	2	5	0	17	0	1	0	0	1	3	0	0	1	0	7	0	0	4	3	0	0	14	1	378	0	1	2	1	31	0	0	1	0	0	1	2	8	0	0
1486	1524	"Kitchner Lake"	45.66667	-87.455	440	"AWI"	440	5988	7964	6795	2	0	4	3	2	0	17	1	0	0	0	0	0	0	0	1	0	2	0	0	16	0	0	0	13	2	288	0	0	0	0	26	0	0	0	0	0	0	1	16	0	0
1486	1524	"Kitchner Lake"	45.66667	-87.455	460	"AWI"	460	6300	8505	7244	1	0	1	0	2	0	42	0	0	0	0	0	0	0	0	0	6	0	1	0	7	6	0	0	19	3	250	0	1	0	0	41	0	0	0	0	0	0	1	10	0	0
1486	1524	"Kitchner Lake"	45.66667	-87.455	480	"AWI"	480	6633	8993	7703	2	0	8	1	5	0	38	1	0	0	0	3	1	0	0	0	0	4	0	0	10	4	0	0	11	7	412	0	0	2	0	18	0	0	1	0	0	0	0	13	0	0
1486	1524	"Kitchner Lake"	45.66667	-87.455	500	"AWI"	500	6981	9486	8150	0	0	1	0	5	0	18	3	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	9	1	472	0	0	1	0	18	0	0	0	0	0	0	0	13	0	0
1486	1524	"Kitchner Lake"	45.66667	-87.455	520	"AWI"	520	7371	9919	8592	2	0	1	0	5	0	23	2	0	0	0	1	3	0	0	0	5	2	0	0	0	2	0	0	4	6	461	0	1	1	0	15	0	0	2	0	0	0	1	13	0	0
1486	1524	"Kitchner Lake"	45.66667	-87.455	540	"AWI"	540	7755	10356	9027	4	0	2	1	7	0	38	1	0	0	0	2	0	0	0	0	7	2	0	0	10	0	0	0	7	23	239	0	1	0	0	32	0	0	4	0	0	1	0	14	0	0
1486	1524	"Kitchner Lake"	45.66667	-87.455	580	"AWI"	580	8701	11145	9932	5	0	0	0	12	0	29	4	0	0	0	0	1	0	0	0	6	13	0	0	2	7	0	0	14	31	292	0	1	3	1	42	0	0	0	0	0	0	0	17	0	0
1486	1524	"Kitchner Lake"	45.66667	-87.455	620	"AWI"	620	9841	11930	10813	0	0	0	0	6	0	3	0	0	0	0	0	1	0	0	0	0	15	0	0	3	5	0	0	1	196	90	0	0	0	0	17	0	0	0	0	1	0	0	11	0	0
1486	1524	"Kitchner Lake"	45.66667	-87.455	660	"AWI"	660	10543	13479	11755	1	0	1	2	24	5	6	0	0	0	0	0	6	0	0	0	0	5	0	0	0	0	0	0	2	66	0	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0
1486	1524	"Kitchner Lake"	45.66667	-87.455	700	"AWI"	700	11133	15060	12733	0	0	0	0	7	0	2	0	0	0	0	1	1	1	0	0	10	8	0	0	0	0	0	0	11	43.5	0	0	0	0	3	10	0	0	4	0	0	0	0	1	0	0
