"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Thalictrum"	"Tsuga"	"Ulmus"
233	236	"Baseball Bog"	47.23	-79.78	100	"AWI"	100	2652	4474	3558	1	0	13	0	2	0	35	0	0	0	4	0	0	1	0	1	0	0	0	1	7	146	0	0	0	4	0	0	0	0	0	5
233	236	"Baseball Bog"	47.23	-79.78	110	"AWI"	110	2976	4820	3914	1	1	5	1	0	0	24	0	0	0	7	0	0	1	0	4	0	1	0	0	3	156	0	0	0	7	0	0	0	0	0	6
233	236	"Baseball Bog"	47.23	-79.78	120	"AWI"	120	3329	5177	4281	3	1	9	1	0	0	37	0	0	1	6	0	0	0	0	2	0	0	0	0	7	138	0	1	0	4	0	0	1	0	0	4
233	236	"Baseball Bog"	47.23	-79.78	130	"AWI"	130	3693	5516	4644	2	0	4	0	0	0	10	0	0	1	8	0	0	1	0	0	0	0	0	0	1	184	0	0	0	1	0	0	0	0	0	0
233	236	"Baseball Bog"	47.23	-79.78	140	"AWI"	140	4070	5831	5004	2	0	4	1	1	0	22	0	0	0	5	0	0	1	2	2	0	1	0	2	6	153	0	0	0	7	0	0	0	0	1	3
233	236	"Baseball Bog"	47.23	-79.78	150	"AWI"	150	4478	6145	5368	0	0	0	1	0	0	11	0	0	0	6	0	0	1	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	1	1
233	236	"Baseball Bog"	47.23	-79.78	160	"AWI"	160	4852	6447	5723	0	0	2	0	0	0	5	0	0	0	3	0	0	1	0	1	0	0	0	1	1	189	0	0	0	0	0	0	0	0	0	3
233	236	"Baseball Bog"	47.23	-79.78	170	"AWI"	170	5278	6753	6089	0	1	1	0	0	0	4	0	0	0	1	0	0	0	0	1	0	1	0	0	2	187	0	0	0	4	0	0	0	0	0	1
233	236	"Baseball Bog"	47.23	-79.78	180	"AWI"	180	5702	7038	6447	0	0	1	1	0	2	11	0	0	0	0	0	0	0	3	0	0	0	1	1	4	174	0	0	0	4	0	0	0	0	0	3
233	236	"Baseball Bog"	47.23	-79.78	190	"AWI"	190	6117	7274	6807	2	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	188	0	0	0	2	0	0	0	0	0	2
233	236	"Baseball Bog"	47.23	-79.78	200	"AWI"	200	6614	7514	7169	2	0	0	0	2	0	5	0	0	0	0	0	0	0	4	1	0	0	0	1	4	176	0	0	0	3	0	0	0	0	1	5
233	236	"Baseball Bog"	47.23	-79.78	210	"AWI"	210	6883	7892	7444	1	0	3	0	0	0	12	0	0	0	6	0	0	0	2	1	0	0	2	4	1	176	0	0	0	0	0	0	0	0	2	2
233	236	"Baseball Bog"	47.23	-79.78	220	"AWI"	220	7119	8250	7712	1	0	4	0	2	4	24	0	0	1	10	0	0	0	0	2	0	2	3	3	3	155	0	1	0	6	0	0	1	0	1	1
233	236	"Baseball Bog"	47.23	-79.78	230	"AWI"	230	7375	8583	7984	1	1	2	0	0	4	37	0	0	0	0	0	0	0	0	2	0	3	1	3	8	135	0	0	1	10	0	0	0	0	0	1
233	236	"Baseball Bog"	47.23	-79.78	240	"AWI"	240	7621	8898	8264	3	0	7	0	1	0	54	0	0	0	0	0	0	0	0	1	0	1	8	4	7	122	0	0	0	5	0	0	0	0	0	3
233	236	"Baseball Bog"	47.23	-79.78	250	"AWI"	250	7872	9201	8537	2	0	8	0	2	0	46	1	0	0	0	0	0	0	0	1	0	1	10	1	7	0	0	0	0	9	0	0	1	0	0	1
233	236	"Baseball Bog"	47.23	-79.78	260	"AWI"	260	8141	9483	8810	0	0	1	0	0	7	56	0	1	1	2	0	0	0	0	1	0	3	3	4	12	113	0	1	1	7	1	0	1	0	0	1
233	236	"Baseball Bog"	47.23	-79.78	270	"AWI"	270	8406	9787	9096	0	1	7	2	4	4	51	0	0	1	7	0	0	0	0	6	0	3	4	9	25	0	0	0	0	13	0	0	3	0	0	5
233	236	"Baseball Bog"	47.23	-79.78	280	"AWI"	280	8668	10058	9377	0	1	6	1	4	0	31	1	1	2	1	0	0	0	0	5	1	4	5	5	29	108	0	2	0	10	2	0	3	0	1	3
233	236	"Baseball Bog"	47.23	-79.78	290	"AWI"	290	8959	10342	9659	0	0	5	1	1	0	44	0	0	0	1	0	0	0	0	0	0	2	9	8	10	114	2	1	2	8	0	0	0	1	0	6
233	236	"Baseball Bog"	47.23	-79.78	300	"AWI"	300	9246	10597	9938	0	0	3	0	2	5	57	1	0	1	0	0	0	0	0	5	0	1	16	3	16	97	0	1	2	15	4	0	5	0	1	4
233	236	"Baseball Bog"	47.23	-79.78	310	"AWI"	310	9544	10855	10211	0	0	3	4	4	2	51	1	0	3	0	0	0	0	0	2	0	1	8	3	40	0	0	0	0	12	2	0	1	0	0	1
233	236	"Baseball Bog"	47.23	-79.78	320	"AWI"	320	9859	11136	10499	1	0	4	0	5	3	46	0	0	0	3	0	0	0	0	2	1	6	0	3	36	86	0	0	3	15	0	0	5	0	0	3
233	236	"Baseball Bog"	47.23	-79.78	330	"AWI"	330	10191	11425	10769	0	0	7	0	1	0	23	0	0	0	2	0	0	0	0	0	0	2	1	3	94	52	0	0	2	19	0	0	3	0	0	4
233	236	"Baseball Bog"	47.23	-79.78	335	"AWI"	335	10314	11572	10904	0	0	4	2	1	3	24	1	0	3	4	0	0	0	0	0	0	0	0	4	105	36	0	1	5	16	0	0	1	0	0	5
233	236	"Baseball Bog"	47.23	-79.78	340	"AWI"	340	10402	11743	11038	0	0	4	0	6	2	10	1	0	0	12	0	0	0	0	2	0	1	4	9	95	50	0	0	2	18	0	0	3	0	0	12
233	236	"Baseball Bog"	47.23	-79.78	345	"AWI"	345	10517	11909	11169	0	1	0	1	5	0	8	2	0	8	5	0	1	0	0	5	0	0	0	3	107	40	1	0	4	17	0	0	3	0	1	8
233	236	"Baseball Bog"	47.23	-79.78	350	"AWI"	350	10628	12078	11306	1	0	2	1	11	4	8	1	0	18	15	1	0	0	0	2	0	0	1	3	56	62	0	2	18	25	0	0	1	0	0	7
233	236	"Baseball Bog"	47.23	-79.78	355	"AWI"	355	10742	12255	11433	1	1	1	0	10	3	34	1	0	20	0	0	1	0	0	21	0	0	0	4	27	59	3	7	24	15	0	0	4	0	0	10
233	236	"Baseball Bog"	47.23	-79.78	370	"AWI"	370	11074	12773	11842	0	0	2	0	3	0	15	0	0	2	2	1	1	0	0	12	0	0	0	0	15	41	0	2	9	7	0	0	1	0	0	11
