"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Lamiaceae"	"Larix"	"Liquidambar"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"
1646	1701	"Maplehurst Lake"	43.225	-80.65972	305	"AWI"	305	3376	5066	4218	0	25	1	1	0	2	0	28	6	0	1	1	1	2	0	0	0	66	16	0	2	0	2	0	0	0	0	0	10	1	0	4	1	1	53	0	1	0	0	0	0	0	0	0	5	11	30	1
1646	1701	"Maplehurst Lake"	43.225	-80.65972	325	"AWI"	325	3651	5324	4492	0	30	4	1	0	2	0	22	5	0	0	1	3	1	0	0	0	84	13	0	1	0	3	0	0	0	0	0	9	0	0	8	1	3	58	0	0	0	0	0	0	0	0	0	3	12	47	0
1646	1701	"Maplehurst Lake"	43.225	-80.65972	345	"AWI"	345	3927	5563	4772	0	40	1	1	0	1	0	24	7	0	0	0	6	1	0	0	1	90	26	0	3	0	4	0	3	0	0	0	14	0	75	8	0	0	82	0	0	0	0	0	1	0	0	1	1	11	36	0
1646	1701	"Maplehurst Lake"	43.225	-80.65972	365	"AWI"	365	4232	5823	5041	0	38	1	1	0	1	0	19	4	0	0	1	3	0	0	0	0	72	21	0	5	0	2	0	1	0	0	0	16	0	0	7	1	2	68	0	0	0	0	0	0	0	0	1	3	13	55	0
1646	1701	"Maplehurst Lake"	43.225	-80.65972	385	"AWI"	385	4526	6081	5306	0	20	1	0	0	1	0	7	3	0	0	1	3	3	0	0	0	52	12	0	4	0	3	0	0	0	0	0	12	1	0	3	1	3	49	0	0	0	0	0	0	0	0	0	4	34	37	0
1646	1701	"Maplehurst Lake"	43.225	-80.65972	405	"AWI"	405	4857	6322	5573	0	21	1	0	0	1	0	9	6	0	1	0	1	0	0	0	0	35	10	0	1	0	1	0	0	0	0	0	6	1	0	9	1	1	60	0	1	0	0	0	1	1	0	0	1	26	30	1
1646	1701	"Maplehurst Lake"	43.225	-80.65972	425	"AWI"	425	5195	6548	5842	0	20	0	1	0	0	0	12	10	0	0	1	2	0	0	0	0	62	17	0	6	0	6	0	1	0	0	0	14	2	24	2	0	2	81	0	0	0	0	0	0	0	0	0	5	29	33	2
1646	1701	"Maplehurst Lake"	43.225	-80.65972	446	"AWI"	446	5594	6785	6118	0	15	2	0	0	0	0	6	7	0	0	0	1	0	0	0	0	84	9	0	6	0	2	0	0	1	0	0	11	1	0	10	0	0	39	0	0	0	0	0	1	0	0	0	6	69	38	2
1646	1701	"Maplehurst Lake"	43.225	-80.65972	465	"AWI"	465	5891	7075	6407	0	33	0	0	0	2	0	6	4	0	0	0	0	0	0	0	0	68	11	0	6	0	3	0	0	0	0	0	21	0	20	3	2	0	75	0	0	0	0	0	0	0	0	0	8	32	55	0
1646	1701	"Maplehurst Lake"	43.225	-80.65972	485	"AWI"	485	6163	7451	6745	0	31	0	0	0	2	0	5	6	0	0	1	1	0	0	0	0	108	17	0	6	0	3	0	0	0	0	0	20	1	19	3	1	0	48	0	0	0	0	0	1	0	0	0	4	27	61	0
1646	1701	"Maplehurst Lake"	43.225	-80.65972	505	"AWI"	505	6448	7793	7079	0	28	2	0	0	0	0	4	11	0	0	1	1	0	0	0	0	93	9	0	1	0	1	0	1	0	0	0	25	1	0	9	0	0	56	0	0	0	0	0	0	0	0	0	4	23	40	1
1646	1701	"Maplehurst Lake"	43.225	-80.65972	510	"AWI"	510	6509	7876	7163	0	34	1	3	0	2	0	7	7	0	0	0	3	0	0	0	0	129	16	0	5	0	1	0	2	0	0	0	25	2	0	7	1	1	64	0	0	0	0	0	4	0	0	0	7	24	63	0
1646	1701	"Maplehurst Lake"	43.225	-80.65972	525	"AWI"	525	6732	8127	7410	0	36	2	1	0	1	0	4	7	0	0	3	0	3	0	0	0	111	12	0	2	0	1	0	0	0	0	0	51	0	24	8	0	1	111	0	0	0	0	0	1	0	0	0	7	28	88	0
1646	1701	"Maplehurst Lake"	43.225	-80.65972	535	"AWI"	535	6906	8272	7580	0	19	1	0	0	1	0	9	5	0	0	1	1	1	0	0	0	70	19	0	4	0	1	0	0	0	1	0	32	0	23	5	1	1	64	0	1	0	0	0	1	1	0	0	9	31	51	0
1646	1701	"Maplehurst Lake"	43.225	-80.65972	545	"AWI"	545	7083	8418	7745	0	26	1	1	0	1	0	6	8	0	0	1	2	2	0	0	0	93	6	0	2	0	4	0	2	0	0	0	29	0	16	5	0	1	50	0	0	0	0	0	3	0	0	0	4	32	51	0
1646	1701	"Maplehurst Lake"	43.225	-80.65972	555	"AWI"	555	7262	8576	7912	0	18	0	0	1	0	0	6	6	0	0	0	1	1	0	0	0	68	10	0	4	0	1	0	0	1	0	0	24	1	17	5	0	0	60	0	0	0	0	0	0	0	0	0	4	102	47	0
1646	1701	"Maplehurst Lake"	43.225	-80.65972	565	"AWI"	565	7428	8750	8080	0	18	2	2	0	1	0	10	11	0	0	2	3	3	0	0	0	62	31	0	3	0	1	0	0	0	0	0	32	2	55	4	1	1	54	0	0	0	0	0	0	0	0	0	5	77	49	1
1646	1701	"Maplehurst Lake"	43.225	-80.65972	575	"AWI"	575	7633	8885	8238	0	24	1	0	0	0	0	9	11	0	1	1	2	0	0	1	0	11	21	0	1	0	4	0	2	0	0	0	37	4	88	2	4	2	66	0	1	0	0	0	0	0	0	0	2	74	42	0
1646	1701	"Maplehurst Lake"	43.225	-80.65972	585	"AWI"	585	7861	9030	8392	2	13	1	2	0	3	0	10	6	0	0	0	0	1	0	0	0	6	11	0	4	0	1	0	1	0	0	0	26	1	112	5	0	3	57	0	0	0	0	0	0	0	0	0	8	117	26	1
1646	1701	"Maplehurst Lake"	43.225	-80.65972	595	"AWI"	595	8101	9177	8553	0	23	1	1	0	0	0	11	2	0	0	1	0	3	0	0	0	4	9	0	3	0	2	0	1	0	1	0	78	2	152	4	3	4	76	0	1	0	0	0	1	0	0	1	7	52	29	3
1646	1701	"Maplehurst Lake"	43.225	-80.65972	605	"AWI"	605	8289	9373	8736	6	24	3	0	0	0	0	17	7	0	1	3	0	0	0	0	0	1	6	0	0	0	0	0	3	0	0	1	85	9	211	7	2	2	106	0	0	0	0	0	0	0	0	0	3	7	25	6
1646	1701	"Maplehurst Lake"	43.225	-80.65972	615	"AWI"	615	8419	9681	8967	0	3	0	2	0	1	0	14	2	0	0	1	0	1	0	0	0	1	6	0	0	0	0	0	0	0	0	0	25	0	113	4	1	1	57	0	0	0	0	0	0	0	0	0	3	3	8	0
1646	1701	"Maplehurst Lake"	43.225	-80.65972	625	"AWI"	625	8587	9945	9190	1	6	0	2	0	1	0	19	2	0	0	1	0	3	0	0	0	0	6	0	3	0	0	0	0	0	0	0	22	7	171	5	2	1	62	0	1	0	0	0	1	0	0	0	4	5	11	4
1646	1701	"Maplehurst Lake"	43.225	-80.65972	635	"AWI"	635	8754	10240	9404	2	9	0	0	0	2	0	8	3	0	0	0	0	1	0	0	0	4	11	0	0	0	1	0	1	0	0	0	28	12	182	0	1	7	57	0	0	0	1	1	0	0	0	0	2	18	17	3
1646	1701	"Maplehurst Lake"	43.225	-80.65972	645	"AWI"	645	8921	10513	9621	2	1	1	0	0	3	0	28	1	0	0	1	0	0	0	0	0	0	12	0	1	0	1	0	2	0	1	0	21	4	286	0	4	7	63	0	0	0	1	0	0	0	1	0	1	2	8	3
1646	1701	"Maplehurst Lake"	43.225	-80.65972	655	"AWI"	655	9084	10792	9836	3	3	0	1	0	3	0	15	2	0	0	0	0	2	0	0	0	0	7	0	1	0	2	0	3	0	0	0	12	5	252	0	3	5	50	0	0	0	0	0	1	0	0	1	1	2	16	1
1646	1701	"Maplehurst Lake"	43.225	-80.65972	665	"AWI"	665	9292	11050	10065	4	6	0	1	0	2	0	18	6	0	0	1	0	1	0	0	0	3	9	0	4	0	0	0	4	0	1	0	15	2	235	0	2	4	58	0	1	0	0	1	1	0	0	0	0	0	15	3
1646	1701	"Maplehurst Lake"	43.225	-80.65972	675	"AWI"	675	9522	11307	10274	3	2	1	1	0	1	0	20	4	0	0	1	0	1	0	0	0	2	7	0	2	0	2	0	1	0	0	0	9	2	238	0	0	2	31	0	0	0	0	0	1	0	0	0	1	1	6	1
1646	1701	"Maplehurst Lake"	43.225	-80.65972	685	"AWI"	685	9759	11565	10481	7	2	3	0	0	2	0	38	1	0	0	4	0	0	0	0	0	0	1	0	5	0	1	0	2	0	1	0	15	8	304	0	1	13	43	0	0	0	0	0	1	0	0	0	0	4	13	3
1646	1701	"Maplehurst Lake"	43.225	-80.65972	695	"AWI"	695	9980	11840	10687	4	4	1	0	0	0	0	21	3	0	0	3	0	2	0	0	0	0	15	0	2	0	1	0	3	0	1	0	16	5	218	0	1	14	56	1	0	0	0	0	2	0	0	0	1	0	30	0
1646	1701	"Maplehurst Lake"	43.225	-80.65972	705	"AWI"	705	10228	12111	10888	9	4	0	0	0	3	0	55	2	0	0	2	0	4	0	0	0	1	15	0	3	0	0	0	5	0	1	0	25	18	232	0	2	7	63	1	0	0	0	0	2	0	0	0	0	0	35	1
1646	1701	"Maplehurst Lake"	43.225	-80.65972	715	"AWI"	715	10579	12323	11053	10	1	1	1	0	2	0	50	5	0	0	7	0	3	0	0	0	1	12	0	1	0	3	0	5	0	1	0	51	17	134	0	2	2	98	0	0	0	0	0	1	0	0	0	0	3	29	1
1646	1701	"Maplehurst Lake"	43.225	-80.65972	725	"AWI"	725	10979	12754	11590	3	1	2	1	0	4	0	12	2	0	0	8	0	2	0	0	1	0	13	0	2	0	6	0	2	0	0	0	23	36	163	0	4	3	31	0	0	0	0	0	2	0	0	0	0	1	11	3
1646	1701	"Maplehurst Lake"	43.225	-80.65972	735	"AWI"	735	11394	13610	12327	0	2	6	0	0	8	0	27	1	0	0	0	0	4	2	0	0	0	15	0	2	1	0	0	7	0	0	0	12	68	60	0	13	14	42	0	0	0	0	0	2	0	0	0	0	4	23	4
1646	1701	"Maplehurst Lake"	43.225	-80.65972	745	"AWI"	745	11865	14411	13200	0	0	5	1	0	18	0	17	1	1	0	0	0	11	0	0	0	0	1	0	2	0	0	0	8	0	0	0	1	182	0	0	11	5	20	0	0	0	0	0	0	0	0	0	0	2	3	2
1646	1701	"Maplehurst Lake"	43.225	-80.65972	750	"AWI"	750	12611	14561	13563	1	0	2	0	0	17	0	12	0	0	0	0	0	13	0	0	0	0	2	0	1	0	1	0	14	0	0	0	3	184	0	0	14	4	15	0	0	0	0	0	1	0	0	0	0	4	6	0
1646	1701	"Maplehurst Lake"	43.225	-80.65972	755	"AWI"	755	13083	14822	13962	1	0	1	1	0	18	0	8	1	0	0	0	0	7	1	0	0	0	9	0	3	0	1	0	0	0	0	0	4	234	0	0	1	3	21	0	0	0	0	0	0	0	0	2	0	1	1	0
1646	1701	"Maplehurst Lake"	43.225	-80.65972	759	"AWI"	759	13401	15049	14224	3	0	1	1	0	9	0	6	3	0	0	0	0	13	0	0	0	0	10	0	1	0	1	0	1	0	0	0	11	196	0	0	1	0	16	0	0	0	0	0	0	0	0	3	0	0	2	0
1646	1701	"Maplehurst Lake"	43.225	-80.65972	766	"AWI"	766	13791	15466	14596	2	1	0	0	0	26	0	3	2	0	0	0	1	24	0	1	0	0	12	0	1	0	0	0	0	0	0	0	13	104	0	0	7	2	15	0	0	0	0	0	2	0	0	1	0	0	3	6
1646	1701	"Maplehurst Lake"	43.225	-80.65972	770	"AWI"	770	13900	15980	14795	2	0	4	0	0	46	0	7	0	0	1	0	3	46	0	0	0	0	7	0	6	0	0	0	0	0	0	0	5	98	18	0	13	1	12	0	0	0	0	0	10	0	0	2	0	0	2	0
