"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Juniperus"	"Lamiaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
947	977	"Grasvatn"	63.702696	8.68858	130	"AWI"	130	3034	4250	3636	7.65391014975042	0	0	0	0	27.6206322795341	0	0.166389351081531	0	1.66389351081531	0	0	0	0	0.166389351081531	0	0.166389351081531	2.1630615640599	0	0	0.166389351081531	0.166389351081531	43.9267886855241	0	0	11.4808652246256	0	0.998336106489185	0.166389351081531	0	0	0.166389351081531	0	0	0.166389351081531	0.166389351081531	1.99667221297837	0.998336106489185	0
947	977	"Grasvatn"	63.702696	8.68858	140	"AWI"	140	3267	4499	3888	7.69230769230769	0	0.167224080267559	0	0	41.1371237458194	0	0	0	2.84280936454849	0	0	0	0	0	0	0	1.17056856187291	0	0	0	0	36.4548494983278	0	0	6.35451505016722	0	0.501672240802676	0	0	0	0.167224080267559	0	0	0	0	2.0066889632107	1.50501672240803	0
947	977	"Grasvatn"	63.702696	8.68858	150	"AWI"	150	3495	4766	4135	7.24409448818898	0	0	0	0	29.4488188976378	0	0	0	2.83464566929134	0	0	0	0	0	0.31496062992126	0	0.78740157480315	0	0	0	0	44.251968503937	0	0	11.496062992126	0	0.78740157480315	0.31496062992126	0	0	0	0	0	0	0.15748031496063	1.73228346456693	0.62992125984252	0
947	977	"Grasvatn"	63.702696	8.68858	155	"AWI"	155	3631	4881	4256	7.00854700854701	0	0	0	0	30.0854700854701	0.341880341880342	0	0	2.05128205128205	0	0	0	0.341880341880342	0	0.170940170940171	0	1.70940170940171	0	0	0	0	45.1282051282051	0	0	11.1111111111111	0	0.683760683760684	0.341880341880342	0	0.170940170940171	0.512820512820513	0	0	0	0	0	0.341880341880342	0
947	977	"Grasvatn"	63.702696	8.68858	165	"AWI"	165	3876	5104	4507	8.16618911174785	0	0	0.143266475644699	0	30.3724928366762	0	0	0	2.29226361031519	0	0.143266475644699	0	0	0	0.143266475644699	0	1.43266475644699	0	0	0	0	47.134670487106	0	0	6.59025787965616	0	0.286532951289398	0.716332378223496	0	0.286532951289398	0.573065902578797	0	0	0	0.143266475644699	1.00286532951289	0.573065902578797	0
947	977	"Grasvatn"	63.702696	8.68858	170	"AWI"	170	3998	5225	4634	5.47008547008547	0.170940170940171	0	0	0	32.6495726495726	0	0	0	4.27350427350427	0	0	0	0	0.170940170940171	0.170940170940171	0	0.854700854700855	0	0	0	0	44.1025641025641	0	0	8.88888888888889	0	0	0	0	0.170940170940171	0.683760683760684	0	0	0	0.170940170940171	1.1965811965812	1.02564102564103	0
947	977	"Grasvatn"	63.702696	8.68858	180	"AWI"	180	4274	5420	4877	8.16666666666667	0	0.166666666666667	0	1.16666666666667	31.3333333333333	0	0	0	5.66666666666667	0	0.166666666666667	0	0.166666666666667	0	0.333333333333333	0	1.83333333333333	0	0.166666666666667	0.166666666666667	0	33.8333333333333	0	0	10.3333333333333	0	1.16666666666667	0.833333333333333	0	0.166666666666667	0.5	0	0	0	0.166666666666667	2.66666666666667	1	0
947	977	"Grasvatn"	63.702696	8.68858	190	"AWI"	190	4535	5641	5126	7.72058823529412	0	0	0	0	43.9338235294118	0	0	0.183823529411765	0.551470588235294	0	0	0	0.183823529411765	0	1.65441176470588	0	1.10294117647059	0	0.183823529411765	0	0	36.0294117647059	0	0	6.25	0	0	0.183823529411765	0	0.367647058823529	0	0	0	0	0	0.551470588235294	1.10294117647059	0
947	977	"Grasvatn"	63.702696	8.68858	200	"AWI"	200	4846	5824	5377	7.20338983050847	0	0	0	0	44.9152542372881	0.282485875706215	0	0.141242937853107	6.92090395480226	0	0	0	0.141242937853107	0.141242937853107	0	0	0.706214689265537	0	0	0.141242937853107	0	29.3785310734463	0	0	6.49717514124294	0	0.706214689265537	0	0	0.564971751412429	0.706214689265537	0	0	0	0	1.12994350282486	0.423728813559322	0
947	977	"Grasvatn"	63.702696	8.68858	210	"AWI"	210	5151	6016	5619	6.29496402877698	0.179856115107914	0	0	0	40.4676258992806	0	0	0	8.45323741007194	0	0	0	0	0	0.179856115107914	0	2.15827338129496	0	0	0	0	32.3741007194245	0	0	3.23741007194245	0	0.359712230215827	0	0	0.179856115107914	1.2589928057554	0	0	0	0	2.69784172661871	2.15827338129496	0
947	977	"Grasvatn"	63.702696	8.68858	220	"AWI"	220	5593	6180	5861	9.92592592592593	0	0	0.296296296296296	0	38.8148148148148	0.148148148148148	0	0	10.0740740740741	0	0.296296296296296	0	0	0	0.148148148148148	0	1.77777777777778	0	0.444444444444444	0	0	25.037037037037	0	0	5.18518518518519	0	0.296296296296296	0	0	0.444444444444444	1.62962962962963	0	0	0	0	2.96296296296296	2.51851851851852	0
947	977	"Grasvatn"	63.702696	8.68858	230	"AWI"	230	5875	6963	6295	17.7647058823529	0	0	0	0	39.6470588235294	0	0	0	8.23529411764706	0	0	0	0	0	0	0	2.70588235294118	0	0	0	0	20.4705882352941	0	0	2.35294117647059	0	0.235294117647059	0	0	0.588235294117647	0.705882352941177	0	0	2.82352941176471	0	2.35294117647059	2.11764705882353	0
947	977	"Grasvatn"	63.702696	8.68858	240	"AWI"	240	6204	7583	6834	22.8441754916793	0	0	0	0	45.839636913767	0	0.151285930408472	0	6.5052950075643	0	0	0	0	0	0	0	2.26928895612708	0	0.453857791225416	0	0	15.7337367624811	0	0	2.11800302571861	0	0.907715582450832	0	0	0.302571860816944	0.907715582450832	0	0	0	0	1.51285930408472	0.453857791225416	0
947	977	"Grasvatn"	63.702696	8.68858	250	"AWI"	250	6621	8080	7361	23.1155778894472	0	0	0	0	35.3015075376884	0	0	0	4.14572864321608	3.89447236180905	0	4.39698492462312	0	0	3.76884422110553	0	3.76884422110553	0	0.251256281407035	0	0	15.3266331658291	0	0	2.01005025125628	0	0.125628140703518	0	0	0.251256281407035	1.38190954773869	0	0.125628140703518	0	0	1.13065326633166	1.00502512562814	0
947	977	"Grasvatn"	63.702696	8.68858	260	"AWI"	260	7156	8467	7901	21.4402618657938	0.16366612111293	0.16366612111293	0	0	34.860883797054	0	0	0	3.76432078559738	0	0	0	0	0	0.16366612111293	0	8.18330605564648	0	0.490998363338789	0	0	24.0589198036007	0	0	2.61865793780687	0	0.490998363338789	0	0	0.327332242225859	1.6366612111293	0	0	0	0	1.14566284779051	0.490998363338789	0
947	977	"Grasvatn"	63.702696	8.68858	270	"AWI"	270	7894	8804	8421	12.7317676143387	0	0	0	0	38.0716934487021	0	0	0	4.69715698393078	0	0	0	0.123609394313968	0	0	0	11.372064276885	0	0.123609394313968	0	0	23.6093943139679	0	0	3.831891223733	0	0.618046971569839	0.247218788627936	0	0.123609394313968	2.96662546353523	0	0	0	0.123609394313968	0.988875154511743	0.370828182941904	0
947	977	"Grasvatn"	63.702696	8.68858	275	"AWI"	275	8412	8951	8650	6.15141955835962	0	0.157728706624606	0.157728706624606	0.315457413249211	44.794952681388	0	0.315457413249211	0	4.73186119873817	0	0.157728706624606	0	0	0	0.315457413249211	0	3.94321766561514	0	0.473186119873817	0	0	30.7570977917981	0	0	2.6813880126183	0	0.315457413249211	0.157728706624606	0	0.473186119873817	3.31230283911672	0	0.157728706624606	0	0	0.630914826498423	0	0
947	977	"Grasvatn"	63.702696	8.68858	280	"AWI"	280	8489	9097	8762	3.01768990634755	0	0	0	0	37.5650364203954	0	0.104058272632674	0	4.47450572320499	0	0.520291363163372	0	0	0	0	0	5.82726326742976	0	0.104058272632674	0	0	35.9001040582726	0	0	5.20291363163371	0	0.312174817898023	0	0	2.18522372528616	2.49739854318418	0	0	0.208116545265349	0	1.14464099895942	0.832466181061394	0.104058272632674
947	977	"Grasvatn"	63.702696	8.68858	290	"AWI"	290	8646	9416	8976	1.41843971631206	0	0	0.118203309692671	0	41.371158392435	0	0	0	3.66430260047281	0	0.591016548463357	0	0.236406619385343	0	0	0	9.69267139479905	0	0.118203309692671	0	0	35.3427895981088	0	0	1.41843971631206	0	0.118203309692671	0	0	0.709219858156028	3.90070921985816	0	0	0	0	0.709219858156028	0.591016548463357	0
947	977	"Grasvatn"	63.702696	8.68858	300	"AWI"	300	8805	9683	9195	1.00882723833544	0.126103404791929	0	0.126103404791929	0	33.921815889029	0	0	0	2.90037831021438	0	0.252206809583859	0	0.126103404791929	0	15.0063051702396	0	5.29634300126103	0	0.630517023959647	0	0	31.3997477931904	0	0	3.65699873896595	0	0	0	0	1.26103404791929	0.126103404791929	0	0	0	0	0.504413619167718	3.27868852459016	0.378310214375788
947	977	"Grasvatn"	63.702696	8.68858	310	"AWI"	310	8993	9936	9414	0.897666068222621	0	0	0.179533213644524	0	41.8312387791741	0	0	0	2.33393177737881	0	0	0	0	0	0	0	15.2603231597846	0	0.179533213644524	0	0	26.3913824057451	0	0	6.10412926391382	0	0.179533213644524	0	0	1.07719928186715	4.12926391382406	0	0	0	0	0.718132854578097	0.538599640933573	0.179533213644524
947	977	"Grasvatn"	63.702696	8.68858	320	"AWI"	320	9173	10168	9633	0.148809523809524	0.148809523809524	0	0	0	47.4702380952381	0	0	0	1.48809523809524	0	0.297619047619048	0	0	0	0.297619047619048	0	7.73809523809524	0	0	0	0	28.2738095238095	0	0	8.7797619047619	0	0.744047619047619	0.148809523809524	0	1.04166666666667	3.27380952380952	0	0	0	0	0	0	0.148809523809524
947	977	"Grasvatn"	63.702696	8.68858	330	"AWI"	330	9382	10391	9853	0.226244343891403	0	0	0	0	56.3348416289593	0	0	0	2.60180995475113	0	0.226244343891403	0	0	0	0.113122171945701	0	2.82805429864253	0	0.339366515837104	0	0	25.9049773755656	0	0	7.12669683257919	0	0.226244343891403	0	0	0.226244343891403	2.14932126696833	0	0	0	0	1.01809954751131	0.678733031674208	0
947	977	"Grasvatn"	63.702696	8.68858	340	"AWI"	340	9600	10597	10074	0	0	0.25974025974026	0	0	41.9480519480519	0	0	0	2.5974025974026	0	1.2987012987013	0	0	0	0.12987012987013	0	3.24675324675325	0	0.779220779220779	0	0	24.1558441558442	0	0	19.2207792207792	0	0.12987012987013	0.25974025974026	0	1.2987012987013	2.98701298701299	0	0	0	0	0.779220779220779	0.519480519480519	0.38961038961039
947	977	"Grasvatn"	63.702696	8.68858	350	"AWI"	350	9853	10809	10289	0	0	0	0.187441424554827	0	42.8303655107779	0.0937207122774133	0	0	2.15557638238051	0	3.09278350515464	0	0	0	0	0	0.937207122774133	0	0.187441424554827	0	0	12.464854732896	0.0937207122774133	0	32.8022492970947	0	1.12464854732896	0	0	0.468603561387066	2.62417994376757	0	0.0937207122774133	0	0	0	0.84348641049672	0
947	977	"Grasvatn"	63.702696	8.68858	360	"AWI"	360	10122	10995	10496	0	0	0.132978723404255	0.132978723404255	0	59.1755319148936	0	0	0	3.19148936170213	0	3.32446808510638	0	0	0	0	0	6.51595744680851	0	0.797872340425532	0	0	6.11702127659574	0	0	13.563829787234	0	0.265957446808511	0.265957446808511	0	1.46276595744681	4.25531914893617	0	0	0	0	0.531914893617021	0.265957446808511	0
947	977	"Grasvatn"	63.702696	8.68858	365	"AWI"	365	10287	11087	10611	0	0.11037527593819	0.22075055187638	0.11037527593819	0.22075055187638	52.7593818984547	0	0	0	1.54525386313466	0	0.883002207505519	0	0.11037527593819	0	0	0	5.51876379690949	0	0.551876379690949	0	0	5.84988962472406	0.11037527593819	0	22.075055187638	0	0.33112582781457	0	0	3.09050772626932	5.4083885209713	0	0	0	0	0.662251655629139	0.33112582781457	0.11037527593819
947	977	"Grasvatn"	63.702696	8.68858	370	"AWI"	370	10406	11254	10764	0	0	0	0	0	55.1428571428571	0	0	0	0.857142857142857	0	0.142857142857143	0	0	0	0	0	17.8571428571429	0	0	0	0	4	0	0	15	0	0.285714285714286	0.142857142857143	0	1.71428571428571	4.28571428571429	0	0	0	0	0.428571428571429	0.142857142857143	0
947	977	"Grasvatn"	63.702696	8.68858	380	"AWI"	380	10640	11696	11128	0	0	0.0865800865800866	0	0	29.1774891774892	0	0	0.0865800865800866	0.346320346320346	0	0	0	0	0	0.0865800865800866	0	54.025974025974	0	0	0	0	1.2987012987013	0	0	8.05194805194805	0	0.25974025974026	0	0	1.12554112554113	4.76190476190476	0	0	0	0	0.519480519480519	0.173160173160173	0
947	977	"Grasvatn"	63.702696	8.68858	385	"AWI"	385	10789	11861	11314	0	0.152905198776758	0.152905198776758	0.152905198776758	0	44.954128440367	0	0	0	0.152905198776758	0	0	0	0	0	0	0	29.8165137614679	0	0	0	0	1.37614678899083	0	0	15.5963302752294	0	0	0	0	1.22324159021407	6.26911314984709	0	0	0	0	0	0.152905198776758	0
947	977	"Grasvatn"	63.702696	8.68858	390	"AWI"	390	10954	12028	11501	0	0	0.148809523809524	0.148809523809524	0.446428571428571	61.7559523809524	0	0	0.148809523809524	0.148809523809524	0	0	0	0.446428571428571	0	0	0	4.76190476190476	0	0.148809523809524	0	0	3.125	0.297619047619048	0	17.4107142857143	0	0.297619047619048	0.744047619047619	0	5.05952380952381	4.46428571428571	0	0.148809523809524	0	0	0.297619047619048	0	0
947	977	"Grasvatn"	63.702696	8.68858	400	"AWI"	400	11281	12342	11857	0	0	0	0.526315789473684	0	61.9736842105263	0	0	0	0.131578947368421	0	0	0	0.131578947368421	0	0	0	0.394736842105263	0	0.131578947368421	0	0	1.97368421052632	0	0	23.1578947368421	0	0.263157894736842	0.789473684210526	0	7.89473684210526	2.5	0	0.131578947368421	0	0	0	0	0
947	977	"Grasvatn"	63.702696	8.68858	405	"AWI"	405	11492	12457	12022	0	0	0.141442715700141	0.565770862800566	0	62.5176803394625	0	0.424328147100424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.66760961810467	0	0	17.8217821782178	0	0	0	0	9.75954738330976	3.81895332390382	0	0.282885431400283	0	0	0	0	0
947	977	"Grasvatn"	63.702696	8.68858	410	"AWI"	410	11624	12663	12179	0.103842159916926	0	0.519210799584631	0.83073727933541	1.55763239875389	31.7757009345794	0	1.34994807892004	0	0	0	0	0	0.311526479750779	0	0.207684319833853	0	0	0	0	0	0.103842159916926	8.82658359293873	0	0	27.8296988577362	0	0.103842159916926	0.311526479750779	0	13.7071651090343	11.4226375908619	0	0.519210799584631	0	0	0.415368639667705	0.103842159916926	0
947	977	"Grasvatn"	63.702696	8.68858	420	"AWI"	420	11842	13179	12467	1.13744075829384	6.63507109004739	2.93838862559242	3.03317535545024	4.07582938388626	21.7061611374408	0	0.947867298578199	0	1.4218009478673	3.88625592417062	0	5.40284360189573	0.0947867298578199	0	0	0	0	0	0	0	0.37914691943128	11.563981042654	0	0	8.15165876777251	1.99052132701422	0.758293838862559	0.663507109004739	4.739336492891	5.87677725118483	12.9857819905213	0	0.663507109004739	0	0	0.853080568720379	0.0947867298578199	0
