"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Campanulaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"
657	673	"Deer Lake Bog"	44.03333	-71.83333	190	"AWI"	190	2573	3642	3093	12	0	9	0	4	0	177	0	0	0	0	0	5	0	1	0	43	8	0	35	39	0	0	2	8	2	0	0	1	1	0	35	0	0	0	1	0	0	2	13	8	0	0
657	673	"Deer Lake Bog"	44.03333	-71.83333	200	"AWI"	200	2909	4209	3532	3	11	3	0	0	0	164	0	0	0	1	0	6	0	1	0	56	4	0	9	72	0	0	2	7	0	0	0	0	1	2	20	0	0	0	0	0	3	0	7	4	0	0
657	673	"Deer Lake Bog"	44.03333	-71.83333	210	"AWI"	210	3185	5044	4132	7	0	3	0	0	0	176	0	0	0	0	0	3	0	3	0	41	5	1	14	135	0	0	0	0	2	51	0	3	1	1	28	2	0	0	1	0	0	0	64	6	0	0
657	673	"Deer Lake Bog"	44.03333	-71.83333	225	"AWI"	225	3382	6669	4976	10	0	9	0	4	6	217	0	2	1	0	0	12	0	6	0	45	5	1	16	104	0	0	3	24	4	0	0	0	3	2	34	0	0	0	2	0	1	2	64	8	0	2
657	673	"Deer Lake Bog"	44.03333	-71.83333	240	"AWI"	240	4734	7128	5880	4	0	3	0	2	4	152	0	1	0	2	0	4	1	2	2	21	5	0	20	141	0	0	0	2	1	0	0	1	0	0	28	1	0	0	2	2	0	2	49	6	0	0
657	673	"Deer Lake Bog"	44.03333	-71.83333	250	"AWI"	250	5679	7296	6512	7	0	2	0	0	0	128	0	1	0	1	0	0	0	1	0	29	8	2	7	111	0	0	5	5	1	0	0	3	1	2	37	0	0	0	1	0	1	1	40	7	0	0
657	673	"Deer Lake Bog"	44.03333	-71.83333	260	"AWI"	260	6343	7677	7169	5	0	4	0	0	0	127	0	0	0	1	0	1	0	2	0	18	8	2	10	92	0	0	1	1	1	81	0	2	5	3	27	4	0	1	1	0	0	2	48	6	4	0
657	673	"Deer Lake Bog"	44.03333	-71.83333	275	"AWI"	275	6678	8096	7478	4	0	3	1	2	0	95	0	0	0	1	0	7	0	1	0	7	4	0	6	138	0	0	0	5	0	0	0	2	3	1	50	1	0	0	5	0	0	1	43	8	0	0
657	673	"Deer Lake Bog"	44.03333	-71.83333	300	"AWI"	300	7053	9038	7953	9	0	7	1	0	0	93	0	0	0	2	0	0	0	1	1	5	10	0	9	90	0	0	1	7	1	0	0	1	2	1	56	0	0	0	2	0	0	2	24	8	0	0
657	673	"Deer Lake Bog"	44.03333	-71.83333	325	"AWI"	325	7377	9697	8497	7	0	11	1	1	4	98	0	1	0	0	0	12	0	8	0	1	0	0	8	54	0	0	2	7	0	0	0	2	2	1	50	1	0	0	0	0	0	1	22	5	0	0
657	673	"Deer Lake Bog"	44.03333	-71.83333	350	"AWI"	350	7922	10150	9056	8	0	10	0	1	3	68	0	0	0	0	0	0	0	0	0	1	9	0	5	19	0	0	1	8	2	0	0	3	0	3	66	1	0	0	3	0	1	0	20	2	0	0
657	673	"Deer Lake Bog"	44.03333	-71.83333	375	"AWI"	375	8809	10689	9562	1	0	3	0	0	3	93	0	0	0	1	0	3	0	0	0	0	2	0	3	31	0	0	1	8	0	0	0	1	3	0	64	0	0	0	2	0	0	0	4	3	0	0
657	673	"Deer Lake Bog"	44.03333	-71.83333	390	"AWI"	390	9220	11090	9896	10	0	12	0	1	0	191	0	0	0	0	0	2	0	3	0	0	0	0	16	22	0	0	3	6	4	180	0	0	3	1	79	1	0	0	1	0	0	0	9	3	0	0
657	673	"Deer Lake Bog"	44.03333	-71.83333	400	"AWI"	400	10144	11544	10678	21	0	35	0	1	0	370	0	1	0	1	0	2	4	2	0	0	18	0	20	7	0	0	11	21	12	399	0	1	3	5	163	2	0	1	4	0	0	0	17	22	0	0
657	673	"Deer Lake Bog"	44.03333	-71.83333	410	"AWI"	410	11017	12050	11489	23	0	87	1	1	3	539	0	0	2	1	0	24	0	12	4	0	18	0	65	0	6	3	13	17	30	222	0	4	14	51	125	0	1	0	7	2	1	0	6	10	2	0
657	673	"Deer Lake Bog"	44.03333	-71.83333	420	"AWI"	420	11732	12720	12304	10	0	167	0	2	0	104	0	0	2	1	0	9	0	31	2	0	3	0	8	0	0	1	3	5	43	0	0	1	3	6	21	1	1	0	8	0	1	0	2	9	0	0
657	673	"Deer Lake Bog"	44.03333	-71.83333	430	"AWI"	430	12518	13170	12890	2	0	46	0	23	9	54	0	0	14	0	0	11	24	95	0	0	0	0	53	0	0	2	2	1	136	74	0	0	33	5	11	2	2	4	24	1	2	0	1	2	1	0
657	673	"Deer Lake Bog"	44.03333	-71.83333	440	"AWI"	440	12842	14099	13383	1	0	5	3	22	5	32	0	0	8	0	0	2	17	62	0	0	4	0	28	2	0	0	10	29	90	0	0	0	7	5	19	0	0	3	28	0	1	0	0	11	0	0
657	673	"Deer Lake Bog"	44.03333	-71.83333	450	"AWI"	450	12973	15258	13870	2	0	4	0	13	8	41	0	0	2	0	0	21	31	26	1	0	10	0	59	0	0	0	0	3	62	78	0	1	20	17	41	0	0	3	12	0	2	0	0	7	1	0
657	673	"Deer Lake Bog"	44.03333	-71.83333	460	"AWI"	460	13307	15998	14351	1	0	6	0	7	5	25	1	0	1	0	0	15	10	13	0	0	15	0	27	0	0	0	1	16	39	51	0	1	24	39	38	0	0	0	21	0	0	0	0	5	0	0
657	673	"Deer Lake Bog"	44.03333	-71.83333	470	"AWI"	470	13679	16255	14891	0	0	2	0	1	0	0	1	0	0	0	1	2	5	4	0	0	0	0	11	0	0	0	0	2	9	0	1	0	2	5	5	0	0	0	2	0	0	0	0	1	4	0
657	673	"Deer Lake Bog"	44.03333	-71.83333	488	"AWI"	488	14017	17667	15700	0	0	3	1	3	0	21	0	0	1	0	0	2	3	10	0	0	0	0	18	5	0	0	1	3	12	16	0	0	6	3	6	0	0	1	7	0	0	0	2	2	0	0
