"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Ceanothus"	"Cercocarpus"	"Cyperaceae"	"Ephedraceae"	"Fabaceae"	"Fraxinus"	"Indeterminable"	"Juglans"	"Juniperus"	"Onagraceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Pseudotsuga"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sarcobataceae"	"Scrophulariaceae"	"Thalictrum"	"Tsuga"	"Urticaceae"
311	318	"Buckbean Fen"	44.29861	-110.26056	730	"AWI"	730	9904	12017	10941	0.444444444444444	0	0	3.11111111111111	0	23.3333333333333	0	0	0	0	0	0	0	0.444444444444444	0	0	0	1.55555555555556	0	2.66666666666667	0	0	0.666666666666667	61.5555555555556	0	2.88888888888889	0	0	0	0.222222222222222	0	0	0	0	1.11111111111111	0.222222222222222	1.77777777777778	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	750	"AWI"	750	10140	12348	11197	0.811359026369168	0	0.202839756592292	3.44827586206897	0	15.8215010141988	0	0.405679513184584	0	0	0	0	0.202839756592292	0.202839756592292	0	0	0	0	0	0.405679513184584	0	0	1.21703853955375	73.2251521298174	0	1.82555780933063	0	0	0	0	0	0	0	0	0.811359026369168	0	1.21703853955375	0	0.202839756592292	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	760	"AWI"	760	10234	12549	11325	0.714285714285714	0	0.238095238095238	4.04761904761905	0	19.047619047619	0	0.476190476190476	0	0	0	0	0	0.952380952380952	0	0	0	0	0	0.476190476190476	0	0	0.238095238095238	70	0	1.9047619047619	0	0	0.476190476190476	0	0.476190476190476	0	0	0	0.476190476190476	0	0.476190476190476	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	770	"AWI"	770	10344	12750	11454	0.867052023121387	0	0	4.91329479768786	0	13.8728323699422	0	0	0	0	0	0	0	1.73410404624277	0	0	0	0	0	0.578034682080925	0	0.578034682080925	0.289017341040462	71.9653179190751	0	2.60115606936416	0	0	0.578034682080925	0	0.578034682080925	0	0	0	0	0	1.44508670520231	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	782	"AWI"	782	10513	12928	11607	2.09059233449477	0	0	4.18118466898955	0	21.2543554006969	0	0.348432055749129	0	0	0.348432055749129	0	0	1.04529616724739	0	0.348432055749129	0	2.09059233449477	0	2.09059233449477	0	0	0.348432055749129	59.9303135888502	0	2.78745644599303	0	0	1.74216027874564	0	0	0	0	0	0.348432055749129	0	1.04529616724739	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	801	"AWI"	801	10692	13290	11846	1.41242937853107	0	0	4.23728813559322	0	27.4011299435028	3.95480225988701	0	0	0	0	0	0	2.25988700564972	0	0	0	0	0	1.69491525423729	0	0	0.847457627118644	51.4124293785311	0	3.10734463276836	0	0	0	0	0	0	0	0	1.12994350282486	0	1.69491525423729	0	0.847457627118644	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	810	"AWI"	810	10802	13392	11961	0.834724540901502	0	0.333889816360601	5.84307178631052	0	26.8781302170284	0	0.667779632721202	0	0	0.500834724540901	0	0	1.1686143572621	0	0	0	4.84140233722871	0	0.1669449081803	0	0	2.17028380634391	46.5776293823038	0	5.34223706176962	0.1669449081803	0	1.669449081803	0	0.500834724540901	0	0	0	1.1686143572621	0	1.0016694490818	0.1669449081803	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	820	"AWI"	820	10902	13547	12081	1.63551401869159	0	0	6.07476635514019	0	28.5046728971963	0	0.467289719626168	0	0	0	0	0	3.27102803738318	0	0	0.233644859813084	0	0	4.4392523364486	0	0	2.80373831775701	40.8878504672897	0	3.97196261682243	0	0	1.16822429906542	0.467289719626168	0	0	0	1.16822429906542	2.10280373831776	0	2.57009345794392	0	0.233644859813084	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	830	"AWI"	830	10984	13748	12206	0.817438692098093	0	0.544959128065395	4.90463215258856	0	30.7901907356948	0	0	0	0	0	0	0	0.544959128065395	0	0	0	0	0	0	0	0	3.81471389645777	48.7738419618529	0	5.17711171662125	0	0	0.272479564032698	0.272479564032698	0.817438692098093	0	0	0	1.63487738419619	0	1.63487738419619	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	842	"AWI"	842	11175	13898	12356	2	0	0	6.5	0	20.5	0	0	0	0	0	0	0	0.5	0	0	0	1.5	0	3.5	0	0	3.5	39.5	0	9	0	0	8	0	0	0	0	0	3	0.5	2	0	0	0	0
