"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cactaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Celtis"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Elaeagnus"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Heliotropium"	"Indeterminable"	"Iridaceae"	"Isoëtes"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Maclura"	"Malvaceae"	"Morus"	"Myricaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinaceae"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sarcobataceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Vitaceae"
500	513	"Cottonwood Lake (Su)"	44.833484	-99.91166	568	"AWI"	568	8290	8991	8656	0	0	0	0	0	0	8.6734693877551	0	1.53061224489796	0	0	4.33673469387755	0	0.510204081632653	0	0	0	0	0	0.510204081632653	11.734693877551	0	0	0	0	2.04081632653061	0	0	0	0	48.9795918367347	0	0	1.02040816326531	1.53061224489796	0	0	0	0	5.10204081632653	0	0	0	0	0	0	0.510204081632653	9.94897959183673	0.510204081632653	0	0	0	0	0	0.510204081632653	0	0	0	0	0	0	0	0.510204081632653	0	0	0	2.04081632653061	0	0	0
500	513	"Cottonwood Lake (Su)"	44.833484	-99.91166	576	"AWI"	576	8401	9051	8733	0	0	0	0	0.671140939597315	0	8.7248322147651	0	0.671140939597315	0	0	1.34228187919463	0	0	0.671140939597315	1.34228187919463	0	0	0	0	10.0671140939597	0	0	0	0	4.69798657718121	0	0	0	0	53.6912751677852	0	0	0	1.34228187919463	0	0	0	0	11.4093959731544	0	0	0	0	0	0.671140939597315	0.671140939597315	0	0	0	0	0	0	0	0	0	0	0	0	0	1.34228187919463	0	0	0	0	0	2.68456375838926	0	0	0
500	513	"Cottonwood Lake (Su)"	44.833484	-99.91166	586	"AWI"	586	8511	9127	8807	0.643086816720257	0	0	0	0	0.643086816720257	18.0064308681672	0	0.643086816720257	0	0.643086816720257	1.92926045016077	0	0	0	1.28617363344051	0	0.643086816720257	0	0	18.6495176848875	0	0	0	0	2.57234726688103	0	0	0	0	27.6527331189711	0	0	0	0.643086816720257	0	0	0	0	1.92926045016077	0	0	0	0	1.92926045016077	0	0	17.6848874598071	0	0	0	0	0	0	1.28617363344051	0	0	0.643086816720257	0	0.643086816720257	0	0	0.643086816720257	0	0	0	1.28617363344051	0	0	0
500	513	"Cottonwood Lake (Su)"	44.833484	-99.91166	592	"AWI"	592	8557	9191	8849	0.970873786407767	0	0	0	0	0	6.79611650485437	0	2.9126213592233	0	0	0	0	0	0	0	0	0	0	0	4.85436893203883	0	0	0	0	2.9126213592233	0	0	0	0	66.0194174757282	0	0	0	0	0	0	0	0	7.76699029126214	0	0	0	0	1.94174757281553	1.94174757281553	0	0	0	0	0	0	0	0	0.970873786407767	0	0	0.970873786407767	0	0	0	0	0	0	0	0	1.94174757281553	0	0	0
500	513	"Cottonwood Lake (Su)"	44.833484	-99.91166	608	"AWI"	608	8736	9315	8978	0	0	0	0	0	0	5.57768924302789	0	0	0	0	0	0	0	0	0	0	0	0	0	11.9521912350598	0	0	0	0	7.17131474103586	0	0	0	0	50.199203187251	0	0	0	1.59362549800797	0	0	0	0	4.38247011952191	0	0	0	0	3.18725099601594	5.1792828685259	1.19521912350598	0	0	0	0	0	0	0	2.39043824701195	0	0	3.18725099601594	0	0	0	0	0	0	0	0	3.98406374501992	0	0	0
500	513	"Cottonwood Lake (Su)"	44.833484	-99.91166	616	"AWI"	616	8800	9426	9051	0	0	0	0	0	0.384615384615385	37.1153846153846	0	0.769230769230769	0	0	0	0	0.384615384615385	0	0.384615384615385	0	0	0	1.53846153846154	18.0769230769231	0	0	0	0	0	0	0	0	0	11.9230769230769	0	0	0	0.769230769230769	0	0	0	0	0.384615384615385	0	0	0	0	1.92307692307692	2.88461538461538	0.576923076923077	14.4230769230769	0	0	0	0	0	0	2.30769230769231	0	0	0	0	0.384615384615385	0	0	0.384615384615385	0	0	0	5.38461538461539	0	0	0
500	513	"Cottonwood Lake (Su)"	44.833484	-99.91166	624	"AWI"	624	8874	9604	9177	0	0	0	0	0	0	33.3996023856859	0	1.59045725646123	0	0	0	0	0	0	0.397614314115308	0	0	0	0	20.675944333996	0	0	0	0	0	0	0	0	0	9.14512922465209	0	0	0	5.96421471172962	0	0	0	0	0	0	0	0	0	1.98807157057654	3.77733598409543	0.596421471172962	9.34393638170974	0	0.397614314115308	0	0	0	0	1.59045725646123	0	0	0.397614314115308	0	0	0.397614314115308	0	0.397614314115308	0	0	0	9.9403578528827	0	0	0
500	513	"Cottonwood Lake (Su)"	44.833484	-99.91166	632	"AWI"	632	8914	9851	9295	0	0	0	0	0	0.5	36.75	0	0.5	0	0.5	0	0	0	0	0	0	0.5	0	0.5	18	0	0	0	0	0	0	0	0	0	19.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	2.5	4	0.25	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0.5	0	0	0	9.5	0	0	0
500	513	"Cottonwood Lake (Su)"	44.833484	-99.91166	640	"AWI"	640	8995	10068	9409	0	0	0	0	0	1.26050420168067	29.4117647058824	0	0.840336134453782	0	0	0	0	0	0	0	0	0	0	0.840336134453782	13.4453781512605	0	0	0	0.420168067226891	0	0	0	0	0	17.2268907563025	0.420168067226891	0	0	1.68067226890756	0	0	0	0	0	0	0	0	0	2.10084033613445	3.15126050420168	2.10084033613445	9.45378151260504	0	0	0	0	0	0	5.04201680672269	0	0	1.26050420168067	0	0	0	0	1.26050420168067	0	0	0	10.0840336134454	0	0	0
500	513	"Cottonwood Lake (Su)"	44.833484	-99.91166	656	"AWI"	656	9152	10313	9682	0	0	0	0	0	0	35.5828220858896	0	0.920245398773006	0	0	0	0	0.306748466257669	0	0	0	0.306748466257669	0	0.613496932515337	23.6196319018405	0	0	0	0	0	0	0	0	0	10.4294478527607	0	0	0	1.84049079754601	0	0	0	0	0	0	0	0	0	1.84049079754601	2.30061349693252	0.153374233128834	0	0	0	0	0	0	0	3.37423312883436	0	0	0	0	0	0	0	0.920245398773006	0	0.306748466257669	0	17.4846625766871	0	0	0
500	513	"Cottonwood Lake (Su)"	44.833484	-99.91166	672	"AWI"	672	9356	10520	9938	0	0	0	0	0	0	23.5033259423503	0	1.77383592017738	0	0	0	0	0	0	0.443458980044346	0	0	0	1.77383592017738	22.6164079822616	0	0.443458980044346	0	0	0	0	0	0	0	14.6341463414634	0	0	0	1.33037694013304	0	0	0	0	0	0	0	0	0	2.66075388026608	7.31707317073171	1.55210643015521	6.87361419068736	0	0	0	0	0	0	3.54767184035477	0	0	0.443458980044346	0	0	1.33037694013304	0	0.886917960088692	0	0.443458980044346	0	8.42572062084257	0	0	0
