"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Celtis"	"Cephalanthus"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Liquidambar"	"Myricaceae"	"Ostrya.Carpinus"	"Picea"	"Pinaceae"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Vitaceae"
833	860	"Gass Lake"	44.05	-87.73333	294	"AWI"	294	2569	3740	3172	0	0	0	0	0	0	31	2	0	0	0	1	3	7	0	0	12	28	13	1	2	0	0	13	0	0	46	2	3	1	88	0	0	0	5	0	0	0	4	13	0	1
833	860	"Gass Lake"	44.05	-87.73333	314	"AWI"	314	2893	3881	3378	0	0	0	0	0	0	33	3	0	0	0	1	3	8	0	0	24	42	6	2	2	0	1	15	0	0	38	3	5	1	84	0	0	0	3	0	0	0	1	17	0	0
833	860	"Gass Lake"	44.05	-87.73333	334	"AWI"	334	3092	4163	3605	0	0	0	0	2	0	31	7	0	0	0	0	1	8	0	0	32	0	9	1	2	0	1	11	0	0	0	3	3	3	86	0	0	0	2	0	0	2	4	13	0	0
833	860	"Gass Lake"	44.05	-87.73333	374	"AWI"	374	3416	4840	4060	0	0	0	4	1	0	20	3	0	0	0	0	0	7	0	0	14	26	4	0	1	0	2	10	2	0	0	3	2	3	123	0	0	0	0	0	0	1	3	13	0	0
833	860	"Gass Lake"	44.05	-87.73333	394	"AWI"	394	3610	5070	4302	0	0	0	2	1	0	30	1	0	0	0	0	1	12	0	0	15	26	8	5	1	0	2	20	2	1	0	1	6	2	103	0	0	0	1	0	0	3	0	12	0	0
833	860	"Gass Lake"	44.05	-87.73333	414	"AWI"	414	3825	5323	4543	0	0	10	0	1	6	34	1	1	0	0	2	4	5	0	0	11	24	13	1	0	0	0	7	0	0	37	3	7	3	142	0	0	0	0	0	0	2	0	7	1	0
833	860	"Gass Lake"	44.05	-87.73333	434	"AWI"	434	4047	5566	4777	0	0	0	0	1	0	24	1	0	0	0	0	7	9	0	0	10	32	6	0	0	0	0	11	0	0	0	1	9	0	115	0	0	0	3	0	0	2	2	18	0	0
833	860	"Gass Lake"	44.05	-87.73333	454	"AWI"	454	4273	5820	5013	3	0	0	0	1	0	25	0	0	0	0	9	7	12	0	0	14	34	11	5	1	0	0	9	0	0	0	0	5	1	106	0	0	0	2	0	0	1	0	16	0	1
833	860	"Gass Lake"	44.05	-87.73333	474	"AWI"	474	4531	6020	5246	0	0	0	1	2	0	19	3	0	0	0	5	1	6	0	0	26	42	7	2	3	1	0	22	1	0	0	2	6	2	78	0	0	0	0	0	0	7	0	22	0	0
833	860	"Gass Lake"	44.05	-87.73333	484	"AWI"	484	4665	6124	5360	0	0	0	1	2	0	9	7	0	0	0	0	0	3	0	0	9	22	17	4	0	0	0	6	0	0	0	2	4	0	151	0	0	0	1	1	0	0	1	16	0	1
833	860	"Gass Lake"	44.05	-87.73333	494	"AWI"	494	4813	6220	5470	0	0	0	0	0	0	3	5	0	0	0	2	0	5	0	0	10	36	5	3	2	0	0	8	0	0	0	1	5	0	139	0	0	0	2	0	1	0	0	18	0	0
833	860	"Gass Lake"	44.05	-87.73333	504	"AWI"	504	4919	6331	5584	0	0	0	0	1	0	15	3	0	0	0	0	2	4	0	0	6	0	12	7	1	0	0	23	1	0	30	2	8	0	132	0	0	0	2	0	0	2	0	31	0	0
833	860	"Gass Lake"	44.05	-87.73333	514	"AWI"	514	5289	6469	5740	0	0	0	2	1	0	11	4	0	0	0	0	2	6	0	0	5	30	13	4	1	1	1	15	0	0	27	4	11	1	133	0	0	0	4	0	0	2	1	24	0	1
833	860	"Gass Lake"	44.05	-87.73333	523	"AWI"	523	5489	6621	5897	0	0	8	0	2	0	9	0	0	0	0	1	2	4	0	0	4	24	7	7	0	0	0	21	0	0	39	1	2	1	122	0	0	0	1	0	0	3	2	44	0	0
833	860	"Gass Lake"	44.05	-87.73333	534	"AWI"	534	5829	6882	6229	0	0	0	2	5	0	9	4	0	0	0	0	1	2	0	0	2	26	4	3	0	0	0	14	0	0	0	0	5	2	160	0	0	0	0	0	0	2	2	28	0	0
833	860	"Gass Lake"	44.05	-87.73333	540	"AWI"	540	6290	7065	6618	0	0	0	3	4	0	4	4	0	0	0	3	10	4	0	1	2	48	2	3	0	0	0	33	0	0	43	2	4	0	128	0	0	0	1	0	0	5	0	30	0	0
833	860	"Gass Lake"	44.05	-87.73333	544	"AWI"	544	6543	7213	6879	0	0	0	4	2	0	5	3	0	0	0	2	2	4	0	0	1	18	12	6	0	0	0	24	0	0	29	2	6	0	135	0	0	0	2	0	0	2	0	42	0	0
833	860	"Gass Lake"	44.05	-87.73333	550	"AWI"	550	6827	7592	7265	0	0	0	0	4	0	7	3	0	0	0	1	5	3	0	0	3	20	13	4	1	0	0	28	0	0	31	4	3	0	101	0	0	0	1	0	0	6	0	69	0	0
833	860	"Gass Lake"	44.05	-87.73333	554	"AWI"	554	6975	7937	7505	1	0	0	0	2	0	5	9	0	0	0	1	1	4	0	0	5	36	8	4	0	0	0	22	2	0	0	3	0	2	135	0	0	0	1	0	0	4	0	41	0	0
833	860	"Gass Lake"	44.05	-87.73333	557	"AWI"	557	7078	8205	7686	0	0	0	2	0	0	4	11	1	0	0	1	3	3	0	0	2	0	1	5	0	0	0	47	0	0	26	4	3	1	110	0	0	0	1	0	0	3	0	46	0	1
833	860	"Gass Lake"	44.05	-87.73333	559	"AWI"	559	7201	8326	7809	0	0	0	2	0	0	6	6	0	0	0	1	2	0	0	0	1	28	6	1	0	0	0	25	0	1	15	1	0	1	152	0	0	0	0	0	0	6	0	57	0	1
833	860	"Gass Lake"	44.05	-87.73333	564	"AWI"	564	7418	8728	8119	1	0	0	3	3	0	3	6	1	0	0	3	2	5	0	0	1	20	4	9	0	0	1	67	1	0	65	3	3	0	94	0	0	0	2	0	0	3	0	55	0	1
833	860	"Gass Lake"	44.05	-87.73333	569	"AWI"	569	7546	9253	8407	0	0	0	4	0	0	14	5	0	0	0	1	5	3	0	0	1	0	8	0	0	0	0	59	0	0	49	4	3	1	106	0	0	0	1	0	0	1	0	36	0	0
833	860	"Gass Lake"	44.05	-87.73333	574	"AWI"	574	7623	9823	8703	0	0	0	5	3	0	6	3	1	0	0	1	4	6	0	0	0	24	6	2	3	0	0	32	0	0	0	3	1	2	109	0	0	0	1	0	0	4	0	29	1	0
833	860	"Gass Lake"	44.05	-87.73333	579	"AWI"	579	7706	10438	8990	0	0	0	3	3	0	12	1	0	0	0	2	12	6	0	0	0	18	3	3	0	0	0	28	0	1	0	0	9	2	94	0	0	0	3	0	0	2	0	38	0	0
833	860	"Gass Lake"	44.05	-87.73333	584	"AWI"	584	7809	11014	9284	0	0	0	2	3	0	17	5	0	0	0	1	8	2	0	0	0	26	3	0	1	0	0	27	0	1	106	1	1	2	86	0	0	0	0	0	0	3	0	22	0	0
833	860	"Gass Lake"	44.05	-87.73333	589	"AWI"	589	8370	11102	9589	0	0	6	1	0	0	27	3	0	0	0	0	3	4	0	0	0	30	7	1	1	0	1	39	0	0	75	2	1	5	85	0	0	0	1	0	0	3	0	23	0	0
833	860	"Gass Lake"	44.05	-87.73333	594	"AWI"	594	8879	11217	9904	0	0	0	3	3	0	13	2	0	0	0	0	2	2	0	0	0	22	6	0	0	0	3	23	0	0	0	2	3	1	85	0	0	0	2	0	0	3	0	25	0	1
833	860	"Gass Lake"	44.05	-87.73333	599	"AWI"	599	9292	11353	10218	1	0	0	1	3	0	19	4	0	0	0	0	5	4	0	0	0	16	10	1	2	0	0	32	1	0	107	5	3	2	70	0	1	0	3	0	0	2	0	18	0	0
833	860	"Gass Lake"	44.05	-87.73333	604	"AWI"	604	9635	11543	10543	0	0	0	1	2	0	30	2	0	0	0	1	8	2	0	0	0	26	7	2	0	0	0	25	3	1	98	1	3	5	74	0	0	0	4	0	0	4	0	23	0	0
833	860	"Gass Lake"	44.05	-87.73333	609	"AWI"	609	9888	11840	10860	1	0	0	3	1	0	18	3	0	0	0	0	1	5	0	0	0	20	4	2	1	0	0	24	3	2	128	3	1	5	45	0	1	0	0	0	0	2	0	39	0	0
833	860	"Gass Lake"	44.05	-87.73333	614	"AWI"	614	10198	12000	11080	1	0	0	0	3	0	35	3	0	0	0	0	2	1	0	0	0	14	8	1	3	0	0	7	3	1	141	0	0	1	49	0	0	0	0	0	0	0	0	48	0	0
833	860	"Gass Lake"	44.05	-87.73333	623	"AWI"	623	10487	12343	11435	4	0	0	1	2	0	72	5	1	0	0	4	1	4	0	0	0	38	5	1	1	0	0	12	10	0	82	1	2	3	42	0	0	0	1	0	0	0	0	33	1	0
833	860	"Gass Lake"	44.05	-87.73333	634	"AWI"	634	10707	13072	11833	14	0	0	0	8	0	47	3	0	0	0	4	2	4	0	0	1	0	5	5	5	0	1	9	22	3	73	0	5	2	33	0	0	0	3	0	0	0	0	23	0	0
833	860	"Gass Lake"	44.05	-87.73333	641	"AWI"	641	10948	13342	12090	4	0	0	0	4	0	40	1	0	0	1	1	3	11	0	0	0	0	8	3	4	0	0	4	82	0	54	0	5	7	35	0	0	0	1	0	0	0	0	19	0	0
833	860	"Gass Lake"	44.05	-87.73333	648	"AWI"	648	11169	13478	12376	3	0	10	0	3	0	18	6	2	0	0	3	4	12	0	0	0	0	2	1	8	0	0	11	96	0	51	0	2	5	28	0	0	0	4	0	0	0	0	17	0	0
833	860	"Gass Lake"	44.05	-87.73333	654	"AWI"	654	11298	13655	12627	0	0	0	0	9	0	15	0	0	0	0	5	5	4	0	0	0	32	6	1	7	0	0	8	129	0	0	0	9	6	30	0	0	0	2	0	0	0	0	7	0	0
833	860	"Gass Lake"	44.05	-87.73333	674	"AWI"	674	11741	14305	13285	0	0	0	0	9	0	12	0	0	0	0	3	1	3	0	0	0	0	7	1	1	0	0	4	71	0	0	0	8	1	8	0	0	0	3	0	1	0	0	3	0	0
833	860	"Gass Lake"	44.05	-87.73333	694	"AWI"	694	12077	15138	13788	2	0	10	1	16	0	7	0	0	0	0	1	6	14	0	0	0	0	10	0	1	0	0	5	59	0	0	0	3	11	18	9	0	0	4	0	1	0	0	8	0	0
833	860	"Gass Lake"	44.05	-87.73333	714	"AWI"	714	12416	15908	14170	0	0	0	5	29	0	0	2	0	0	0	4	15	12	1	0	0	98	10	0	3	1	0	21	76	0	0	2	6	7	27	0	0	0	6	0	2	0	0	6	0	1
833	860	"Gass Lake"	44.05	-87.73333	734	"AWI"	734	12749	16475	14572	1	0	0	3	29	0	5	1	0	0	0	2	13	23	0	0	0	84	14	2	0	0	0	8	58	1	0	1	7	9	44	0	0	0	6	0	4	0	0	10	10	1
833	860	"Gass Lake"	44.05	-87.73333	754	"AWI"	754	13074	17106	14981	0	0	0	0	4	0	0	0	0	0	0	0	2	4	0	0	0	16	2	0	3	0	1	2	13	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
833	860	"Gass Lake"	44.05	-87.73333	774	"AWI"	774	13383	17749	15416	0	0	0	3	21	0	4	2	5	0	0	0	21	25	2	0	0	70	15	0	1	0	0	7	42	0	0	1	13	7	15	1	0	0	4	0	2	0	0	1	1	0
833	860	"Gass Lake"	44.05	-87.73333	794	"AWI"	794	13674	18453	15843	0	0	0	1	13	0	3	0	1	0	0	0	10	26	0	0	0	38	17	0	6	0	1	0	108	0	0	0	7	11	19	0	0	0	3	0	0	0	0	1	0	0
