"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Juniperus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"
700	720	"Domsvatnet"	70.325334	31.024642	135	"AWI"	135	4397	5204	4798	18	0	0	2	2	258	0	0	0	33	51	0	7	281	0	12	0	0	0	0	3	0	1	0	0	0
700	720	"Domsvatnet"	70.325334	31.024642	145	"AWI"	145	4698	5554	5128	15	0	1	1	3	243	0	0	0	33	51	0	7	225	0	10	0	0	0	0	2	4	0	0	0	0
700	720	"Domsvatnet"	70.325334	31.024642	155	"AWI"	155	5016	5875	5453	20	0	0	2	3	214	0	0	0	13	42	0	2	253	0	8	0	0	0	0	1	2	0	2	0	0
700	720	"Domsvatnet"	70.325334	31.024642	165	"AWI"	165	5338	6211	5781	12	0	0	0	2	229	0	0	3	23	40	0	0	204	0	7	0	0	0	0	0	3	0	1	0	0
700	720	"Domsvatnet"	70.325334	31.024642	175	"AWI"	175	5686	6520	6109	17	0	0	1	3	230	0	0	0	23	33	0	3	231	0	14	0	0	0	0	3	3	0	0	1	1
700	720	"Domsvatnet"	70.325334	31.024642	185	"AWI"	185	6041	6811	6440	24	0	0	1	2	306	0	0	2	35	52	0	5	249	0	7	0	0	0	0	1	0	0	0	0	0
700	720	"Domsvatnet"	70.325334	31.024642	195	"AWI"	195	6419	7103	6762	19	0	0	1	2	302	0	1	2	16	49	1	0	267	0	15	0	0	0	0	0	4	0	1	0	1
700	720	"Domsvatnet"	70.325334	31.024642	205	"AWI"	205	6694	7424	7056	41	0	0	7	3	337	0	0	1	16	24	0	0	301	0	8	0	0	0	0	0	1	0	0	0	1
700	720	"Domsvatnet"	70.325334	31.024642	215	"AWI"	215	6979	7737	7351	32	0	0	2	3	363	0	0	2	27	13	0	0	317	0	28	0	0	0	0	1	2	1	0	0	4
700	720	"Domsvatnet"	70.325334	31.024642	225	"AWI"	225	7286	8025	7647	30	2	0	0	4	394	0	0	2	26	20	0	0	422	0	50	0	0	0	0	2	3	0	0	0	1
700	720	"Domsvatnet"	70.325334	31.024642	235	"AWI"	235	7594	8303	7945	22	0	0	5	4	329	0	0	0	17	15	0	1	299	0	28	0	0	0	0	0	2	0	1	0	1
700	720	"Domsvatnet"	70.325334	31.024642	240	"AWI"	240	7758	8449	8094	16	0	0	1	4	362	0	0	1	25	17	0	3	334	0	52	0	0	0	0	0	1	0	0	0	3
700	720	"Domsvatnet"	70.325334	31.024642	250	"AWI"	250	8065	8779	8397	13	0	0	1	0	298	0	0	0	20	10	1	1	196	0	42	0	0	0	0	1	2	0	0	0	0
700	720	"Domsvatnet"	70.325334	31.024642	260	"AWI"	260	8334	9154	8723	13	1	0	1	3	355	0	0	0	15	15	0	0	243	0	62	0	0	0	0	1	6	0	0	0	0
700	720	"Domsvatnet"	70.325334	31.024642	270	"AWI"	270	8626	9504	9048	12	0	0	3	1	391	0	0	1	17	10	0	0	116	0	48	0	0	0	0	0	7	0	1	0	1
700	720	"Domsvatnet"	70.325334	31.024642	280	"AWI"	280	8935	9839	9372	3	0	1	3	0	397	0	0	1	21	13	0	2	74	0	77	0	0	0	0	2	3	0	0	0	0
700	720	"Domsvatnet"	70.325334	31.024642	290	"AWI"	290	9223	10203	9688	3	2	0	12	1	296	0	0	0	30	20	0	1	42	0	15	0	1	0	0	0	7	0	0	0	0
700	720	"Domsvatnet"	70.325334	31.024642	300	"AWI"	300	9488	10580	10007	4	4	1	3	0	239	0	0	0	20	20	0	1	31	0	27	0	0	0	0	6	5	0	1	0	0
700	720	"Domsvatnet"	70.325334	31.024642	305	"AWI"	305	9626	10767	10165	1	0	0	10	0	202	0	0	0	16	13	0	0	13	0	31	0	2	0	0	12	6	0	0	0	0
700	720	"Domsvatnet"	70.325334	31.024642	310	"AWI"	310	9755	10953	10324	0	2	0	7	0	147	1	0	0	25	44	0	1	7	0	41	0	3	0	0	30	13	0	0	0	0
700	720	"Domsvatnet"	70.325334	31.024642	315	"AWI"	315	9884	11138	10485	0	1	0	11	0	148	1	0	0	12	50	0	0	9	0	27	0	1	0	0	18	17	2	1	0	0
700	720	"Domsvatnet"	70.325334	31.024642	320	"AWI"	320	10027	11317	10645	0	1	0	21	2	70	0	0	0	9	20	0	1	6	0	23	0	7	0	0	17	16	0	0	0	0
700	720	"Domsvatnet"	70.325334	31.024642	325	"AWI"	325	10164	11503	10805	0	5	1	8	0	17	0	0	0	2	0	0	0	1	0	40	0	15	0	1	15	15	4	0	0	0
700	720	"Domsvatnet"	70.325334	31.024642	330	"AWI"	330	10310	11676	10962	0	3	0	10	0	25	1	0	0	4	0	0	0	4	0	4	0	0	0	0	31	8	0	0	0	0
