"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Larix"	"Liliaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Sarcobataceae"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"
208	209	"Lac à l'Ange"	47.48167	-70.68472	520	"AWI"	520	11756	15041	13134	0	0	0	0.925925925925926	0	0.925925925925926	1.85185185185185	5.09259259259259	0.231481481481481	0	0	6.48148148148148	0	0.231481481481481	43.287037037037	0	0	0	0	0	0	0	0	0	0.925925925925926	0	0	0	0	0	0	3.00925925925926	0	0	21.7592592592593	0	0	0	1.15740740740741	1.38888888888889	0	0	0.694444444444444	11.5740740740741	0	0	0	0	0	0.462962962962963	0	0	0	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	522	"AWI"	522	11788	15385	13236	0	0	1.09170305676856	0	0	1.09170305676856	0	1.74672489082969	0.436681222707424	0	0	5.45851528384279	0	0.218340611353712	59.3886462882096	0	0	0.218340611353712	0	0.218340611353712	0	0	0	0	0	0	0	0	0.436681222707424	0	0	2.62008733624454	0	0	17.2489082969432	0	0	0	0	2.40174672489083	0	0	0	4.80349344978166	0.218340611353712	0	0	1.74672489082969	0.218340611353712	0	0	0.218340611353712	0.218340611353712	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	523	"AWI"	523	11801	15579	13286	0	0	2.88659793814433	0.103092783505155	0	1.75257731958763	1.64948453608247	2.16494845360825	0.103092783505155	0	0	9.38144329896907	0	0.721649484536082	40.3092783505155	0	0	0	0	0	0	0.206185567010309	0	0	0.412371134020619	0	0	0	0	0	0	5.77319587628866	0	0.103092783505155	22.4742268041237	0	0	0	0.206185567010309	0.618556701030928	0	0	0.103092783505155	9.69072164948454	0	0	0.103092783505155	0.927835051546392	0	0	0	0.103092783505155	0.206185567010309	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	525	"AWI"	525	11839	15933	13383	0.192061459667093	0	3.52112676056338	0	0.128040973111396	1.53649167733675	1.08834827144686	3.58514724711908	0.512163892445583	0	0	4.99359795134443	0	0.57618437900128	44.3661971830986	0	0	0	0.192061459667093	0	0	0	0	0	0.192061459667093	0	0	0.0640204865556978	0	0	0	8.898847631242	0	0.0640204865556978	24.6478873239437	0	0	0	0.256081946222791	0.256081946222791	0	0	0	3.64916773367478	0	0	0	0.320102432778489	0.0640204865556978	0.384122919334187	0	0.192061459667093	0.320102432778489	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	527	"AWI"	527	11865	16291	13473	0	0	6.00706713780919	0.176678445229682	0.176678445229682	1.23674911660777	0	4.77031802120141	0.353356890459364	0	0	5.12367491166078	0	0.353356890459364	41.8727915194346	0	0	0	0	0	0	0	0	0	0.530035335689046	0	0	0	0	0	0	5.47703180212014	0	0	20.3180212014134	0	0	0	0.706713780918728	0.530035335689046	0	0	0	10.2473498233216	0.176678445229682	0	0	0.706713780918728	0	0.353356890459364	0	0	0.88339222614841	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	529	"AWI"	529	11975	16465	13586	0	0	2.73972602739726	0.273972602739726	0	1.78082191780822	3.56164383561644	3.28767123287671	0.136986301369863	0	0	6.84931506849315	0	0.273972602739726	42.4657534246575	0	0	0	0	0	0	0	0	0	0	0.136986301369863	0	0.136986301369863	0	0.136986301369863	2.6027397260274	4.24657534246575	0	0	17.8082191780822	0	0	0	0	0.410958904109589	0	0	0	11.3698630136986	0	0	0	0.821917808219178	0	0.136986301369863	0	0.136986301369863	0.684931506849315	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	531	"AWI"	531	12043	16601	13713	0	0	3.4816247582205	0.386847195357834	0	2.12765957446809	3.09477756286267	3.09477756286267	1.54738878143133	0	0	4.25531914893617	0	0.580270793036751	40.4255319148936	0	0	0	0	0	0	0	0	0	0	0	0	0.193423597678917	0.386847195357834	0	2.90135396518375	6.57640232108317	0	0	12.7659574468085	0	0	0	0.580270793036751	0.773694390715667	0	0	0.193423597678917	14.5067698259188	0	0	0	0.773694390715667	0	0.580270793036751	0	0.193423597678917	0.580270793036751	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	532	"AWI"	532	12072	16650	13781	0	0	0.779220779220779	0	0	1.03896103896104	0	3.37662337662338	0	0	0.25974025974026	9.35064935064935	0	0.25974025974026	55.3246753246753	0	0	0	0	0	0	0	0	0	0	0	0	0	0.779220779220779	0	0	0	0	0	13.5064935064935	0	0	0	1.2987012987013	1.03896103896104	0	0	0	12.7272727272727	0	0	0	0	0.25974025974026	0	0	0	0	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	533	"AWI"	533	12118	16736	13837	0	0	0.592885375494071	0	0	0.197628458498024	0	0.197628458498024	0.197628458498024	0	0	10.4743083003953	0	0.395256916996047	61.2648221343874	0	0	0	0	0	0	0	0	0	0	0	0	0	0.592885375494071	0	0.988142292490119	0	0	0	16.2055335968379	0	0	0	0	0	0	0	0	7.5098814229249	0	0	0	1.18577075098814	0	0	0	0	0.197628458498024	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	536	"AWI"	536	12229	16991	14020	0.260756192959583	0	1.04302477183833	0	0	1.30378096479791	0	2.21642764015645	0.130378096479791	0	0	6.38852672750978	0	1.04302477183833	47.7183833116037	0.130378096479791	0	0	0	0	0	0	0	0	0.391134289439374	0	0	0	0.391134289439374	0	0	3.78096479791395	0	0	17.2099087353325	0	0	0	0	0.130378096479791	0	0	0	16.1668839634941	0	0	0.130378096479791	0	0	0.130378096479791	0	0	1.43415906127771	0
