"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cannabaceae"	"Carya"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
7	7	"Three Pines Bog"	47	-80.11667	110	"AWI"	110	1644	2761	2222	4	0	11	1	0	0	0	55	0	0	0	1	5	0	2	1	0	3	3	0	0	0	1	18	0	0	0	1	1	9	0	0	0	0	0	0	0	1	1	1
7	7	"Three Pines Bog"	47	-80.11667	120	"AWI"	120	1843	2970	2429	5	0	8	0	0	0	0	45	0	1	1	0	0	1	2	1	0	1	0	0	0	0	3	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0
7	7	"Three Pines Bog"	47	-80.11667	130	"AWI"	130	2064	3149	2633	2	0	4	0	0	1	0	48	0	0	0	0	1	0	1	1	0	0	2	0	1	0	2	11	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	5
7	7	"Three Pines Bog"	47	-80.11667	140	"AWI"	140	2288	3316	2834	4	0	4	0	0	0	0	57	0	0	0	0	1	0	1	0	0	1	1	0	1	0	1	4	0	0	1	0	0	2	0	0	0	0	0	0	0	0	2	0
7	7	"Three Pines Bog"	47	-80.11667	150	"AWI"	150	2520	3477	3043	11	4	11	1	0	1	0	72	0	0	2	0	5	0	2	4	3	1	6	0	1	0	3	23	0	0	0	0	0	11	0	0	0	1	0	0	0	0	3	2
7	7	"Three Pines Bog"	47	-80.11667	160	"AWI"	160	2776	3645	3250	4	0	11	0	0	0	0	63	0	0	0	0	35	0	17	1	2	1	4	0	0	0	0	9	0	0	0	0	0	9	0	0	0	0	0	0	0	0	2	3
7	7	"Three Pines Bog"	47	-80.11667	170	"AWI"	170	3029	3783	3453	4	0	12	1	0	2	0	97	0	0	0	0	0	0	12	3	2	0	1	0	3	1	5	4	0	0	0	0	1	16	0	0	0	1	0	0	0	0	2	4
7	7	"Three Pines Bog"	47	-80.11667	180	"AWI"	180	3336	3929	3647	4	0	10	2	0	0	0	92	0	0	0	3	7	0	0	1	2	0	1	0	0	0	0	12	0	0	1	0	0	9	0	0	0	0	0	0	0	0	0	3
7	7	"Three Pines Bog"	47	-80.11667	190	"AWI"	190	3580	4103	3837	4	0	8	1	0	1	0	30	0	0	0	0	38	0	0	2	0	0	3	0	0	0	1	9	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0
7	7	"Three Pines Bog"	47	-80.11667	200	"AWI"	200	3726	4343	4013	5	0	6	0	0	2	0	38	0	0	1	0	4	0	6	2	0	0	7	0	1	0	0	8	0	0	1	2	2	7	0	0	0	3	0	0	0	0	0	4
7	7	"Three Pines Bog"	47	-80.11667	210	"AWI"	210	3851	4593	4187	5	0	2	0	0	0	0	24	0	0	0	0	1	0	8	0	0	0	3	0	1	1	1	6	0	0	0	1	1	5	0	0	0	0	0	0	1	0	0	6
7	7	"Three Pines Bog"	47	-80.11667	220	"AWI"	220	3992	4801	4360	11	0	5	1	0	1	0	44	0	0	1	1	2	0	6	0	0	1	4	0	1	0	0	13	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	3
7	7	"Three Pines Bog"	47	-80.11667	230	"AWI"	230	4130	5008	4536	3	0	2	0	0	0	0	9	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1
7	7	"Three Pines Bog"	47	-80.11667	240	"AWI"	240	4271	5196	4707	1	0	2	0	0	1	0	10	0	0	0	1	1	0	2	0	0	1	2	0	0	0	1	6	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1
7	7	"Three Pines Bog"	47	-80.11667	250	"AWI"	250	4410	5398	4877	3	0	5	0	0	0	0	17	0	0	0	0	0	0	4	1	0	3	6	0	1	0	1	7	299	0	1	0	1	3	0	0	0	1	0	0	1	0	0	1
7	7	"Three Pines Bog"	47	-80.11667	260	"AWI"	260	4574	5578	5058	2	3	1	0	0	1	0	10	0	0	0	1	0	0	0	1	0	1	2	0	0	0	1	6	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0
7	7	"Three Pines Bog"	47	-80.11667	270	"AWI"	270	4721	5756	5229	2	0	4	0	0	2	0	35	0	1	1	4	0	0	0	0	3	1	2	0	0	0	1	6	0	0	0	1	0	3	0	0	0	2	0	0	0	0	1	2
7	7	"Three Pines Bog"	47	-80.11667	280	"AWI"	280	4894	5925	5406	7	0	7	0	0	3	0	16	0	0	0	2	2	0	0	0	0	0	3	0	0	0	0	7	283	0	0	1	0	3	0	0	0	0	0	0	0	0	1	1
7	7	"Three Pines Bog"	47	-80.11667	290	"AWI"	290	5047	6092	5580	7	0	3	0	0	0	0	6	0	0	0	1	2	0	0	2	0	0	1	0	0	0	0	7	0	0	0	3	0	5	1	0	0	2	0	0	0	0	0	1
7	7	"Three Pines Bog"	47	-80.11667	300	"AWI"	300	5236	6266	5756	1	0	3	2	0	0	0	17	0	0	0	6	5	0	0	0	0	0	2	0	1	0	2	4	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	3
7	7	"Three Pines Bog"	47	-80.11667	310	"AWI"	310	5402	6431	5934	3	0	3	0	0	2	0	6	0	0	0	1	2	0	4	0	0	0	2	0	3	0	3	4	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	5
7	7	"Three Pines Bog"	47	-80.11667	320	"AWI"	320	5586	6576	6107	2	0	1	0	0	0	0	7	0	0	0	0	3	0	2	0	0	0	0	0	0	0	2	7	0	0	0	1	0	6	0	0	0	0	0	0	0	0	1	1
7	7	"Three Pines Bog"	47	-80.11667	325	"AWI"	325	5673	6651	6194	3	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	11	0	0	0	0	0	3	0	0	0	2	0	0	0	0	3	4
7	7	"Three Pines Bog"	47	-80.11667	340	"AWI"	340	5952	6873	6458	4	0	3	0	0	0	0	20	0	0	0	0	5	0	3	0	0	0	6	0	0	0	0	8	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3
7	7	"Three Pines Bog"	47	-80.11667	350	"AWI"	350	6150	7024	6634	9	0	0	0	0	0	0	7	0	2	0	1	0	0	0	0	0	0	2	0	0	0	1	8	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3
7	7	"Three Pines Bog"	47	-80.11667	360	"AWI"	360	6346	7155	6813	2	0	2	1	1	0	0	9	0	0	0	0	7	0	3	0	0	0	7	0	1	0	1	3	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	1
7	7	"Three Pines Bog"	47	-80.11667	370	"AWI"	370	6564	7287	6989	2	0	1	0	0	0	0	6	0	0	0	2	4	0	1	0	0	0	3	0	2	0	0	4	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	5
7	7	"Three Pines Bog"	47	-80.11667	380	"AWI"	380	6783	7401	7158	2	0	1	0	0	0	0	5	0	2	0	0	4	0	0	0	0	0	2	0	0	0	2	6	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	4
7	7	"Three Pines Bog"	47	-80.11667	390	"AWI"	390	7024	7535	7328	2	0	1	1	0	0	0	9	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2
7	7	"Three Pines Bog"	47	-80.11667	395	"AWI"	395	7086	7687	7407	2	0	0	1	0	0	0	5	0	0	0	0	1	0	1	0	0	0	6	0	0	0	0	6	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1
