"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Celtis"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Larix"	"Myrica"	"Nyssa"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
821	847	"Frains Lake"	42.33	-83.63	876	"AWI"	876	5640	8186	6791	0	5	0	1	1	0	2	2	0	1	0	1	18	14	12	0	0	0	9	0	7	6	2	0	0	100	0	0	0	0	0	0	18
821	847	"Frains Lake"	42.33	-83.63	916	"AWI"	916	6230	8821	7492	0	9	0	1	1	3	1	7	0	2	0	0	28	15	0	1	0	0	9	0	2	15	0	0	0	58	0	0	1	0	0	0	40
821	847	"Frains Lake"	42.33	-83.63	976	"AWI"	976	7339	9716	8529	0	6	0	0	2	0	5	10	1	3	0	0	6	6	1	0	0	0	11	3	0	8	1	0	0	71	0	0	0	0	0	0	42
821	847	"Frains Lake"	42.33	-83.63	1016	"AWI"	1016	8716	10465	9564	0	4	1	0	1	5	2	4	0	0	0	1	0	8	1	0	0	0	7	0	19	2	4	0	0	106	0	0	1	0	1	0	31
821	847	"Frains Lake"	42.33	-83.63	1035	"AWI"	1035	9236	11061	10087	0	6	0	0	1	0	6	5	0	0	0	0	0	18	1	0	0	0	22	0	12	2	2	0	1	118	0	0	1	0	2	0	5
821	847	"Frains Lake"	42.33	-83.63	1050	"AWI"	1050	9734	11319	10534	0	4	0	0	2	0	2	3	0	0	1	2	0	16	1	0	0	0	23	0	48	4	0	0	0	78	0	0	0	0	1	0	14
821	847	"Frains Lake"	42.33	-83.63	1065	"AWI"	1065	10030	11832	10977	1	4	0	0	0	4	3	8	0	0	0	0	0	16	0	0	0	0	14	0	64	1	5	0	1	64	0	0	1	0	1	1	16
821	847	"Frains Lake"	42.33	-83.63	1085	"AWI"	1085	10598	12422	11509	1	1	2	0	2	0	6	6	0	3	0	2	0	20	1	3	0	0	10	3	72	0	2	0	7	35	0	0	0	0	1	0	25
821	847	"Frains Lake"	42.33	-83.63	1100	"AWI"	1100	10937	12831	11915	3	2	1	0	0	0	6	2	0	1	0	2	0	8	0	5	0	0	13	8	124	1	2	0	3	22	0	0	2	0	0	0	7
821	847	"Frains Lake"	42.33	-83.63	1141	"AWI"	1141	12054	14135	13091	0	0	3	0	0	0	3	0	0	0	1	4	0	0	0	2	0	0	4	41	124	0	2	0	7	3	0	0	0	0	0	1	5
821	847	"Frains Lake"	42.33	-83.63	1163	"AWI"	1163	12527	14790	13802	6	0	0	0	15	0	3	0	0	0	2	4	0	5	0	2	1	0	9	94	18	0	4	1	3	20	0	0	9	2	0	0	2
821	847	"Frains Lake"	42.33	-83.63	1183	"AWI"	1183	13408	15110	14245	1	1	0	0	9	3	0	1	2	4	1	17	0	13	0	1	0	0	17	36	2	0	9	0	5	8	1	0	3	1	0	0	2
821	847	"Frains Lake"	42.33	-83.63	1198	"AWI"	1198	13833	15372	14592	0	0	0	0	3	0	2	0	0	0	1	7	0	19	0	0	0	0	9	26	1	0	4	0	5	10	0	0	3	0	0	0	0
821	847	"Frains Lake"	42.33	-83.63	1226	"AWI"	1226	14222	16162	15127	0	0	1	0	3	0	0	0	0	0	6	2	0	35	0	0	0	0	5	16	1	0	2	0	13	3	0	0	1	0	0	1	2
821	847	"Frains Lake"	42.33	-83.63	1246	"AWI"	1246	14420	16547	15403	0	1	0	0	3	0	0	1	1	1	11	5	0	26	0	1	0	0	4	29	0	0	4	0	1	6	0	0	0	0	0	0	0
821	847	"Frains Lake"	42.33	-83.63	1291	"AWI"	1291	14869	17334	16038	0	0	1	0	0	0	0	0	0	0	20	8	0	16	0	0	0	0	1	21	0	0	2	0	5	6	0	0	0	0	0	0	0
821	847	"Frains Lake"	42.33	-83.63	1363	"AWI"	1363	15770	18358	17053	1	1	2	1	13	7	3	2	0	0	3	12	0	9	0	0	2	0	4	47	4	0	9	0	5	12	4	0	6	0	0	1	3
821	847	"Frains Lake"	42.33	-83.63	1400	"AWI"	1400	16250	18820	17576	0	0	1	0	2	0	2	0	0	0	5	2	0	8	0	0	0	0	0	21	0	0	4	0	0	3	0	0	0	0	0	0	0
