"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Berberidaceae"	"Boraginaceae"	"Brassicaceae"	"Buddleja"	"Caryophyllaceae"	"Cyperaceae"	"Drimys"	"Embothrium"	"Ephedraceae"	"Ericales"	"Fuchsia"	"Grossulariaceae"	"Gunneraceae"	"Indeterminable"	"Liliaceae"	"Lomatia"	"Maytenus"	"Misodendraceae"	"Myrtaceae"	"Nothofagus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Podocarpus"	"Polygonaceae"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Schinus"	"Verbenaceae"	"Vivianiaceae"
1565	1610	"La Mision"	-53.5	-67.83333	202	"AWI"	202	1489	3307	2323	270	0	0	0	0	0	0	0	3	2	0	0	2	18	0	0	3	6	0	2	0	0	2	101	0	0	46	22	0	0	0	2	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	242	"AWI"	242	1905	3821	2789	139	0	0	0	0	0	0	0	0	1	0	0	0	9	0	0	1	2	0	2	0	0	1	89	0	0	12	12	0	0	0	7	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	278	"AWI"	278	2286	4307	3227	12	0	1	0	0	0	0	0	0	4	0	0	0	5	1	0	1	1	0	0	0	0	0	42	0	0	13	3	0	0	0	0	0	0	0	1
1565	1610	"La Mision"	-53.5	-67.83333	302	"AWI"	302	2545	4584	3520	88	0	0	0	0	0	0	0	0	6	0	0	0	14	0	0	0	4	1	0	0	0	1	95	0	0	18	3	0	0	0	5	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	320	"AWI"	320	2737	4807	3731	61	0	0	0	2	0	0	0	0	2	0	0	1	3	0	0	0	3	0	0	0	0	0	93	1	0	18	8	0	0	0	0	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	342	"AWI"	342	2960	5089	3993	98	0	0	0	0	0	0	0	2	2	0	0	0	8	0	0	3	6	1	2	0	0	0	110	1	0	23	5	0	0	1	5	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	385	"AWI"	385	3429	5641	4502	150	0	0	0	0	0	0	0	6	3	0	0	0	3	0	1	1	17	0	0	0	4	1	160	10	0	28	7	0	0	1	12	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	401	"AWI"	401	3623	5812	4698	14	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0	0	5	4	0	0	0	1	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	422	"AWI"	422	3866	6050	4946	37	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	47	1	0	19	1	0	0	0	1	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	440	"AWI"	440	4091	6271	5163	136	0	0	0	0	0	0	1	2	2	0	0	0	5	0	0	1	2	0	0	0	0	1	73	4	0	0	7	0	0	1	7	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	462	"AWI"	462	4331	6541	5428	32	0	0	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	1	0	0	0	3	95	1	0	28	1	1	0	0	1	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	481	"AWI"	481	4547	6741	5647	191	0	0	0	1	0	0	0	1	3	0	0	0	5	0	0	0	1	0	0	0	0	1	98	4	0	8	3	0	0	2	6	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	495	"AWI"	495	4716	6926	5822	22	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	98	2	0	6	2	0	0	0	0	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	500	"AWI"	500	4778	6971	5876	198	3	0	0	0	0	0	0	1	2	0	0	0	23	0	0	1	10	1	0	0	0	1	59	2	0	0	12	0	0	0	3	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	510	"AWI"	510	4897	7071	5995	130	0	0	0	0	0	0	0	2	3	0	0	0	8	0	0	0	3	0	0	0	0	1	113	1	0	10	18	1	0	0	0	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	520	"AWI"	520	5030	7188	6116	55	0	0	0	0	0	0	0	1	4	0	0	0	3	0	0	0	3	0	0	0	0	2	87	0	0	8	15	0	1	0	0	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	530	"AWI"	530	5156	7295	6237	91	0	1	6	0	0	0	0	2	1	0	0	0	11	0	0	1	5	1	0	0	0	0	47	1	0	34	10	0	0	0	3	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	542	"AWI"	542	5303	7435	6380	347	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	4	0	0	0	0	1	78	0	0	7	20	0	0	0	2	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	550	"AWI"	550	5392	7521	6475	123	0	0	0	1	0	0	3	3	2	0	0	0	3	0	0	1	5	0	0	0	0	1	105	0	1	9	12	0	0	0	4	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	560	"AWI"	560	5504	7630	6596	176	0	0	0	0	0	0	0	4	3	0	0	0	8	0	0	2	2	0	0	0	0	1	107	0	1	5	24	0	0	1	1	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	570	"AWI"	570	5611	7759	6717	122	0	0	0	0	0	0	0	3	2	0	0	0	4	0	0	0	5	1	0	0	0	1	58	1	0	8	5	0	0	0	0	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	581	"AWI"	581	5735	7869	6853	91	0	0	0	0	0	0	0	0	5	0	0	0	5	0	0	1	6	0	0	2	0	0	64	1	0	31	8	0	0	0	5	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	591	"AWI"	591	5851	7972	6975	165	0	1	0	0	0	0	0	1	3	0	0	0	3	0	1	0	2	0	0	0	2	1	107	3	0	18	5	0	0	0	7	0	4	0	0
1565	1610	"La Mision"	-53.5	-67.83333	602	"AWI"	602	5997	8118	7103	248	0	0	0	0	0	0	0	2	2	0	1	0	1	0	0	0	6	0	2	0	0	0	55	0	0	17	7	0	0	0	6	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	612	"AWI"	612	6121	8216	7218	217	0	0	15	0	0	0	0	8	2	0	1	0	3	0	1	0	2	1	0	0	2	0	121	2	0	13	10	0	0	0	7	0	4	0	0
1565	1610	"La Mision"	-53.5	-67.83333	620	"AWI"	620	6218	8304	7306	134	0	0	0	0	0	0	1	1	3	0	0	1	2	0	1	0	3	1	0	0	0	0	100	3	0	26	13	0	0	1	4	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	631	"AWI"	631	6357	8430	7444	165	0	0	0	0	0	0	0	2	2	0	1	0	5	0	0	1	3	0	0	0	0	0	62	0	0	10	28	0	0	1	3	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	640	"AWI"	640	6488	8509	7552	256	0	0	0	0	0	0	0	1	1	0	0	2	1	0	0	2	5	0	1	0	0	3	75	3	0	27	8	0	0	1	2	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	651	"AWI"	651	6628	8624	7681	147	2	0	10	0	0	0	0	7	12	0	0	0	8	0	0	0	4	0	0	0	0	0	93	0	0	19	29	0	0	0	9	1	2	0	0
1565	1610	"La Mision"	-53.5	-67.83333	662	"AWI"	662	6763	8760	7814	216	0	0	0	0	0	0	1	0	4	0	0	0	3	0	0	1	1	0	0	0	0	4	78	0	0	8	11	0	0	0	2	0	1	0	0
1565	1610	"La Mision"	-53.5	-67.83333	685	"AWI"	685	7063	8979	8089	209	2	0	0	0	0	0	0	1	4	0	0	1	12	1	0	0	3	0	0	0	0	11	126	2	0	15	10	0	0	0	5	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	700	"AWI"	700	7259	9124	8264	18	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	1	6	0	1	0	0	0	22	0	0	15	17	0	0	0	0	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	701	"AWI"	701	7270	9140	8275	50	0	0	0	0	0	0	1	2	8	0	0	0	4	0	0	0	5	0	0	0	0	0	82	4	0	37	10	0	0	1	5	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	711	"AWI"	711	7392	9248	8394	55	0	0	0	1	0	0	1	2	5	0	0	0	4	0	0	3	7	0	1	0	0	0	83	1	0	36	26	0	0	0	1	1	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	720	"AWI"	720	7514	9335	8502	99	2	0	0	2	0	0	0	4	4	0	0	0	0	0	0	2	10	1	0	0	0	0	46	2	0	33	15	0	0	2	2	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	731	"AWI"	731	7665	9435	8631	40	0	0	0	0	0	0	0	4	7	0	1	0	6	0	0	0	3	0	0	0	1	1	116	4	0	22	16	1	0	0	3	0	3	0	0
1565	1610	"La Mision"	-53.5	-67.83333	740	"AWI"	740	7761	9538	8731	20	0	0	0	0	0	0	0	4	8	0	1	1	3	2	0	1	4	0	0	0	0	0	40	0	0	16	18	0	0	0	13	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	751	"AWI"	751	7946	9635	8856	36	0	0	0	0	0	0	0	0	4	0	0	1	4	0	0	1	9	0	1	0	0	0	47	5	0	23	7	0	0	0	2	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	770	"AWI"	770	8191	9818	9079	69	0	0	0	0	0	0	0	2	7	0	0	0	3	0	0	2	10	0	1	0	0	2	81	0	0	15	14	0	0	0	6	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	781	"AWI"	781	8351	9903	9207	32	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	6	0	0	0	0	0	44	1	0	22	12	0	0	0	4	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	791	"AWI"	791	8498	10002	9328	43	0	1	0	3	0	0	0	3	10	0	0	0	3	0	0	0	7	0	1	0	0	1	56	1	0	48	15	0	0	0	8	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	800	"AWI"	800	8624	10099	9437	53	0	0	0	3	0	0	0	2	8	0	0	0	5	1	0	0	9	0	0	0	0	1	65	2	0	48	11	0	0	0	5	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	815	"AWI"	815	8847	10227	9611	6	0	0	0	3	0	0	0	0	16	0	0	0	0	0	0	0	5	0	1	0	0	0	31	2	0	34	2	0	0	0	0	0	1	0	0
1565	1610	"La Mision"	-53.5	-67.83333	825	"AWI"	825	9022	10303	9731	9	0	0	0	0	0	0	0	0	14	1	0	0	1	0	0	0	2	1	0	0	0	0	29	2	0	31	6	0	0	0	1	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	832	"AWI"	832	9108	10384	9811	22	0	0	18	0	0	0	0	2	16	0	0	0	2	1	0	0	6	1	0	1	4	3	162	8	0	90	45	1	0	0	7	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	841	"AWI"	841	9283	10460	9926	9	0	0	0	0	0	1	0	2	27	0	1	0	1	0	0	0	2	2	0	0	0	0	71	0	0	94	13	0	0	0	6	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	857	"AWI"	857	9553	10609	10145	4	0	0	0	1	0	0	0	5	37	0	0	0	5	0	0	0	1	1	0	0	1	0	21	1	0	57	2	0	0	0	6	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	875	"AWI"	875	9774	10878	10342	4	0	0	0	0	0	0	0	4	52	0	0	0	5	1	0	0	3	0	0	1	0	0	11	0	0	49	0	0	0	0	4	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	882	"AWI"	882	9854	10999	10423	3	0	0	0	4	0	0	0	4	32	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	68	1	0	0	0	30	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	898	"AWI"	898	10058	11254	10640	3	0	0	0	14	0	0	0	3	27	0	0	0	2	1	0	0	4	0	0	0	0	0	11	0	0	139	0	0	0	0	19	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	902	"AWI"	902	10119	11316	10696	7	0	0	28	4	0	0	0	4	26	0	0	0	3	1	0	0	3	1	0	0	1	1	4	0	0	84	1	0	0	0	17	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	905	"AWI"	905	10160	11378	10738	5	0	0	0	5	0	0	0	1	18	0	0	0	3	1	0	0	2	0	0	1	0	0	5	1	0	79	0	0	0	0	14	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	915	"AWI"	915	10288	11537	10892	3	0	0	0	1	0	0	0	1	17	0	0	0	2	1	0	0	4	0	0	0	0	0	8	2	0	58	2	0	0	0	3	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	925	"AWI"	925	10393	11732	11054	2	0	0	0	0	0	0	0	2	31	0	0	0	3	0	0	0	2	1	0	0	0	0	4	0	0	61	0	0	0	0	2	0	0	0	0
