"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Vitaceae"
829	856	"Furnival Lake"	48.21	-84.93	140	"AWI"	140	1799	3584	2651	8	0	24	0	0	5	0	114	0	0	1	1	0	0	1	3	1	0	3	0	0	1	34	85	0	1	0	10	0	0	0	0	1	0	0	0	3	0
829	856	"Furnival Lake"	48.21	-84.93	160	"AWI"	160	2125	3966	3040	10	0	22	0	0	2	0	141	0	0	0	0	0	0	0	0	0	0	5	0	0	0	49	58	0	1	0	5	0	0	0	0	0	0	0	4	0	0
829	856	"Furnival Lake"	48.21	-84.93	180	"AWI"	180	2518	4330	3425	9	0	14	0	0	2	0	131	0	0	2	1	0	0	0	0	1	0	2	0	0	0	45	77	0	3	0	3	0	0	0	1	0	0	0	4	3	0
829	856	"Furnival Lake"	48.21	-84.93	200	"AWI"	200	2896	4689	3825	11	0	21	0	0	1	0	158	0	0	7	0	0	0	1	5	1	0	3	0	0	0	25	50	0	0	4	4	0	0	0	0	0	0	0	0	2	0
829	856	"Furnival Lake"	48.21	-84.93	220	"AWI"	220	3292	5049	4212	8	0	21	1	0	1	0	132	0	1	5	5	0	0	0	0	2	0	0	0	0	2	33	72	0	2	0	11	0	0	0	0	0	0	0	1	0	0
829	856	"Furnival Lake"	48.21	-84.93	240	"AWI"	240	3694	5370	4592	6	0	21	0	0	1	0	134	1	0	2	3	1	0	1	0	0	0	2	1	0	1	39	73	1	0	0	7	0	0	0	0	0	1	0	1	2	0
829	856	"Furnival Lake"	48.21	-84.93	260	"AWI"	260	4086	5708	4974	5	0	10	0	0	0	0	170	0	0	0	1	0	0	0	0	0	0	1	1	0	4	27	63	0	1	0	6	0	0	0	1	0	0	0	3	4	0
829	856	"Furnival Lake"	48.21	-84.93	280	"AWI"	280	4503	6014	5356	7	0	12	1	0	2	0	150	0	1	0	1	0	0	1	0	1	0	3	0	0	0	32	70	0	0	1	9	0	0	0	0	1	0	0	1	1	0
829	856	"Furnival Lake"	48.21	-84.93	300	"AWI"	300	4982	6303	5754	10	0	18	1	0	2	0	158	1	0	0	0	0	0	0	0	0	0	3	1	0	0	29	64	0	2	0	7	0	0	0	0	0	0	0	0	1	0
829	856	"Furnival Lake"	48.21	-84.93	320	"AWI"	320	5475	6554	6134	6	0	28	1	0	2	0	128	0	1	9	1	0	0	1	0	1	0	4	0	0	0	26	75	0	0	0	12	0	0	0	2	0	0	0	0	2	0
829	856	"Furnival Lake"	48.21	-84.93	340	"AWI"	340	6007	6786	6519	16	0	24	2	0	5	0	98	0	1	1	1	0	0	0	0	0	0	3	0	0	2	43	82	1	2	0	12	0	0	0	1	0	0	0	0	3	0
829	856	"Furnival Lake"	48.21	-84.93	360	"AWI"	360	6469	7034	6780	9	0	15	3	0	1	0	86	0	1	8	2	0	0	0	5	0	0	0	0	0	5	22	121	1	1	1	11	0	0	0	0	0	0	0	1	5	0
829	856	"Furnival Lake"	48.21	-84.93	380	"AWI"	380	6632	7288	6964	4	0	16	1	0	1	0	105	0	0	8	1	0	0	0	0	1	0	3	0	0	1	15	126	0	0	0	12	0	0	0	0	0	0	0	0	3	0
829	856	"Furnival Lake"	48.21	-84.93	400	"AWI"	400	6806	7504	7156	1	0	23	2	0	4	0	85	1	0	7	1	0	1	0	0	2	0	1	2	0	2	8	148	0	0	0	7	0	0	0	0	0	1	0	0	2	0
829	856	"Furnival Lake"	48.21	-84.93	420	"AWI"	420	6988	7712	7353	7	0	19	0	0	0	0	99	0	1	5	0	0	0	0	2	1	0	1	0	0	0	15	126	0	1	0	15	0	0	0	0	0	0	0	3	1	0
829	856	"Furnival Lake"	48.21	-84.93	440	"AWI"	440	7170	7904	7550	1	0	11	2	0	3	0	43	0	0	14	0	0	0	0	0	1	0	1	0	0	4	7	189	1	0	0	12	0	0	0	0	1	0	0	1	2	0
829	856	"Furnival Lake"	48.21	-84.93	460	"AWI"	460	7368	8088	7746	2	0	11	0	0	6	0	46	0	1	4	1	0	0	0	0	2	0	1	1	0	2	9	200	0	2	0	5	0	0	0	0	0	0	0	0	4	0
829	856	"Furnival Lake"	48.21	-84.93	480	"AWI"	480	7571	8244	7938	2	0	6	1	0	2	0	40	0	1	2	2	0	0	0	0	3	0	2	1	0	6	8	212	0	0	0	6	0	0	0	0	0	0	0	0	3	0
829	856	"Furnival Lake"	48.21	-84.93	500	"AWI"	500	7799	8393	8130	1	0	2	0	0	5	0	52	0	1	1	1	0	0	0	0	1	0	3	0	0	0	8	211	0	2	0	8	0	0	0	0	0	0	0	0	2	0
829	856	"Furnival Lake"	48.21	-84.93	520	"AWI"	520	8032	8531	8323	6	0	2	6	0	5	0	97	0	1	1	0	0	0	0	0	0	0	1	2	0	3	11	129	1	3	1	15	0	0	0	0	0	0	0	0	0	1
829	856	"Furnival Lake"	48.21	-84.93	560	"AWI"	560	8364	9031	8670	4	0	6	6	0	12	0	69	0	0	1	1	0	0	0	0	5	0	4	0	0	1	81	78	0	1	1	12	0	0	0	2	0	0	0	0	2	0
829	856	"Furnival Lake"	48.21	-84.93	580	"AWI"	580	8505	9297	8847	3	0	0	4	0	5	0	15	1	0	0	5	0	0	0	0	1	0	15	1	1	0	97	123	0	2	0	9	0	0	0	0	0	0	0	0	6	0
829	856	"Furnival Lake"	48.21	-84.93	600	"AWI"	600	8648	9530	9031	1	0	9	6	0	20	0	24	3	0	1	5	0	0	0	0	5	0	2	0	0	3	86	101	0	1	1	18	0	0	0	4	2	0	0	0	2	0
829	856	"Furnival Lake"	48.21	-84.93	620	"AWI"	620	8783	9759	9211	0	0	1	1	0	3	0	15	2	0	1	10	0	0	0	0	3	0	0	0	0	1	141	100	0	1	0	17	0	0	0	0	0	0	0	0	2	0
829	856	"Furnival Lake"	48.21	-84.93	630	"AWI"	630	8854	9873	9301	1	0	0	2	0	1	0	11	2	0	0	17	0	0	0	0	3	0	2	0	0	1	119	99	0	3	1	19	1	0	0	0	0	0	1	0	8	0
829	856	"Furnival Lake"	48.21	-84.93	640	"AWI"	640	8923	9982	9391	0	0	1	2	0	16	0	19	0	0	1	30	0	0	0	0	6	0	0	2	0	2	80	99	0	2	4	21	0	0	0	3	0	0	0	0	5	0
829	856	"Furnival Lake"	48.21	-84.93	650	"AWI"	650	8996	10096	9484	2	0	1	2	0	1	0	7	0	0	0	7	0	0	0	0	1	0	0	0	0	0	27	0	0	2	0	17	0	0	0	0	0	0	0	0	8	0
829	856	"Furnival Lake"	48.21	-84.93	660	"AWI"	660	9065	10212	9573	0	0	1	8	1	14	0	22	0	0	2	11	0	0	0	3	15	0	0	0	0	1	18	117	0	10	0	53	0	0	0	1	1	0	0	0	25	0
