"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Carya"	"Celtis"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Larix"	"Nyssa"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"
1411	1448	"Kellners Lake"	44.23806	-87.84806	180	"AWI"	180	568	1683	1069	0	11	8	1	2	0	23	2	0	4	1	0	0	7	0	0	10	16	0	1	2	0	12	0	76	1	3	0	89	0	0	0	1	0	2	2	23	1
1411	1448	"Kellners Lake"	44.23806	-87.84806	200	"AWI"	200	683	1805	1195	1	12	3	1	1	0	15	1	0	3	1	2	0	4	0	0	7	9	1	2	3	0	15	2	103	3	7	3	95	1	1	1	0	0	1	5	16	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	230	"AWI"	230	855	2017	1380	0	7	6	1	2	0	31	3	0	1	1	0	0	3	0	0	12	17	2	2	8	0	11	3	96	1	4	0	69	0	0	0	0	1	1	8	11	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	240	"AWI"	240	950	2055	1437	0	6	7	0	2	0	36	2	0	1	0	0	0	9	1	0	12	9	2	1	1	1	12	1	88	2	2	0	82	0	0	0	1	1	2	7	13	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	260	"AWI"	260	1070	2173	1557	0	6	7	1	2	0	24	1	0	2	0	0	1	16	0	0	11	5	0	0	2	0	13	0	76	0	3	0	97	0	0	3	0	1	2	8	25	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	280	"AWI"	280	1278	2287	1681	0	4	10	0	1	0	28	3	0	2	0	0	3	8	0	0	8	11	2	0	2	0	12	3	81	0	6	0	99	0	0	1	2	2	2	3	20	1
1411	1448	"Kellners Lake"	44.23806	-87.84806	300	"AWI"	300	1430	2460	1823	0	15	15	1	2	0	30	0	0	5	0	2	1	6	0	1	21	14	1	0	1	2	7	0	65	3	5	0	108	0	0	3	0	0	5	2	21	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	340	"AWI"	340	1671	3140	2249	0	6	14	1	0	4	31	6	0	3	2	0	0	9	0	0	25	8	3	0	3	0	19	2	81	0	3	0	63	0	0	2	0	1	2	1	22	2
1411	1448	"Kellners Lake"	44.23806	-87.84806	360	"AWI"	360	1851	3395	2494	0	6	11	2	0	0	37	1	0	5	0	0	1	6	0	0	29	11	0	1	0	0	24	1	65	3	4	0	76	0	0	1	0	0	7	2	13	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	380	"AWI"	380	1957	3726	2726	1	10	5	1	1	0	28	4	0	4	0	0	2	4	0	1	30	17	2	0	2	0	20	1	75	4	8	0	84	0	0	0	0	1	3	4	11	3
1411	1448	"Kellners Lake"	44.23806	-87.84806	400	"AWI"	400	2166	3917	2971	0	5	8	1	2	0	17	0	0	4	0	0	3	6	0	0	23	6	1	1	4	2	20	2	93	3	1	0	86	0	0	1	0	0	4	0	26	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	420	"AWI"	420	2306	4199	3203	0	7	8	0	1	0	26	2	1	4	0	0	0	10	1	0	14	14	2	2	2	0	22	1	73	3	5	0	93	0	0	0	0	0	2	2	7	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	440	"AWI"	440	2534	4373	3438	0	7	9	1	0	0	16	0	0	1	0	0	1	8	0	0	13	8	1	1	2	0	26	2	97	0	2	0	90	0	0	2	0	0	4	0	13	1
1411	1448	"Kellners Lake"	44.23806	-87.84806	460	"AWI"	460	2712	4640	3677	0	18	13	4	1	0	15	3	0	1	1	0	0	12	0	0	8	13	0	0	0	0	24	1	40	1	9	0	106	0	0	1	0	2	4	4	21	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	480	"AWI"	480	2991	4769	3915	0	5	8	1	2	0	22	2	0	1	0	0	1	17	0	0	5	12	0	1	3	0	23	2	66	2	2	1	129	0	0	3	0	0	4	0	15	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	500	"AWI"	500	3206	4992	4154	0	3	8	1	4	0	14	0	0	4	2	1	3	3	0	0	14	18	3	3	2	0	22	1	69	1	2	1	125	0	0	1	0	0	3	2	25	1
1411	1448	"Kellners Lake"	44.23806	-87.84806	520	"AWI"	520	3506	5126	4383	0	17	5	1	0	0	7	1	0	6	1	0	1	4	0	0	41	11	4	0	1	1	17	1	60	1	1	0	89	0	1	1	0	1	6	1	28	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	540	"AWI"	540	3797	5304	4606	0	11	7	1	3	0	9	6	0	5	0	0	2	3	0	0	28	12	3	0	0	0	17	0	67	0	3	0	84	0	0	0	0	0	5	1	29	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	560	"AWI"	560	4191	5442	4826	0	3	9	0	1	10	14	5	0	3	0	0	2	7	0	0	6	6	2	0	0	0	22	0	66	0	4	0	133	0	0	0	0	0	2	2	32	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	580	"AWI"	580	4518	5650	5082	1	3	2	0	3	5	8	2	1	4	0	0	0	2	0	0	5	10	3	1	2	0	21	0	92	1	7	0	108	0	0	1	0	0	2	0	26	2
1411	1448	"Kellners Lake"	44.23806	-87.84806	600	"AWI"	600	4740	6069	5364	0	12	9	1	4	0	12	0	0	5	1	1	2	4	1	0	1	15	10	2	6	0	21	1	54	2	9	3	139	0	0	3	0	1	1	1	28	1
1411	1448	"Kellners Lake"	44.23806	-87.84806	625	"AWI"	625	5009	6717	5747	0	5	9	2	2	0	13	0	0	3	0	0	1	8	1	0	3	10	7	0	0	2	21	0	32	1	11	0	125	0	0	4	0	0	5	0	33	2
1411	1448	"Kellners Lake"	44.23806	-87.84806	640	"AWI"	640	5131	7200	5989	1	15	7	1	0	7	10	1	1	1	1	0	2	6	0	0	2	10	7	0	2	0	31	1	35	2	8	0	109	0	0	3	0	0	6	1	40	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	660	"AWI"	660	5375	7699	6314	0	16	5	2	3	0	8	1	0	4	1	0	0	9	0	0	2	9	9	2	0	0	39	1	30	4	3	0	98	0	0	0	0	2	2	3	47	1
1411	1448	"Kellners Lake"	44.23806	-87.84806	685	"AWI"	685	5595	8271	6729	0	19	0	0	6	0	3	1	0	5	0	0	2	7	0	0	4	12	5	0	0	0	26	0	45	0	5	0	110	0	0	1	1	0	2	0	42	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	700	"AWI"	700	5834	8541	6989	1	6	0	0	2	0	3	1	0	8	2	0	6	8	0	0	0	16	1	0	2	0	25	0	50	2	2	0	114	0	0	2	0	0	6	0	59	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	720	"AWI"	720	6038	8963	7350	0	3	2	0	1	0	7	1	0	11	0	0	2	4	1	0	1	17	2	0	1	0	26	0	71	0	1	0	80	0	0	0	0	0	7	0	66	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	740	"AWI"	740	6348	9266	7709	0	17	1	2	1	0	3	1	1	1	0	0	0	6	0	0	2	16	2	0	3	0	26	0	55	0	3	0	98	1	0	0	0	0	4	1	73	1
1411	1448	"Kellners Lake"	44.23806	-87.84806	760	"AWI"	760	6577	9681	8052	0	13	3	1	0	0	5	1	0	3	0	0	0	6	0	0	0	9	2	0	1	0	50	0	73	3	1	0	86	0	0	0	0	0	7	0	48	2
1411	1448	"Kellners Lake"	44.23806	-87.84806	780	"AWI"	780	6934	9946	8388	0	14	4	2	2	0	1	1	1	4	0	0	1	5	0	0	0	11	0	0	1	0	26	1	66	1	2	0	105	0	0	1	1	0	2	0	55	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	800	"AWI"	800	7128	10310	8719	0	10	2	3	4	0	5	3	0	1	3	0	3	5	0	1	0	14	1	0	1	0	32	1	74	0	6	0	108	0	0	3	0	0	4	0	51	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	815	"AWI"	815	7424	10494	8982	0	8	3	4	1	0	7	4	0	2	1	1	0	7	0	0	0	9	0	0	0	0	68	1	104	0	3	0	39	0	0	2	0	0	5	0	39	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	830	"AWI"	830	7655	10694	9252	0	15	0	2	2	0	7	2	1	1	0	0	0	3	0	0	0	7	2	1	2	0	70	2	112	2	0	0	52	0	0	0	1	0	3	0	48	1
1411	1448	"Kellners Lake"	44.23806	-87.84806	850	"AWI"	850	8012	10964	9589	0	7	2	1	3	0	18	0	0	2	0	0	2	4	0	0	0	7	1	0	3	0	42	3	112	2	4	0	41	0	0	3	0	0	2	0	34	1
1411	1448	"Kellners Lake"	44.23806	-87.84806	870	"AWI"	870	8381	11222	9946	0	26	1	3	3	0	20	1	0	2	0	0	1	3	0	0	0	6	0	0	0	0	47	1	109	2	3	0	71	0	0	1	1	1	6	0	22	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	890	"AWI"	890	8790	11470	10277	0	15	1	1	6	0	15	0	0	2	0	0	3	2	0	0	0	5	0	0	1	0	45	1	125	1	1	0	56	0	0	1	0	0	3	0	25	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	910	"AWI"	910	9141	11699	10615	1	9	3	3	4	5	32	1	1	1	0	0	1	6	0	0	0	8	0	0	1	0	24	4	119	0	1	0	51	0	0	1	0	0	8	0	27	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	930	"AWI"	930	9641	11898	10924	3	11	2	1	2	0	19	2	0	0	0	0	3	2	0	0	0	13	4	0	0	0	25	2	145	0	2	0	65	0	0	2	0	0	2	0	20	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	950	"AWI"	950	10004	12105	11266	5	0	0	1	2	0	45	1	0	5	0	0	0	1	0	0	0	3	1	0	4	0	10	8	175	1	0	0	37	0	1	2	0	0	2	0	28	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	970	"AWI"	970	10718	12252	11563	11	1	1	0	0	0	70	1	0	2	0	1	3	9	0	0	0	17	1	0	5	0	12	10	86	0	4	0	69	0	0	2	0	0	1	0	39	1
1411	1448	"Kellners Lake"	44.23806	-87.84806	980	"AWI"	980	11053	12323	11712	7	3	0	1	2	0	80	1	0	3	2	2	2	5	0	0	0	24	4	1	6	1	13	8	102	0	4	0	42	0	0	1	0	0	0	0	34	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	990	"AWI"	990	11279	12429	11869	10	0	1	0	4	0	38	0	0	3	2	0	3	13	0	0	0	17	5	0	10	0	7	14	122	0	6	0	45	0	0	5	0	0	0	0	32	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	995	"AWI"	995	11416	12531	11985	14	0	1	0	2	0	57	0	0	1	1	0	3	10	0	0	0	27	2	0	11	0	8	29	81	0	1	0	30	0	0	1	0	0	1	0	16	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	1000	"AWI"	1000	11575	12688	12144	13	0	1	1	4	0	21	2	0	0	0	0	1	11	0	0	0	24	3	0	9	0	3	71	89	0	6	0	38	0	0	4	0	0	0	0	23	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	1010	"AWI"	1010	11774	13285	12453	1	0	5	1	3	0	10	2	0	1	0	0	3	3	0	0	0	19	1	0	11	0	5	115	72	0	3	0	33	0	0	2	0	0	0	0	18	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	1030	"AWI"	1030	11956	14814	12967	2	2	2	1	7	0	11	0	0	0	1	0	0	7	0	0	0	27	1	1	10	0	7	160	38	0	1	0	21	0	0	1	0	0	0	0	11	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	1050	"AWI"	1050	12427	15317	13733	4	0	2	0	7	4	11	0	0	0	0	0	5	11	0	0	0	8	0	0	16	0	4	193	0	0	3	0	14	0	0	5	0	0	0	0	8	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	1070	"AWI"	1070	12733	16209	14444	3	0	7	1	14	0	5	0	0	0	0	0	3	17	0	0	0	8	0	0	10	0	6	198	0	0	6	0	13	0	0	2	0	0	0	0	1	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	1085	"AWI"	1085	13447	16394	15009	4	0	2	1	16	0	8	0	0	0	0	1	1	30	0	0	0	5	0	0	10	0	9	169	0	0	2	0	14	0	0	7	0	0	0	0	7	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	1090	"AWI"	1090	13594	16471	15206	3	1	4	1	28	8	10	1	1	2	0	0	2	31	0	0	0	6	0	0	8	0	3	154	0	0	12	0	20	0	0	10	0	2	0	0	5	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	1095	"AWI"	1095	13693	16571	15425	0	0	2	4	21	0	6	1	0	0	0	2	1	25	0	0	0	8	0	0	7	0	9	178	0	0	9	0	11	0	0	7	0	0	0	0	2	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	1100	"AWI"	1100	13813	16688	15631	2	1	1	3	14	16	4	0	0	3	0	0	3	9	0	0	0	2	2	0	17	0	5	180	0	0	7	0	17	0	0	2	0	0	0	0	1	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	1110	"AWI"	1110	14202	16979	15985	2	0	2	5	20	0	1	0	1	1	0	0	1	18	0	0	0	31	0	0	6	0	12	150	0	0	6	0	26	0	0	6	0	0	0	0	8	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	1115	"AWI"	1115	14621	17012	16117	1	0	3	2	8	0	2	0	1	2	0	0	1	26	0	0	0	40	1	0	11	0	9	171	0	0	4	0	14	0	0	3	0	1	0	0	9	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	1120	"AWI"	1120	15030	17052	16255	3	0	0	2	15	0	0	0	1	0	0	0	0	19	1	1	0	24	0	1	5	0	5	196	0	0	5	0	26	0	0	0	1	0	0	0	2	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	1125	"AWI"	1125	15394	17102	16394	1	0	2	1	20	0	1	0	3	0	0	0	0	16	0	0	0	18	0	2	7	0	10	174	0	0	8	0	20	0	0	1	0	1	0	0	1	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	1130	"AWI"	1130	15695	17163	16539	2	0	1	3	10	0	2	0	1	4	0	0	0	17	0	0	0	22	1	0	11	0	9	209	0	0	1	0	23	0	0	2	0	1	0	0	1	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	1140	"AWI"	1140	16109	17356	16859	0	1	0	1	10	10	2	0	0	2	0	0	0	23	0	2	0	19	2	0	27	0	7	174	0	0	9	0	21	0	0	1	0	0	0	0	1	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	1145	"AWI"	1145	16222	17622	17015	0	0	0	0	11	9	4	0	0	0	0	1	0	33	0	2	0	33	1	0	14	0	12	142	0	0	6	0	17	1	0	5	0	1	0	0	3	0
