"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Lamiaceae"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	75	"AWI"	75	4447	5569	5019	23	0	0	0	1	119	0	0	0	2	14	0	9	0	0	2	174	12	0	0	0	0	0	2	0	0	0	0
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	80	"AWI"	80	4723	5851	5288	25	0	0	1	0	164	0	0	0	0	11	0	17	0	0	1	178	7	0	0	0	0	0	1	0	0	0	4
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	85	"AWI"	85	5085	6081	5552	20	0	1	0	0	148	0	0	0	1	9	0	9	0	0	2	185	8	0	0	0	0	0	1	0	0	0	1
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	90	"AWI"	90	5373	6414	5860	21	1	0	1	1	128	0	0	0	0	10	0	6	0	0	1	151	8	0	0	0	0	0	1	0	0	1	0
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	95	"AWI"	95	5673	6807	6216	39	0	0	0	1	147	0	0	0	4	17	0	3	0	0	1	257	5	0	0	0	0	0	2	0	0	0	2
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	100	"AWI"	100	5948	7219	6567	42	0	0	0	1	204	0	0	0	1	12	0	2	0	0	0	289	10	0	0	0	0	0	1	0	0	0	3
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	105	"AWI"	105	6309	7509	6928	55	2	0	0	1	227	0	0	0	3	10	0	0	0	0	0	296	13	0	0	3	0	0	3	0	0	1	2
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	110	"AWI"	110	6663	7814	7275	26	0	0	1	0	182	0	0	0	2	7	0	3	0	0	1	317	9	0	0	0	0	0	3	0	0	0	1
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	115	"AWI"	115	7170	8086	7621	40	1	0	1	1	195	0	0	0	2	18	0	3	0	0	2	286	14	0	0	0	0	0	1	1	0	0	1
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	120	"AWI"	120	7521	8482	7959	29	0	0	0	1	164	0	0	0	2	10	0	1	0	0	1	303	15	0	0	0	0	0	1	0	0	0	3
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	125	"AWI"	125	7802	8891	8305	20	0	0	2	0	215	0	0	0	3	12	0	4	0	0	3	300	15	0	0	0	0	0	1	2	0	1	1
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	130	"AWI"	130	8074	9290	8652	8	0	0	0	1	126	0	0	0	2	8	0	7	0	0	1	223	18	0	0	0	0	0	1	0	0	0	0
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	135	"AWI"	135	8426	9604	9001	12	1	0	3	2	178	0	1	0	2	10	0	5	0	0	0	229	24	0	0	6	0	1	2	0	0	0	0
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	140	"AWI"	140	8736	9937	9346	16	0	0	1	0	172	0	0	0	3	9	0	2	0	0	1	151	22	0	0	0	0	2	2	1	0	0	0
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	145	"AWI"	145	9194	10192	9672	13	1	0	4	3	284	0	0	0	2	11	0	4	0	0	0	135	16	0	0	6	0	0	6	5	0	0	3
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	150	"AWI"	150	9521	10587	10021	5	1	0	2	0	225	0	0	0	2	19	0	6	0	0	0	53	23	0	0	0	0	3	1	2	1	1	3
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	155	"AWI"	155	9784	10999	10354	5	0	1	2	0	340	1	0	0	2	14	1	5	0	0	0	52	31	0	0	0	0	1	9	0	0	0	1
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	160	"AWI"	160	10045	11422	10689	0	0	0	3	0	287	0	0	0	0	20	0	9	0	0	0	32	26	0	0	0	0	4	6	2	1	0	0
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	165	"AWI"	165	10343	11784	11019	0	1	0	5	0	266	0	0	0	0	16	0	20	0	0	1	18	13	0	0	0	0	8	10	0	1	0	1
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	170	"AWI"	170	10625	12145	11354	0	2	0	3	0	126	0	0	0	1	8	0	119	0	0	0	7	20	0	0	0	0	1	14	0	0	0	0
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	175	"AWI"	175	10996	12438	11691	0	0	0	7	0	74	0	0	0	0	10	0	42	0	0	1	5	15	0	1	0	1	23	9	0	0	0	0
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	180	"AWI"	180	11280	12829	12016	0	2	0	4	0	38	0	2	0	0	12	0	2	0	0	0	1	22	0	0	0	0	30	12	1	0	0	0
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	185	"AWI"	185	11512	13277	12330	0	13	0	44	1	34	0	0	1	0	9	0	0	0	0	0	0	8	0	0	0	0	24	31	8	2	0	0
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	190	"AWI"	190	11724	13736	12646	0	15	0	165	1	14	0	5	0	0	2	0	0	0	0	0	3	6	0	0	0	1	2	13	2	3	0	0
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	195	"AWI"	195	11981	14125	12971	0	19	0	130	1	13	0	7	0	0	2	0	0	1	0	0	7	6	0	0	0	1	0	14	5	1	0	0
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	200	"AWI"	200	12214	14546	13280	1	17	0	53	0	21	0	3	0	0	6	0	0	0	0	1	5	4	0	0	0	1	6	17	3	0	0	0
