"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Celtis"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Larix"	"Myrica"	"Nyssa"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
821	847	"Frains Lake"	42.33	-83.63	617	"AWI"	617	1710	2921	2188	0	5.64102564102564	0	0	0.512820512820513	0	0.512820512820513	4.61538461538462	0	0	0.512820512820513	0.512820512820513	14.3589743589744	10.7692307692308	2.05128205128205	0	0	0	4.1025641025641	0	2.56410256410256	6.15384615384615	0	0	0.512820512820513	35.3846153846154	0	0	0	0	1.02564102564103	0	10.7692307692308
821	847	"Frains Lake"	42.33	-83.63	657	"AWI"	657	2002	4249	2865	0	6.73076923076923	0	0	0	0	1.44230769230769	2.88461538461538	0	0.480769230769231	0	0	17.3076923076923	10.0961538461538	0.961538461538462	0	0	0	10.5769230769231	0.480769230769231	0.961538461538462	5.28846153846154	0.480769230769231	0	0	29.3269230769231	0	0	0.480769230769231	0	0.961538461538462	0.961538461538462	10.5769230769231
821	847	"Frains Lake"	42.33	-83.63	703	"AWI"	703	2560	4920	3725	0	7.29166666666667	0	0	0	0	0	1.04166666666667	0	0	0	1.04166666666667	11.4583333333333	9.375	0.520833333333333	0	0	0	1.5625	0	1.5625	5.72916666666667	2.08333333333333	0	0	44.7916666666667	0	0	0	0	0	0	13.5416666666667
821	847	"Frains Lake"	42.33	-83.63	771	"AWI"	771	4261	5624	4969	0	4.45544554455445	0.99009900990099	0.495049504950495	0.495049504950495	0	1.98019801980198	3.46534653465347	0	0.99009900990099	0	1.48514851485149	4.45544554455445	6.93069306930693	1.48514851485149	0	0	0	4.95049504950495	0	2.97029702970297	1.48514851485149	3.46534653465347	0	0.495049504950495	43.0693069306931	0	0	0	0	0	0	16.3366336633663
821	847	"Frains Lake"	42.33	-83.63	831	"AWI"	831	5117	7195	6013	0	1.00502512562814	0.50251256281407	0.50251256281407	0	0	1.00502512562814	3.51758793969849	0	1.00502512562814	0	0.50251256281407	10.0502512562814	9.04522613065327	2.01005025125628	0	0	0	2.01005025125628	0	1.50753768844221	6.03015075376884	0.50251256281407	0	0.50251256281407	37.6884422110553	0.50251256281407	0	0	1.00502512562814	0.50251256281407	0	20.6030150753769
821	847	"Frains Lake"	42.33	-83.63	876	"AWI"	876	5640	8186	6791	0	2.51256281407035	0	0.50251256281407	0.50251256281407	0	1.00502512562814	1.00502512562814	0	0.50251256281407	0	0.50251256281407	9.04522613065327	7.03517587939699	6.03015075376884	0	0	0	4.52261306532663	0	3.51758793969849	3.01507537688442	1.00502512562814	0	0	50.251256281407	0	0	0	0	0	0	9.04522613065327
821	847	"Frains Lake"	42.33	-83.63	916	"AWI"	916	6230	8821	7492	0	4.66321243523316	0	0.518134715025907	0.518134715025907	1.55440414507772	0.518134715025907	3.62694300518135	0	1.03626943005181	0	0	14.5077720207254	7.7720207253886	0	0.518134715025907	0	0	4.66321243523316	0	1.03626943005181	7.7720207253886	0	0	0	30.0518134715026	0	0	0.518134715025907	0	0	0	20.7253886010363
821	847	"Frains Lake"	42.33	-83.63	976	"AWI"	976	7339	9716	8529	0	3.40909090909091	0	0	1.13636363636364	0	2.84090909090909	5.68181818181818	0.568181818181818	1.70454545454545	0	0	3.40909090909091	3.40909090909091	0.568181818181818	0	0	0	6.25	1.70454545454545	0	4.54545454545455	0.568181818181818	0	0	40.3409090909091	0	0	0	0	0	0	23.8636363636364
821	847	"Frains Lake"	42.33	-83.63	1016	"AWI"	1016	8716	10465	9564	0	2.02020202020202	0.505050505050505	0	0.505050505050505	2.52525252525253	1.01010101010101	2.02020202020202	0	0	0	0.505050505050505	0	4.04040404040404	0.505050505050505	0	0	0	3.53535353535354	0	9.5959595959596	1.01010101010101	2.02020202020202	0	0	53.5353535353535	0	0	0.505050505050505	0	0.505050505050505	0	15.6565656565657
821	847	"Frains Lake"	42.33	-83.63	1035	"AWI"	1035	9236	11061	10087	0	2.97029702970297	0	0	0.495049504950495	0	2.97029702970297	2.47524752475248	0	0	0	0	0	8.91089108910891	0.495049504950495	0	0	0	10.8910891089109	0	5.94059405940594	0.99009900990099	0.99009900990099	0	0.495049504950495	58.4158415841584	0	0	0.495049504950495	0	0.99009900990099	0	2.47524752475248
