"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Carya"	"Castanea"	"Celtis"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Larix"	"Morus"	"Myrica"	"Nyssa"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Vitaceae"
1123	1157	"Jack Lake"	47.31667	-81.76667	350	"AWI"	350	8794	9879	9315	3	1	0	5	1	4	0	72	0	0	0	0	0	0	0	18	5	0	0	0	0	3	0	4	0	0	6	0	10	0	6	19	313	0	2	10	13	14	0	0	0	0	0	0	0	0	1	4	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	360	"AWI"	360	9188	10219	9722	5	1	0	1	0	6	0	82	0	0	1	0	0	0	2	4	7	0	0	0	0	6	0	2	0	0	4	0	12	0	12	28	258	0	2	5	22	11	0	0	0	0	2	0	0	0	0	10	0	1
1123	1157	"Jack Lake"	47.31667	-81.76667	370	"AWI"	370	9625	10523	10127	11	0	0	4	0	5	0	102	0	0	1	0	1	0	2	12	10	0	4	0	0	4	0	5	0	0	19	1	10	0	4	42	254	0	3	3	5	20	0	0	0	0	3	0	0	0	0	11	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	380	"AWI"	380	10052	10878	10485	10	0	0	3	0	7	0	83	0	0	0	0	0	0	1	16	7	0	0	0	0	6	0	7	0	0	7	1	2	1	5	21	234	0	1	9	16	16	0	2	0	0	2	1	0	0	0	5	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	390	"AWI"	390	10327	11390	10793	6	1	0	8	0	6	0	58	0	0	3	0	0	0	1	20	11	0	0	1	0	0	0	13	0	0	15	1	0	0	11	69	226	0	3	3	21	16	0	0	0	0	6	1	0	0	0	6	0	1
1123	1157	"Jack Lake"	47.31667	-81.76667	395	"AWI"	395	10439	11618	10949	2	0	0	13	0	8	0	89	2	0	1	0	0	1	1	21	12	0	0	0	0	6	0	5	0	0	26	0	0	0	8	69	132	0	1	6	14	24	0	0	0	0	2	0	0	0	0	5	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	403	"AWI"	403	10641	11958	11209	0	1	0	0	0	4	0	28	1	0	0	0	2	0	1	18	13	1	0	0	0	2	0	6	0	0	15	0	2	0	7	69	98	0	4	2	25	16	0	0	0	0	5	1	0	0	0	11	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	413	"AWI"	413	10887	12399	11527	2	0	0	1	0	9	0	24	0	0	0	0	0	0	1	17	13	0	0	0	0	0	1	5	0	0	16	0	1	0	6	97	61	0	1	2	14	24	0	0	0	0	1	0	0	1	0	9	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	423	"AWI"	423	11127	12825	11850	0	1	0	0	0	10	0	3	0	0	0	0	0	0	0	4	16	1	0	0	0	0	0	5	0	0	2	0	0	0	2	20	0	0	2	2	1	15	0	0	0	0	1	1	0	0	0	10	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	435	"AWI"	435	11412	13305	12239	0	3	0	0	0	4	0	6	0	1	0	0	0	0	3	1	17	1	0	0	0	2	0	15	0	0	2	0	0	0	1	13	0	0	2	4	1	6	0	3	0	0	0	0	1	0	0	10	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	450	"AWI"	450	11791	13885	12734	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	7	0	0	1	0	3	3	0	0	0	0	2	0	0	0	0	3	0	0
