"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Celtis"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Elaeagnus"	"Ericales"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Salix"	"Sarcobataceae"	"Tsuga"	"Ulmus"
242	245	"Bear Bog"	47.18	-80.16	300	"AWI"	300	5777	6750	6221	1	0	2	0	0	0	0	6	0	0	1	3	0	0	0	0	0	0	0	2	0	0	2	184	0	1	2	1	0	0	0	1
242	245	"Bear Bog"	47.18	-80.16	310	"AWI"	310	6073	6965	6435	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	189	0	0	0	4	0	0	0	0
242	245	"Bear Bog"	47.18	-80.16	320	"AWI"	320	6273	7350	6716	1	0	1	0	0	1	0	7	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	186	0	0	0	1	0	0	0	1
242	245	"Bear Bog"	47.18	-80.16	330	"AWI"	330	6479	7736	7005	0	0	1	0	0	0	0	5	0	0	0	1	0	0	0	1	0	1	0	6	0	1	1	184	0	1	0	1	0	0	0	1
242	245	"Bear Bog"	47.18	-80.16	340	"AWI"	340	6712	8053	7304	2	0	0	0	0	0	0	10	0	0	1	0	0	0	0	0	0	2	0	2	0	1	4	176	0	0	0	3	0	0	0	2
242	245	"Bear Bog"	47.18	-80.16	350	"AWI"	350	6949	8393	7608	4	0	1	1	0	4	0	12	0	0	0	0	0	0	0	0	0	1	0	6	0	1	10	160	1	0	0	2	0	0	0	4
242	245	"Bear Bog"	47.18	-80.16	360	"AWI"	360	7176	8717	7906	11	0	10	1	1	1	0	25	0	0	0	0	0	0	0	0	0	0	0	2	0	3	10	0	0	0	0	1	0	0	0	1
242	245	"Bear Bog"	47.18	-80.16	370	"AWI"	370	7456	8981	8203	2	1	2	1	0	1	0	12	0	0	0	1	0	0	0	0	0	0	0	2	0	2	9	166	0	0	0	6	0	0	0	0
242	245	"Bear Bog"	47.18	-80.16	380	"AWI"	380	7728	9273	8498	0	0	2	0	0	0	0	5	1	0	0	1	0	0	0	0	0	0	0	0	0	3	12	0	0	0	0	2	0	0	0	0
242	245	"Bear Bog"	47.18	-80.16	390	"AWI"	390	8014	9556	8800	0	0	0	1	0	2	0	28	0	0	0	0	0	0	0	0	0	1	0	1	1	2	50	118	0	0	0	1	0	0	0	0
242	245	"Bear Bog"	47.18	-80.16	400	"AWI"	400	8349	9806	9095	0	0	0	0	0	3	0	22	0	0	3	2	0	0	0	0	0	0	0	6	1	3	69	82	0	0	1	11	0	0	0	3
242	245	"Bear Bog"	47.18	-80.16	410	"AWI"	410	8707	10064	9393	0	0	1	1	0	3	0	22	0	0	2	2	0	0	1	0	0	3	0	2	1	3	82	0	0	0	0	11	1	0	0	3
242	245	"Bear Bog"	47.18	-80.16	420	"AWI"	420	9096	10314	9681	1	0	0	1	0	2	0	13	0	0	3	0	0	0	0	0	0	1	0	2	1	1	127	40	0	0	4	4	1	0	0	5
242	245	"Bear Bog"	47.18	-80.16	430	"AWI"	430	9496	10619	9989	0	1	2	0	0	2	0	9	0	0	2	1	0	0	0	1	0	1	0	0	1	0	117	50	1	0	0	14	1	0	0	5
242	245	"Bear Bog"	47.18	-80.16	440	"AWI"	440	9769	11132	10346	0	1	0	0	0	5	0	11	0	0	6	8	1	0	0	0	0	1	0	0	1	0	104	61	0	0	2	12	2	1	0	2
242	245	"Bear Bog"	47.18	-80.16	450	"AWI"	450	10047	11637	10724	0	1	2	3	0	6	8	18	3	0	5	1	1	1	0	0	0	5	1	0	1	5	26	79	0	1	11	37	7	0	0	13
242	245	"Bear Bog"	47.18	-80.16	460	"AWI"	460	10308	12158	11111	2	1	0	3	0	5	3	18	0	1	5	6	0	0	0	0	0	13	0	1	1	0	24	125	0	4	0	5	4	1	0	18
