"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Asteraceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Drimys"	"Embothrium"	"Ericales"	"Gunneraceae"	"Misodendraceae"	"Nothofagus"	"Poaceae"	"Ranunculaceae"	"Rosaceae"	"Schinus"
477	488	"Isla Clarence"	-54.2	-71.23333	235	"AWI"	235	5120	6471	5785	0	0	0	0	226	0	113	79	0	1691	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	245	"AWI"	245	5329	6757	6037	0	0	0	0	0	0	69	52	69	8401	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	255	"AWI"	255	5550	7047	6283	37	0	0	0	37	0	0	0	0	802	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	265	"AWI"	265	5775	7318	6534	0	0	0	0	0	0	256	213	1922	16458	213	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	275	"AWI"	275	6017	7570	6781	0	0	0	0	70	35	175	456	175	2527	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	285	"AWI"	285	6239	7854	7031	0	0	0	224	0	0	0	0	2574	8449	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	295	"AWI"	295	6483	8116	7283	0	0	0	88	88	0	213	177	160	16384	0	88	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	305	"AWI"	305	6723	8379	7534	0	0	0	0	0	0	97	932	2864	6686	85	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	315	"AWI"	315	6969	8636	7783	0	0	0	0	43	0	58	1663	152	5010	43	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	325	"AWI"	325	7208	8906	8032	0	0	0	44	0	0	0	2040	89	6607	44	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	335	"AWI"	335	7458	9144	8282	0	0	0	0	0	0	63	380	90	3954	41	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	355	"AWI"	355	7958	9664	8781	23	0	0	812	0	0	533	301	0	394	104	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	365	"AWI"	365	8209	9912	9025	55	0	0	552	0	0	152	207	25	0	110	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	375	"AWI"	375	8465	10150	9278	160	27	23	320	0	0	458	126	32	847	240	0	0	55
477	488	"Isla Clarence"	-54.2	-71.23333	385	"AWI"	385	8742	10392	9522	35	0	0	70	0	0	295	139	0	874	62	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	395	"AWI"	395	9006	10635	9770	0	0	0	0	0	0	445	98	0	0	124	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	405	"AWI"	405	9234	10924	10022	0	0	0	0	0	0	245	74	0	0	177	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	415	"AWI"	415	9456	11212	10276	28	0	0	99	0	0	70	897	0	0	1227	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	425	"AWI"	425	9703	11518	10530	0	0	0	69	0	0	429	304	0	0	1328	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	435	"AWI"	435	9922	11825	10787	972	0	0	748	0	0	1411	1122	0	0	2167	0	0	0
