"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Carya"	"Caryophyllaceae"	"Celtis"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Euphorbiaceae"	"Fabaceae"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Morus"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sarcobataceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
204	204	"Andree Bog"	45.725	-93.25	570	"AWI"	570	12089	13156	12795	0	0	1	5	27	0	12	0	0	2	0	1	0	0	1	36	0	0	0	11	17	0	0	9	0	11	0	5	162	2	0	16	23	5	0	0	0	1	0	3	0	1	0	1	0	1	0	0
204	204	"Andree Bog"	45.725	-93.25	575	"AWI"	575	12186	13213	12867	0	0	1	6	35	0	3	0	0	3	0	0	0	0	5	45	0	0	0	55	27	0	0	16	0	16	0	17	208	1	0	20	25	21	1	0	1	1	0	6	0	0	0	0	0	4	0	0
204	204	"Andree Bog"	45.725	-93.25	580	"AWI"	580	12282	13290	12935	0	0	1	4	22	0	5	0	1	3	0	0	0	0	0	35	0	0	0	16	15	0	0	16	0	10	0	3	182	1	0	9	14	8	0	0	0	0	0	2	0	0	0	1	0	1	11	0
204	204	"Andree Bog"	45.725	-93.25	585	"AWI"	585	12388	13346	12991	1	0	0	0	10	0	4	2	0	0	0	0	0	0	0	52	0	0	0	0	62	0	0	7	0	13	0	5	398	7	0	15	14	1	3	0	0	0	0	5	0	0	0	1	0	1	0	0
204	204	"Andree Bog"	45.725	-93.25	590	"AWI"	590	12480	13413	13047	0	0	0	0	9	0	3	0	0	2	0	0	0	0	1	41	1	0	0	0	27	0	0	3	0	14	0	4	188	1	0	11	15	3	0	0	0	0	0	4	0	0	0	0	0	1	0	0
204	204	"Andree Bog"	45.725	-93.25	595	"AWI"	595	12588	13467	13101	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	45	0	0	0	0	72	0	0	5	0	12	0	4	100	8	0	6	13	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0
204	204	"Andree Bog"	45.725	-93.25	600	"AWI"	600	12671	13534	13156	0	0	2	2	6	0	1	0	0	1	0	0	1	0	1	30	0	0	0	0	77	0	0	1	0	7	0	0	190	4	0	11	45	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
204	204	"Andree Bog"	45.725	-93.25	605	"AWI"	605	12793	13582	13217	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	62	0	0	0	0	64	0	0	1	0	4	0	3	115	6	0	5	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0
204	204	"Andree Bog"	45.725	-93.25	609	"AWI"	609	12853	13646	13262	1	0	0	0	2	0	2	0	0	2	0	0	0	0	0	10	0	0	0	0	13	0	0	2	0	2	0	2	162	1	0	5	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0
204	204	"Andree Bog"	45.725	-93.25	620	"AWI"	620	12991	13959	13439	0	0	4	2	1	0	8	0	1	0	0	0	0	0	2	46	0	0	0	0	274	0	0	3	0	8	0	6	85	22	0	11	2	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0
