"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Castanea"	"Celtis"	"Cephalanthus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Liquidambar"	"Morus"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rhamnus"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"
314	321	"Bucyrus Bog"	40.79722	-82.93333	102	"AWI"	102	11752	12957	12447	4	0	1	2	0	6	7	3	0	2	0	5	0	32	0	0	1	81	4	0	3	0	1	43	31	6	1	17	25	52	1	0	0	0	6	0	0	0	19	2
314	321	"Bucyrus Bog"	40.79722	-82.93333	110	"AWI"	110	12016	13184	12740	3	0	1	2	4	0	6	3	0	1	0	6	2	34	0	0	0	54	4	0	2	0	0	62	61	0	0	21	17	45	0	0	1	0	10	3	0	1	12	0
314	321	"Bucyrus Bog"	40.79722	-82.93333	126	"AWI"	126	12485	13781	13223	6	0	0	1	1	0	6	4	0	2	0	5	0	38	0	0	1	64	3	0	0	0	1	44	60	0	2	22	14	52	0	0	0	0	8	0	0	1	12	0
314	321	"Bucyrus Bog"	40.79722	-82.93333	130	"AWI"	130	12563	14006	13320	4	0	0	0	2	10	3	7	0	2	0	5	1	39	0	0	2	60	8	0	1	0	0	43	70	0	0	25	8	63	0	0	0	0	8	1	0	0	15	0
314	321	"Bucyrus Bog"	40.79722	-82.93333	142	"AWI"	142	12900	14432	13654	3	0	0	0	2	0	7	5	0	3	0	13	1	27	0	0	1	48	7	0	1	0	0	40	90	0	0	14	4	76	0	0	1	2	4	0	1	0	6	1
314	321	"Bucyrus Bog"	40.79722	-82.93333	150	"AWI"	150	13108	14660	13872	9	0	0	1	1	0	5	4	0	0	0	4	0	40	1	0	0	42	4	0	0	0	2	40	67	0	0	23	4	45	0	0	1	1	8	1	0	0	10	0
314	321	"Bucyrus Bog"	40.79722	-82.93333	166	"AWI"	166	13487	15100	14339	2	0	2	4	4	0	6	1	1	2	0	1	1	51	0	1	0	76	4	0	1	0	0	62	146	0	1	40	5	50	0	1	2	0	15	0	0	0	5	0
314	321	"Bucyrus Bog"	40.79722	-82.93333	182	"AWI"	182	13949	15432	14813	1	0	4	1	0	0	8	0	0	2	0	0	0	19	1	1	0	0	9	0	3	0	0	23	134	0	0	12	8	37	1	0	1	0	12	1	0	0	2	0
314	321	"Bucyrus Bog"	40.79722	-82.93333	198	"AWI"	198	14324	15802	15246	4	0	2	0	4	0	2	0	0	0	0	0	0	21	0	0	0	0	1	0	1	0	0	9	222	0	0	14	0	15	0	0	0	0	0	1	1	0	1	0
314	321	"Bucyrus Bog"	40.79722	-82.93333	214	"AWI"	214	14586	16324	15543	2	0	8	0	4	0	2	1	0	0	0	3	0	20	0	0	0	0	0	0	7	0	0	6	202	0	0	8	4	29	0	0	0	0	1	1	0	0	0	0
314	321	"Bucyrus Bog"	40.79722	-82.93333	230	"AWI"	230	14870	16742	15842	4	0	6	2	3	0	0	0	0	1	0	2	0	28	0	0	0	0	2	0	7	0	1	10	342	0	0	18	0	23	0	0	1	0	1	0	0	0	2	0
314	321	"Bucyrus Bog"	40.79722	-82.93333	260	"AWI"	260	15410	17492	16420	7	0	1	0	4	0	0	1	0	0	0	0	0	24	0	0	0	17	1	0	5	0	0	5	316	0	0	8	2	18	0	0	0	0	3	0	0	0	1	0
314	321	"Bucyrus Bog"	40.79722	-82.93333	292	"AWI"	292	16029	18233	17055	5	0	4	1	6	7	1	1	0	0	0	1	0	24	0	0	0	0	2	0	8	0	0	5	253	0	0	6	0	16	0	0	1	0	3	2	0	0	0	0
314	321	"Bucyrus Bog"	40.79722	-82.93333	332	"AWI"	332	16789	19172	17834	0	0	9	3	11	0	1	2	0	0	0	1	0	32	0	0	1	0	6	0	8	0	0	5	226	16	2	11	1	26	0	0	0	0	2	1	0	0	3	0
314	321	"Bucyrus Bog"	40.79722	-82.93333	358	"AWI"	358	17293	19831	18364	2	0	7	0	17	0	3	0	0	0	0	0	0	16	0	0	0	0	3	0	5	0	0	4	242	0	0	8	2	18	0	0	0	0	1	2	0	0	1	0
