"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Indeterminable"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Rosaceae"	"Salix"	"Saxifragaceae"
263	269	"Banks Island 74MS15"	73.53333	-120.21667	190	"AWI"	190	9251	10496	9941	0	21	0	3	13	0	89	0	4	10	0	141	0	0	13	15
263	269	"Banks Island 74MS15"	73.53333	-120.21667	195	"AWI"	195	9466	10607	10082	0	9	0	13	11	0	94	0	6	13	2	137	0	0	23	10
263	269	"Banks Island 74MS15"	73.53333	-120.21667	200	"AWI"	200	9575	10829	10245	0	3	0	7	0	0	105	0	2	7	7	175	0	0	0	0
263	269	"Banks Island 74MS15"	73.53333	-120.21667	205	"AWI"	205	9683	10942	10348	0	1	0	17	2	0	112	0	6	9	5	171	0	0	10	3
263	269	"Banks Island 74MS15"	73.53333	-120.21667	209.5	"AWI"	209.5	9754	11091	10447	0	10	0	3	0	0	75	0	1	15	0	170	6	0	10	6
263	269	"Banks Island 74MS15"	73.53333	-120.21667	215	"AWI"	215	9894	11218	10576	0	3	0	13	0	0	81	0	7	13	1	165	9	0	20	6
263	269	"Banks Island 74MS15"	73.53333	-120.21667	220	"AWI"	220	9979	11384	10697	0	11	0	3	5	7	89	0	3	10	7	159	5	0	7	13
263	269	"Banks Island 74MS15"	73.53333	-120.21667	225	"AWI"	225	10100	11487	10816	0	3	0	13	6	7	96	0	7	13	9	152	6	0	17	6
263	269	"Banks Island 74MS15"	73.53333	-120.21667	230	"AWI"	230	10182	11642	10929	4	13	0	4	7	0	76	14	3	4	0	144	14	0	18	9
263	269	"Banks Island 74MS15"	73.53333	-120.21667	235	"AWI"	235	10326	11740	11048	5	7	0	14	5	0	82	13	5	14	0	145	10	0	19	5
263	269	"Banks Island 74MS15"	73.53333	-120.21667	239.5	"AWI"	239.5	10402.5	11860.5	11151	0	12	0	15	0	0	56	0	4	30	0	140	0	38	8	8
263	269	"Banks Island 74MS15"	73.53333	-120.21667	245	"AWI"	245	10558	11965	11270	0	5	0	17	0	0	62	0	8	32	0	137	0	25	17	7
263	269	"Banks Island 74MS15"	73.53333	-120.21667	250	"AWI"	250	10652	12086	11387	0	9	0	14	0	0	99	0	1	7	0	162	0	0	9	12
263	269	"Banks Island 74MS15"	73.53333	-120.21667	255	"AWI"	255	10811	12165	11508	0	3	0	17	0	0	98	0	7	17	0	165	0	0	10	8
263	269	"Banks Island 74MS15"	73.53333	-120.21667	260	"AWI"	260	10926	12296	11627	0	7	0	15	0	0	72	0	3	3	0	207	0	0	3	5
263	269	"Banks Island 74MS15"	73.53333	-120.21667	265	"AWI"	265	11088	12370	11734	0	0	0	18	0	0	82	0	9	9	0	217	0	0	3	2
263	269	"Banks Island 74MS15"	73.53333	-120.21667	270	"AWI"	270	11196	12473	11852	0	0	0	5	0	0	85	0	6	5	5	185	0	0	5	0
263	269	"Banks Island 74MS15"	73.53333	-120.21667	275	"AWI"	275	11363	12559	11975	0	2	0	15	0	0	89	0	9	25	9	188	0	0	9	0
263	269	"Banks Island 74MS15"	73.53333	-120.21667	280	"AWI"	280	11485	12707	12102	0	5	0	2	11	4	65	0	4	14	0	184	0	0	8	9
263	269	"Banks Island 74MS15"	73.53333	-120.21667	285	"AWI"	285	11612	13023	12305	0	1	0	12	12	3	68	0	9	24	0	181	0	0	18	4
263	269	"Banks Island 74MS15"	73.53333	-120.21667	290	"AWI"	290	11696	13490	12487	0	11	0	8	8	0	68	0	3	30	4	144	0	0	8	9
263	269	"Banks Island 74MS15"	73.53333	-120.21667	295	"AWI"	295	11833	13743	12668	2	13	0	4	0	4	101	0	3	32	4	112	0	0	9	5
263	269	"Banks Island 74MS15"	73.53333	-120.21667	300	"AWI"	300	11924	14138	12843	0	11	0	9	0	0	168	3	5	29	3	60	0	0	9	8
263	269	"Banks Island 74MS15"	73.53333	-120.21667	305	"AWI"	305	12075	14369	13047	0	7	0	12	0	0	118	4	6	22	10	60	0	0	12	5
