"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Fabaceae"	"Lamiaceae"	"Larix"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Ulmus"
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	610	"AWI"	610	29873	31844	30802	0	1	0	3	0	1	0	0	0	0	0	0	0	30	0	0	0	0	0	65	234	0	2	0	3	0	0	0	2	0	0	0	0
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	615	"AWI"	615	30026	31970	30948	0	2	1	7	0	3	0	0	0	0	0	0	0	42	0	0	0	0	0	77	266	0	4	0	6	0	0	0	3	0	0	0	0
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	620	"AWI"	620	30173	32120	31091	3	5	0	3	0	6	0	0	1	0	0	0	0	118	0	0	0	0	0	68	204	0	6	0	4	0	0	0	3	0	0	0	1
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	625	"AWI"	625	30327	32244	31225	0	1	0	7	0	2	0	0	0	0	0	0	0	63	0	0	0	0	0	89	236	0	0	0	5	0	0	0	6	0	0	0	0
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	630	"AWI"	630	30459	32395	31363	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	2	0	132	307	0	0	0	4	0	0	0	1	0	0	0	0
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	635	"AWI"	635	30583	32535	31495	2	0	2	8	0	9	0	0	0	0	1	0	0	123	0	0	0	0	0	36	251	0	1	0	14	0	0	0	3	0	3	0	0
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	640	"AWI"	640	30711	32678	31631	1	0	2	3	0	4	0	0	1	0	0	0	0	150	0	0	1	1	3	64	229	0	12	0	4	0	0	0	2	0	1	0	0
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	645	"AWI"	645	30844	32813	31757	1	0	0	16	0	5	0	0	0	0	0	0	0	110	0	0	0	0	0	55	254	0	6	0	9	1	0	0	5	0	2	1	0
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	650	"AWI"	650	30986	32946	31882	1	0	0	1	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	70	102	0	0	0	1	0	0	0	0	0	1	0	0
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	655	"AWI"	655	31116	33074	32013	1	0	0	6	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	74	201	0	1	0	2	0	0	1	2	0	0	0	0
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	660	"AWI"	660	31242	33224	32142	0	0	0	4	0	0	0	0	0	0	0	0	0	72	0	0	0	0	1	132	209	0	14	2	4	0	0	0	3	0	0	0	0
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	665	"AWI"	665	31375	33397	32273	0	0	0	1	0	4	0	0	1	1	1	0	0	74	0	2	0	0	0	38	70	0	1	0	5	0	0	0	3	0	1	0	0
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	670	"AWI"	670	31498	33588	32416	9	0	1	16	0	1	0	0	0	1	0	0	0	98	0	0	0	0	0	74	172	0	63	0	2	2	0	0	1	0	0	0	0
