"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Ilex"	"Juglans"	"Liliaceae"	"Oleaceae"	"Ostrya.Carpinus"	"Phellodendron"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Salix"	"Syringa"	"Tilia"	"Ulmus"
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	60	"AWI"	60	2670	3594	3143	0	0	14	0	2	0	0	0	0	12	1	0	0	0	2	0	0	0	0	0	0	0	0	41	0	0	0	0	0
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	65	"AWI"	65	2882	3789	3317	0	0	0	0	5	2	0	0	1	23	0	0	2	0	5	0	0	0	1	15	0	0	0	87	0	0	0	0	2
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	70	"AWI"	70	3095	3977	3485	2	0	0	0	4	1	0	0	1	12	1	0	2	0	4	0	0	0	0	5	77	2	0	60	0	0	0	1	5
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	75	"AWI"	75	3367	4230	3713	1	0	0	0	3	0	0	0	0	27	0	0	1	0	7	0	0	0	0	9	96	3	0	88	0	0	0	1	4
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	80	"AWI"	80	3597	4667	4054	0	0	0	0	4	0	0	0	0	21	0	0	2	0	5	0	0	0	0	5	0	3	0	101	0	0	0	3	7
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	85	"AWI"	85	3876	5035	4473	0	0	63	0	18	2	0	0	0	103	0	0	0	0	8	0	1	0	0	0	0	6	0	116	0	0	0	1	7
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	90	"AWI"	90	4325	5283	4862	0	0	0	0	2	0	0	0	0	26	0	0	1	0	8	0	0	0	0	0	0	4	0	52	0	0	0	0	2
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	100	"AWI"	100	5010	6370	5557	0	0	0	0	4	1	0	1	0	8	0	0	0	0	3	0	0	0	4	0	0	1	0	89	0	0	0	1	4
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	105	"AWI"	105	5229	6944	5898	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	20	0	0	0	0	1
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	110	"AWI"	110	5435	7449	6240	0	0	0	0	14	1	0	2	0	105	0	0	1	1	6	0	0	5	0	5	0	3	0	165	0	0	0	1	5
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	115	"AWI"	115	5673	7907	6576	2	1	0	1	15	0	0	2	1	71	1	0	1	0	10	0	0	1	1	6	0	7	1	152	0	0	0	0	8
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	120	"AWI"	120	5914	8361	6912	1	0	0	0	6	2	0	0	2	4	0	0	0	0	7	0	0	1	0	6	0	5	1	172	0	0	0	1	7
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	125	"AWI"	125	6153	8776	7258	0	0	0	0	6	3	0	3	1	98	0	0	2	0	2	0	0	0	0	0	0	18	0	127	0	0	0	0	3
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	130	"AWI"	130	6402	9214	7605	0	0	0	0	48	1	68	1	11	65	0	0	9	0	14	0	0	4	0	0	0	25	3	197	0	0	0	0	10
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	135	"AWI"	135	6640	9643	7963	0	0	19	0	4	0	0	1	0	110	0	1	0	0	13	0	0	0	0	0	52	2	0	145	0	0	0	2	13
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	140	"AWI"	140	6924	10062	8297	0	0	35	0	13	1	116	0	0	16	1	1	1	0	9	0	0	0	1	0	69	0	1	68	2	0	1	2	7
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	145	"AWI"	145	7204	10447	8645	0	0	0	1	25	1	0	0	2	67	0	0	1	0	6	0	0	0	0	0	0	5	0	190	0	0	0	0	6
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	150	"AWI"	150	7503	10853	8989	0	0	0	0	20	0	0	0	2	24	0	0	1	0	5	0	0	0	0	0	0	6	0	200	0	0	0	0	4
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	155	"AWI"	155	7782	11269	9343	0	0	0	1	24	0	0	0	0	11	2	0	1	0	6	0	0	0	0	0	0	9	0	171	0	0	0	0	13
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	160	"AWI"	160	8064	11676	9697	0	0	0	0	41	0	0	0	1	20	0	0	0	0	14	0	0	0	0	0	0	6	1	186	0	0	0	1	11
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	165	"AWI"	165	8365	12058	10058	0	0	0	0	28	0	0	0	4	20	0	0	1	0	15	0	0	2	0	0	0	7	0	176	0	0	3	1	24
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	170	"AWI"	170	8692	12437	10401	0	0	0	1	32	0	0	0	0	16	0	0	2	0	5	0	0	1	0	0	0	12	0	168	0	0	1	0	16
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	180	"AWI"	180	9295	13198	11103	0	0	0	0	26	0	0	0	2	4	0	0	0	0	7	0	0	0	0	0	0	12	0	150	0	0	1	1	16
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	190	"AWI"	190	9882	13950	11812	0	0	0	1	27	0	0	1	1	12	1	0	0	0	20	0	0	0	1	0	0	2	0	144	0	0	0	0	20
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	200	"AWI"	200	10513	14684	12504	0	0	0	0	0	0	0	0	0	14	2	0	0	0	11	0	0	0	0	0	0	1	0	71	0	0	0	1	9
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	210	"AWI"	210	11185	15391	13208	0	0	0	0	7	3	0	2	0	12	0	0	0	0	6	0	0	0	0	2	0	2	0	76	0	0	0	0	3
