"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Anacardiaceae"	"Apiaceae"	"Apocynaceae"	"Araliaceae"	"Arecaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Bromeliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cephalanthus"	"Cistaceae"	"Citrus"	"Combretaceae"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Cyrilla"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gordonia"	"Grossulariaceae"	"Ilex"	"Indeterminable"	"Isoëtes"	"Itea"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Liquidambar"	"Malvaceae"	"Meliaceae"	"Moraceae"	"Myrica"	"Myrtaceae"	"Nyssa"	"Onagraceae"	"Osmanthus"	"Ostrya.Carpinus"	"Pinus"	"Planera"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnaceae"	"Rhododendron"	"Rhus"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Sapindaceae"	"Serenoa"	"Symplocos"	"Taxodium"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"	"Zanthoxylum"
229	232	"Barchampe Lake"	30.62222	-83.25389	693	"AWI"	693	3022	4906	3926	0	0.357142857142857	0	0	0	0	0	0	0	0	0.357142857142857	0	0	0	3.57142857142857	0	0.357142857142857	0	2.5	0	0	0.357142857142857	0	0	0	0.714285714285714	0	0	0.714285714285714	0	0.714285714285714	0	0	0	6.07142857142857	1.07142857142857	0	0.714285714285714	0	0	0	4.28571428571429	0	0	0	16.7857142857143	0	1.78571428571429	0	0	1.42857142857143	0	0	0.357142857142857	0	0	0.714285714285714	0	45.3571428571429	0	0	0	0	0.357142857142857	0	0	0	0	0	0	10.7142857142857	0	0	0.714285714285714	0	0	0
229	232	"Barchampe Lake"	30.62222	-83.25389	713	"AWI"	713	3414	5324	4342	0	0	0	0	0	0	0	0	0	0	0.888888888888889	0	0	0	11.1111111111111	0	0	0	2.66666666666667	0	0	0.444444444444444	0	0	0	1.33333333333333	0	0	0	0	0.444444444444444	1.77777777777778	0	0	0.888888888888889	1.33333333333333	0	1.33333333333333	0	0	0	1.77777777777778	0	0	0.444444444444444	15.1111111111111	0	3.55555555555556	0	0	0.444444444444444	0	0	0.444444444444444	0	0	0.444444444444444	0	42.6666666666667	0	0	0	0	0	0.444444444444444	0	0	0	0	0	10.6666666666667	0	0	1.77777777777778	0	0	0
229	232	"Barchampe Lake"	30.62222	-83.25389	723	"AWI"	723	3618	5526	4548	0	0	0	0	0	0	0	0	0.401606425702811	0	0.401606425702811	0	0	0	8.43373493975904	0	0	0	1.60642570281124	0	0	0.401606425702811	0	0	0	1.60642570281124	0	0	0	0	0	0	0	0	0	2.00803212851406	0	1.20481927710843	0	0	0.401606425702811	2.40963855421687	0	0	0	22.8915662650602	0	2.00803212851406	0	0	1.60642570281124	0	0	0	0	0	0	0	49.3975903614458	0	0	0	0	0	0	0	0	0	0	0	5.22088353413655	0	0	0	0	0	0
229	232	"Barchampe Lake"	30.62222	-83.25389	733	"AWI"	733	3826	5705	4761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.01639344262295	0	0	0	2.45901639344262	0	0	0.409836065573771	0	0	0	2.04918032786885	0	0	0	0	0.409836065573771	0.409836065573771	0	0	0	0	0	1.63934426229508	0	0	0	2.04918032786885	0	0	0	17.6229508196721	0.409836065573771	0.409836065573771	0.409836065573771	0	0.819672131147541	0	0	0.409836065573771	0	0	0	0.409836065573771	55.327868852459	0	0	0	0.409836065573771	0.409836065573771	0	0	0	0	0	0	3.68852459016393	0	0	1.22950819672131	0	0	0
229	232	"Barchampe Lake"	30.62222	-83.25389	753	"AWI"	753	4223	6099	5182	0	0.673400673400673	0.673400673400673	0	0	0	0	0	0	0	0	0	0	0	6.3973063973064	0	0.336700336700337	0	1.68350168350168	0.673400673400673	0	0	0	0	0.336700336700337	3.03030303030303	0	0	0	0	1.34680134680135	1.01010101010101	0	0	0	1.34680134680135	0	1.34680134680135	0	0	0	1.34680134680135	0	0	0.336700336700337	13.8047138047138	0	2.35690235690236	0	0	1.01010101010101	0	0	0	0	0	0	0	55.2188552188552	0	0	0	0	0	0	0	0	0	0	0	6.06060606060606	0	0	1.01010101010101	0	0	0
229	232	"Barchampe Lake"	30.62222	-83.25389	773	"AWI"	773	4649	6470	5602	0	0	0	0	0.353356890459364	0.353356890459364	0	0	0	0	0	0	0	0	7.42049469964664	0	0	0	1.06007067137809	0	0	0	0	0	0	1.06007067137809	0	0	0.706713780918728	0	0.353356890459364	0.706713780918728	0	0	0	1.41342756183746	0	0.706713780918728	0	0	0	3.18021201413428	0	0	0	16.2544169611307	0	4.24028268551237	0.706713780918728	0	2.82685512367491	0	0	0	0	0	0	0	50.8833922261484	0	0	0	0	0.353356890459364	0	0	0	0	0	0	5.30035335689046	0.353356890459364	0	1.41342756183746	0.353356890459364	0	0
229	232	"Barchampe Lake"	30.62222	-83.25389	793	"AWI"	793	5086	6834	6026	0	0	0	0	0.574712643678161	0	0	0	0	0	1.72413793103448	0	0	0	9.19540229885057	0	0	0	1.14942528735632	0	0	0	0	0	0	5.74712643678161	0	0	0	0	0	1.72413793103448	0	0	0	2.8735632183908	0	0	0	0	0	1.72413793103448	0	0	0	10.3448275862069	0	1.14942528735632	0	0	1.72413793103448	0	0	0	0	0	0.574712643678161	0	54.0229885057471	0	0	0	0	0	0	0	0	0	0	0	6.32183908045977	0	0	1.14942528735632	0	0	0
229	232	"Barchampe Lake"	30.62222	-83.25389	813	"AWI"	813	5551	7187	6454	0	0.334448160535117	0	0	0	0	0	0	0	0	0.334448160535117	0	0	0	7.02341137123746	0	0.668896321070234	0	0	0	0	0.334448160535117	0	0	0	13.0434782608696	0	0	0.334448160535117	0	0.334448160535117	0.334448160535117	0	0	0	1.00334448160535	0	0	0	0	0.334448160535117	1.00334448160535	0	0	0	12.0401337792642	0	2.0066889632107	0	0	0.668896321070234	0	0	0.334448160535117	0	0	0	0	56.1872909698997	0	0	0	0	0	0	0	0	0	0	0	3.34448160535117	0	0	0.334448160535117	0	0	0
229	232	"Barchampe Lake"	30.62222	-83.25389	833	"AWI"	833	6032	7513	6870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.9620253164557	0	0	0	1.26582278481013	0	0	0	0	0	0	8.22784810126582	0	0	0	0	0	1.89873417721519	0	0	0	2.53164556962025	0	0	0	0	0	5.06329113924051	0	0	0	14.5569620253165	0.632911392405063	0.632911392405063	0	0	1.26582278481013	0	0	0	0	0	0	0	53.1645569620253	0	0	0	0	0	0	0	0	0	0	0	1.89873417721519	0	0	1.89873417721519	0	0	0
229	232	"Barchampe Lake"	30.62222	-83.25389	853	"AWI"	853	6566	7797	7292	0	0	0	0	0	0	0	0	0.662251655629139	0	0	0	0	0	7.28476821192053	0	0	0	0.662251655629139	0	0	0	0	0	0	2.64900662251656	0	0	0	0	0.662251655629139	0.662251655629139	0	0	0	0.662251655629139	0	0	0	0	0	1.32450331125828	0	0	0	5.29801324503311	0	0.662251655629139	0.662251655629139	0	0	0	0	0	0	0	0	0	75.4966887417219	0.662251655629139	0	0	0	0	0	0	0	0	0.662251655629139	0	0	0	0	1.98675496688742	0	0	0
229	232	"Barchampe Lake"	30.62222	-83.25389	873	"AWI"	873	7166	8080	7705	0	0	0	0	0	0.632911392405063	0	0	1.26582278481013	0	0	0	0	0	11.3924050632911	0	0	0.632911392405063	0	0	0	0	0	0	0	0.632911392405063	0	0	0	0	0	0	0	0	0	0.632911392405063	0	0	0	0	0	1.26582278481013	0	0	0	9.49367088607595	0	0	0	0	0.632911392405063	0	0	0	0	0	0	0	70.253164556962	0	0	0	0	0	0	0	0	0	0	0	2.53164556962025	0	0	0.632911392405063	0	0	0
229	232	"Barchampe Lake"	30.62222	-83.25389	893	"AWI"	893	7868	8321	8093	0	1.92307692307692	0	0	0	0	0	0	0.961538461538462	0	0	0	0	0	13.4615384615385	0	0	0	0	0	0	0	0	0	0.961538461538462	0.961538461538462	0	0	0	0	0	1.92307692307692	0	0	0	1.92307692307692	0	0	0	0	0	0	0	0	0	12.5	0	0	0	0	0	0	0	0	0	0	0	0	64.4230769230769	0	0	0	0	0	0.961538461538462	0	0	0	0	0	0	0	0	0	0	0	0
229	232	"Barchampe Lake"	30.62222	-83.25389	913	"AWI"	913	8124	9058	8484	0	0.50251256281407	0	0	0	0	0	0	0	0	0	0	0	0	4.02010050251256	0	0	0	0	0	0	0	0	0	0.50251256281407	18.5929648241206	0	0	0	0	0	0	0	0	0	2.51256281407035	0	0	0	0	0	0.50251256281407	0.50251256281407	0	0	0.50251256281407	0	0	0	0	0	0	0	0	0	0	0	0	72.3618090452261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
