"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Ceanothus"	"Cercocarpus"	"Cupressaceae"	"Cyperaceae"	"Ephedraceae"	"Euphorbiaceae"	"Fabaceae"	"Indeterminable"	"Lamiaceae"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Salix"	"Sarcobataceae"	"Thalictrum"
699	719	"Dome Creek Meadow"	40.02417	-107.05083	205	"AWI"	205	3149	5243	4411	15	0	25	0	23	0	0	0	0	0	9	0	124	0	0	0	5	0	89	119	3	0	4	0	0	0	0	0	0
699	719	"Dome Creek Meadow"	40.02417	-107.05083	225	"AWI"	225	3558	5454	4868	27	0	11	2	17	0	0	0	0	0	6	0	152	0	0	1	6	0	114	126	0	0	1	0	0	0	0	0	1
699	719	"Dome Creek Meadow"	40.02417	-107.05083	245	"AWI"	245	4860	5622	5312	25	0	14	0	39	0	0	1	0	1	8	1	148	1	0	0	4	0	115	88	0	0	1	0	0	0	1	2	0
699	719	"Dome Creek Meadow"	40.02417	-107.05083	265	"AWI"	265	5392	6414	5793	18	1	26	0	24	0	0	0	0	1	9	2	180	0	0	0	11	0	32	92	1	0	2	0	1	0	1	2	0
699	719	"Dome Creek Meadow"	40.02417	-107.05083	285	"AWI"	285	5688	7191	6394	25	1	23	1	34	0	1	0	1	0	8	3	276	0	0	0	7	1	80	103	0	0	2	0	0	2	0	0	0
699	719	"Dome Creek Meadow"	40.02417	-107.05083	305	"AWI"	305	5981	8125	6958	23	2	32	0	49	0	0	1	0	0	8	1	837	2	0	0	3	0	73	103	2	0	1	0	0	0	0	1	1
699	719	"Dome Creek Meadow"	40.02417	-107.05083	325	"AWI"	325	6535	8367	7581	28	0	42	0	37	0	0	3	0	1	12	4	491	0	0	1	9	0	57	115	4	0	2	0	0	0	1	5	2
699	719	"Dome Creek Meadow"	40.02417	-107.05083	345	"AWI"	345	7248	8806	8192	40	1	20	0	12	0	0	0	0	3	2	3	42	1	0	2	4	0	89	112	4	0	2	0	0	0	0	2	1
699	719	"Dome Creek Meadow"	40.02417	-107.05083	365	"AWI"	365	8458	9312	8809	30	0	36	0	39	0	0	1	0	0	7	2	30	0	0	0	10	0	46	120	3	0	1	0	0	0	1	0	0
699	719	"Dome Creek Meadow"	40.02417	-107.05083	385	"AWI"	385	8750	10412	9401	24	1	17	0	29	0	0	7	0	0	0	1	0	1	1	0	14	0	79	0	1	0	4	0	0	0	0	1	1
699	719	"Dome Creek Meadow"	40.02417	-107.05083	405	"AWI"	405	8975	10965	9982	32	0	8	0	14	0	0	4	0	0	4	2	8	1	0	0	7	1	56	0	0	0	3	0	0	0	1	0	0
699	719	"Dome Creek Meadow"	40.02417	-107.05083	425	"AWI"	425	9604	11473	10539	16	1	9	1	17	0	0	5	1	0	3	1	4	0	2	0	13	0	121	94	3	0	2	1	0	0	0	0	2
699	719	"Dome Creek Meadow"	40.02417	-107.05083	445	"AWI"	445	10359	11759	11159	16	2	15	0	31	0	0	4	0	0	3	0	13	0	0	0	7	0	97	95	2	0	3	3	0	0	0	0	0
699	719	"Dome Creek Meadow"	40.02417	-107.05083	465	"AWI"	465	10754	12070	11522	44	1	15	0	55	0	0	1	0	0	5	1	13	0	0	0	4	0	97	79	2	0	0	0	0	0	0	0	0
699	719	"Dome Creek Meadow"	40.02417	-107.05083	485	"AWI"	485	10978	12366	11755	29	3	25	0	84	0	0	4	0	0	3	4	18	1	0	0	14	0	57	0	5	0	0	0	0	0	2	0	1
699	719	"Dome Creek Meadow"	40.02417	-107.05083	505	"AWI"	505	11272	12561	11976	18	1	13	1	96	0	0	7	0	0	4	2	29	1	0	0	12	0	49	87	1	0	0	0	0	0	5	0	1
699	719	"Dome Creek Meadow"	40.02417	-107.05083	525	"AWI"	525	11469	12775	12202	24	1	16	11	97	0	1	5	0	0	4	6	36	0	0	0	10	0	40	88	0	0	0	0	0	0	5	0	1
699	719	"Dome Creek Meadow"	40.02417	-107.05083	545	"AWI"	545	11846	12954	12457	31	0	16	0	95	0	0	5	0	0	1	1	12	1	0	0	8	0	64	80	2	0	0	0	0	0	0	0	1
699	719	"Dome Creek Meadow"	40.02417	-107.05083	565	"AWI"	565	12042	13295	12709	20	0	14	0	62	0	1	14	0	0	1	7	9	1	0	0	34	0	54	61	3	0	0	0	0	0	1	0	1
