"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Crassulaceae"	"Cyperaceae"	"Droseraceae"	"Ericales"	"Fabaceae"	"Gentianaceae"	"Lamiaceae"	"Larix"	"Liliaceae"	"Montiaceae"	"Onagraceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"
1640	1695	"Maltan River Exposure"	60.88333	151.61667	270	"AWI"	270	10532	10856	10686	343	1	2	2	223	2	0	0	2	0	0	146	0	18	0	0	0	15	0	0	0	6	0	0	16	0	0	0	0	17	1	3	1
1640	1695	"Maltan River Exposure"	60.88333	151.61667	285	"AWI"	285	10592	10962	10765	449	0	2	0	224	0	0	0	3	0	0	134	0	26	0	0	1	6	0	0	0	2	0	0	8	3	2	0	0	27	1	0	0
1640	1695	"Maltan River Exposure"	60.88333	151.61667	290	"AWI"	290	10607	10978	10783	587	0	10	9	239	0	0	0	3	0	0	55	0	13	0	0	0	0	0	0	0	3	0	0	15	0	0	0	0	7	2	1	0
1640	1695	"Maltan River Exposure"	60.88333	151.61667	360	"AWI"	360	10779	11331	11026	104	0	21	20	50	1	0	0	5	0	0	128	0	6	0	0	0	0	1	0	0	5	0	0	17	1	4	0	0	6	0	0	0
1640	1695	"Maltan River Exposure"	60.88333	151.61667	415	"AWI"	415	11024	11512	11208	128	0	29	11	115	0	1	0	1	0	0	42	0	11	0	0	0	1	1	0	0	9	0	0	10	0	0	0	0	18	2	0	0
1640	1695	"Maltan River Exposure"	60.88333	151.61667	455	"AWI"	455	11207	11648	11348	113	0	9	6	75	2	0	0	5	0	0	120	0	11	1	0	0	1	0	0	0	2	1	1	20	1	0	0	0	40	0	0	0
1640	1695	"Maltan River Exposure"	60.88333	151.61667	480	"AWI"	480	11262	11778	11456	164	1	7	9	111	0	0	0	1	0	2	187	0	14	0	0	0	0	0	0	0	5	0	0	12	1	2	0	0	63	2	0	0
1640	1695	"Maltan River Exposure"	60.88333	151.61667	505	"AWI"	505	11325	11927	11571	160	2	17	7	94	0	0	0	5	0	0	118	0	13	0	0	0	1	1	0	0	2	0	0	8	0	0	0	0	40	0	0	0
1640	1695	"Maltan River Exposure"	60.88333	151.61667	530	"AWI"	530	11385	12125	11680	110	0	10	5	66	2	0	0	3	0	0	116	0	13	0	0	0	0	0	0	0	5	0	0	13	1	0	0	0	40	0	0	1
1640	1695	"Maltan River Exposure"	60.88333	151.61667	555	"AWI"	555	11442	12356	11794	7	0	27	27	6	5	0	0	11	0	0	674	0	0	0	0	0	0	0	0	0	3	0	0	27	0	11	0	0	16	5	11	0
1640	1695	"Maltan River Exposure"	60.88333	151.61667	580	"AWI"	580	11516	12523	11910	4	0	36	13	3	14	0	0	16	0	0	380	0	0	0	0	0	0	0	0	0	2	0	0	52	5	3	0	0	2	0	3	3
1640	1695	"Maltan River Exposure"	60.88333	151.61667	600	"AWI"	600	11559	12689	11995	19	0	34	28	29	6	0	0	14	0	0	133	1	3	1	0	0	0	2	0	1	1	1	0	24	2	0	8	1	13	5	14	4
