"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Celtis"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Larix"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Salix"	"Santalaceae"	"Sarcobataceae"	"Tilia"	"Tsuga"	"Ulmus"
1561	1606	"Lake QC"	46.82833	-80.69833	200	"AWI"	200	3639	4578	4073	2	0	10	1	0	0	75	0	0	0	14	2	0	1	2	0	1	1	0	0	0	0	0	2	11	156	0	0	0	8	0	0	1	1	0	0	4
1561	1606	"Lake QC"	46.82833	-80.69833	220	"AWI"	220	3986	5001	4476	1	0	13	0	2	3	59	0	0	0	6	0	0	1	2	0	1	1	0	0	4	0	0	0	4	184	0	1	3	9	0	0	0	0	0	1	4
1561	1606	"Lake QC"	46.82833	-80.69833	240	"AWI"	240	4346	5415	4869	1	0	11	0	0	0	62	0	0	0	7	1	0	0	1	0	0	2	0	0	3	1	0	0	6	174	0	1	0	22	0	0	0	0	0	0	3
1561	1606	"Lake QC"	46.82833	-80.69833	260	"AWI"	260	4744	5822	5268	0	0	48	0	1	0	40	0	0	0	2	3	0	0	1	0	0	6	0	0	0	2	0	4	2	174	0	0	1	12	0	1	0	0	0	4	2
1561	1606	"Lake QC"	46.82833	-80.69833	280	"AWI"	280	5143	6193	5668	0	0	16	1	1	0	37	0	0	0	10	1	0	0	1	0	0	3	0	0	2	3	0	3	7	186	1	1	0	13	0	1	0	0	0	4	8
1561	1606	"Lake QC"	46.82833	-80.69833	300	"AWI"	300	5537	6564	6075	1	0	14	1	2	0	32	0	0	0	1	1	0	0	3	0	0	5	0	0	3	0	0	3	5	209	1	1	0	12	0	0	0	0	1	0	4
1561	1606	"Lake QC"	46.82833	-80.69833	320	"AWI"	320	5977	6904	6480	2	0	12	1	0	0	20	0	0	0	6	2	0	1	3	6	1	2	0	0	3	1	0	2	3	212	1	1	1	12	1	0	0	0	0	1	6
1561	1606	"Lake QC"	46.82833	-80.69833	340	"AWI"	340	6446	7215	6878	1	0	15	3	0	0	40	0	1	0	1	5	0	0	4	6	0	3	0	0	2	4	0	2	4	188	2	1	1	18	0	1	0	0	0	0	3
1561	1606	"Lake QC"	46.82833	-80.69833	360	"AWI"	360	6951	7496	7272	2	0	8	2	1	0	21	2	0	0	2	1	0	1	2	0	0	3	0	0	0	0	0	0	5	229	0	1	0	9	0	0	0	0	0	0	9
1561	1606	"Lake QC"	46.82833	-80.69833	380	"AWI"	380	7438	8076	7697	7	0	4	2	1	0	23	1	0	0	0	0	0	0	0	4	0	1	0	0	2	3	0	1	11	226	0	0	1	7	0	0	0	0	0	1	5
1561	1606	"Lake QC"	46.82833	-80.69833	400	"AWI"	400	7810	8692	8211	1	0	26	0	1	0	52	1	0	0	1	1	0	0	0	0	0	4	1	0	2	2	0	3	6	111	0	5	1	10	0	1	0	0	0	0	5
1561	1606	"Lake QC"	46.82833	-80.69833	420	"AWI"	420	8253	9223	8729	4	0	5	0	2	0	28	0	0	0	0	2	0	0	0	0	0	3	1	0	1	4	0	1	13	218	0	1	1	14	0	0	0	0	0	0	3
1561	1606	"Lake QC"	46.82833	-80.69833	440	"AWI"	440	8744	9704	9254	0	0	1	0	2	0	64	0	0	0	1	3	0	0	0	0	0	2	0	0	3	1	0	2	29	169	0	2	1	7	0	2	0	1	0	0	4
1561	1606	"Lake QC"	46.82833	-80.69833	460	"AWI"	460	9183	10235	9721	0	0	0	2	4	0	81	0	0	0	2	1	0	0	0	0	0	15	3	0	7	2	0	4	95	0	0	0	1	6	0	0	0	0	1	0	7
1561	1606	"Lake QC"	46.82833	-80.69833	480	"AWI"	480	9524	10784	10146	0	0	0	1	5	0	37	3	0	0	8	5	0	1	0	10	0	4	1	0	7	19	0	7	115	0	0	0	0	28	0	3	0	0	0	3	8
1561	1606	"Lake QC"	46.82833	-80.69833	500	"AWI"	500	9894	11331	10574	0	0	2	0	5	0	22	1	0	0	5	0	0	0	0	0	0	1	0	0	6	1	0	10	156	39	0	2	6	22	2	0	0	1	0	1	10
1561	1606	"Lake QC"	46.82833	-80.69833	520	"AWI"	520	10246	11865	11006	0	0	1	3	13	0	13	0	0	0	1	2	2	0	0	0	0	8	2	0	0	0	0	11	110	68	0	2	2	34	0	1	0	0	0	1	16
1561	1606	"Lake QC"	46.82833	-80.69833	540	"AWI"	540	10626	12376	11448	0	0	1	0	5	0	17	1	0	0	0	3	0	0	0	0	0	8	0	0	0	0	1	2	16	0	0	3	0	16	0	0	0	0	0	1	5
