"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Cyperaceae"	"Elaeagnaceae"	"Elaeagnus"	"Ericales"	"Fabaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"
970	1001	"Hail Lake"	60.03333	-129.01667	286	"AWI"	286	6811	8524	7686	0	0	0	0	0	2.94117647058824	0	57.3529411764706	0	0.735294117647059	0	0	2.94117647058824	0	0	0	0	0	0.735294117647059	0	26.4705882352941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.82352941176471	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	294	"AWI"	294	7012	8675	7891	0	0	0	0.769230769230769	0	5.38461538461539	1.53846153846154	53.8461538461538	0	0	0	0	4.61538461538462	0	0	0	0	0	1.53846153846154	0	13.8461538461538	0	0	0	0	0	0	0	0.769230769230769	0	0	0	0	0	0	0	0	16.1538461538462	0.769230769230769	0	0	0	0	0	0	0.769230769230769
970	1001	"Hail Lake"	60.03333	-129.01667	302	"AWI"	302	7209	8853	8085	0	0	0	0	0	10.1694915254237	0	38.9830508474576	0	0	1.69491525423729	0	3.38983050847458	0	0	0	0	0	3.38983050847458	0	10.1694915254237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.1186440677966	5.08474576271187	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	310	"AWI"	310	7430	8968	8289	0	0	0	0	0	7.14285714285714	0	55.3571428571429	0	0	0	1.78571428571429	1.78571428571429	0	0	0	0	0	0	0	10.7142857142857	0	0	0	0	0	0	0	1.78571428571429	0	0	0	0	0	0	0	0	17.8571428571429	1.78571428571429	0	0	1.78571428571429	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	318	"AWI"	318	7587	9125	8482	0	0	0	0	0	4.0983606557377	0	60.655737704918	0	0	0	0	2.45901639344262	0	0	0	0	0	0.819672131147541	0	17.2131147540984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.7540983606557	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	326	"AWI"	326	7835	9204	8685	0	0	0	0	0	4.21052631578947	1.05263157894737	53.6842105263158	0	0	0	0	1.05263157894737	0	0	0	0	0	0	0	18.9473684210526	0	0	0	0	0	0	0	1.05263157894737	0	0	0	0	0	0	0	0	16.8421052631579	2.10526315789474	0	0	1.05263157894737	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	334	"AWI"	334	8007	9342	8903	0	0	0	0	0	13.0952380952381	0	41.6666666666667	0	0	0	0	5.95238095238095	0	0	0	0	0	3.57142857142857	0	21.4285714285714	0	0	0	0	0	0	0	1.19047619047619	0	0	0	0	0	0	0	0	10.7142857142857	2.38095238095238	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	342	"AWI"	342	8521	9399	9073	0	0	0	0	0	12.3076923076923	1.53846153846154	60	0	0	1.53846153846154	0	6.15384615384615	0	0	0	0	0	1.53846153846154	0	1.53846153846154	0	0	0	0	0	0	0	4.61538461538462	0	0	0	0	0	0	0	0	9.23076923076923	1.53846153846154	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	356	"AWI"	356	9038	9517	9359	0	0	0	0	0	7.64331210191083	0	40.7643312101911	0	0	0	0	5.09554140127389	0	0	0	0	0	0.636942675159236	0	17.8343949044586	0	0	0	0	0	0	0	0.636942675159236	0	0	0	0	0	0	0	0	26.1146496815287	0.636942675159236	0	0	0.636942675159236	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	364	"AWI"	364	9162	9640	9463	0	0	0	0	0	9.19540229885057	2.29885057471264	36.7816091954023	0	0	1.14942528735632	0	6.89655172413793	0	0	0	0	0	2.29885057471264	0	16.0919540229885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.29885057471264	21.8390804597701	0	0	0	1.14942528735632	0	0	0	0
