"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Myrica"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Urticaceae"
495	507	"Coppermine Saddleback"	67.83333	-115.31667	60	"AWI"	60	2223	3189	2740	0	35	0	0	0	264	0	1	0	0	5	0	49	5	0	6	5	0	0	10	0	0	0	0	53	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	62.5	"AWI"	62.5	2317.5	3217	2794.5	0	14	0	1	0	269	0	0	0	0	3	0	28	11	0	3	3	0	0	2	0	0	0	0	64	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	65	"AWI"	65	2382	3258	2854	0	32	0	0	0	276	0	1	0	0	12	0	17	10	1	4	2	0	0	2	0	0	0	0	56	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	67.5	"AWI"	67.5	2436	3310	2911	0	23	0	0	0	271	0	0	0	0	3	0	27	8	0	6	2	0	0	2	0	0	0	0	59	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	70	"AWI"	70	2477	3383	2967	0	31	0	1	0	285	0	0	0	0	13	0	44	2	0	3	5	0	0	3	0	0	0	0	50	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	72.5	"AWI"	72.5	2581	3410	3019.5	0	22	0	0	0	282	0	1	0	0	4	0	22	4	0	2	6	0	0	1	0	0	0	0	56	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	75	"AWI"	75	2667	3447	3073	0	29	0	1	0	283	0	2	0	0	6	0	21	7	1	6	1	0	0	6	0	0	0	0	48	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	77.5	"AWI"	77.5	2728.5	3495	3129	0	20	0	0	0	283	0	0	0	0	6	0	27	0	0	5	3	0	0	2	0	0	0	0	56	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	80	"AWI"	80	2769	3555	3185	0	24	0	2	0	257	0	0	0	0	7	0	28	22	2	9	5	0	0	3	0	0	0	0	51	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	82.5	"AWI"	82.5	2901	3594.5	3243	0	18	0	0	0	195	0	0	0	0	5	0	12	8	0	3	1	0	0	1	0	0	0	0	62	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	85	"AWI"	85	2992	3636	3303	0	28	0	0	0	265	0	1	0	0	8	0	21	12	0	2	1	0	0	4	0	0	2	0	63	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	87.5	"AWI"	87.5	3056.5	3700	3367	0	15	0	0	0	198	0	0	0	0	7	0	9	7	0	0	1	0	0	1	0	0	0	0	57	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	90	"AWI"	90	3097	3789	3428	0	40	0	0	0	180	0	4	0	0	16	0	116	21	0	23	25	0	0	12	0	0	1	0	59	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	92.5	"AWI"	92.5	3183	3838.5	3499	0	14	0	0	0	216	0	0	0	0	0	0	12	10	0	6	2	0	0	0	0	0	0	0	43	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	95	"AWI"	95	3247	3911	3571	0	28	0	0	0	263	0	0	0	0	5	0	32	14	0	3	1	0	0	7	0	0	0	0	59	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	97.5	"AWI"	97.5	3295	4011.5	3640.5	0	17	0	0	0	192	0	1	0	0	5	0	34	13	0	0	4	0	0	1	0	0	0	0	48	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	100	"AWI"	100	3329	4140	3706	0	26	0	0	0	224	0	0	0	0	21	0	34	7	0	14	16	0	0	9	0	0	0	0	68	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	102.5	"AWI"	102.5	3441.5	4183	3775.5	0	9	0	0	0	138	0	0	0	0	11	0	20	12	0	1	3	0	0	2	0	1	0	0	47	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	105	"AWI"	105	3523	4239	3849	0	32	0	0	0	216	0	0	0	0	23	0	31	4	0	6	3	0	0	13	0	0	0	0	100	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	107.5	"AWI"	107.5	3582.5	4304.5	3921	0	12	0	1	0	123	0	0	0	0	18	0	27	14	0	3	2	0	0	4	0	0	0	0	32	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	110	"AWI"	110	3627	4397	3989	0	11	0	0	0	156	0	0	0	0	9	0	21	8	0	4	3	0	0	4	0	2	0	0	30	1	1
495	507	"Coppermine Saddleback"	67.83333	-115.31667	112.5	"AWI"	112.5	3719.5	4479.5	4079	0	9	0	1	0	162	0	0	0	0	9	0	14	8	0	1	1	0	0	1	0	3	0	0	38	1	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	115	"AWI"	115	3778	4599	4163	0	5	0	0	0	129	0	0	0	0	14	0	21	9	0	7	1	0	0	3	0	3	0	0	47	0	0
