"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alchornea"	"Anacardium"	"Arecaceae"	"Asteraceae"	"Byrsonima"	"Cannabaceae"	"Cecropia"	"Celtis"	"Chrysophyllum"	"Combretaceae"	"Copaifera"	"Cyperaceae"	"Didymopanax"	"Dilleniaceae"	"Euphorbiaceae"	"Fabaceae"	"Indeterminable"	"Loranthaceae"	"Luehea"	"Malpighiaceae"	"Myrsine"	"Myrtaceae"	"Nyctaginaceae"	"Peraceae"	"Petiveriaceae"	"Piper"	"Poaceae"	"Protium"	"Pseudobombax"	"Psychotria"	"Pteridophyta (monolete, psilate, <50 µm)"	"Schinus"	"Spirotheca"
1575	1621	"Lago do Pires"	-17.95	-42.21667	815	"AWI"	815	3987	4794	4386	20	8	8	5	6	79	42	17	1	22	18	20	2	4	30	10	41	3	0	1	37	6	0	4	1	4	30	0	1	1	2	6	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	835	"AWI"	835	4119	4914	4509	22	12	5	12	4	101	43	18	1	22	10	22	3	0	27	17	31	0	0	2	28	10	0	3	1	5	37	2	0	1	0	15	1
1575	1621	"Lago do Pires"	-17.95	-42.21667	855	"AWI"	855	4249	5042	4632	11	5	4	8	8	111	36	19	1	21	27	27	2	2	28	13	36	2	0	4	19	7	0	2	4	5	39	2	2	0	1	7	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	875	"AWI"	875	4366	5148	4761	17	12	1	14	4	91	54	17	1	19	10	38	2	3	29	14	31	1	0	3	14	9	0	3	0	3	36	1	0	0	2	9	4
1575	1621	"Lago do Pires"	-17.95	-42.21667	897	"AWI"	897	4530	5273	4898	21	20	16	11	6	108	63	20	0	22	7	18	7	3	32	13	39	1	0	1	20	8	2	1	1	2	32	1	0	0	2	30	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	919	"AWI"	919	4681	5413	5034	11	12	2	23	2	79	61	15	0	22	18	19	6	5	20	6	22	2	0	0	14	7	0	3	1	2	58	0	2	1	0	15	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	939	"AWI"	939	4831	5518	5154	16	16	4	18	3	94	83	20	2	31	13	9	6	1	32	11	26	0	0	0	15	15	0	2	1	4	37	3	1	0	1	10	1
1575	1621	"Lago do Pires"	-17.95	-42.21667	959	"AWI"	959	4968	5630	5277	26	8	2	11	5	131	80	14	0	26	8	10	4	0	34	5	27	1	0	5	11	18	0	3	4	3	25	3	1	0	4	7	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	978	"AWI"	978	5118	5895	5466	21	13	4	13	10	109	78	15	0	18	5	9	5	6	31	13	26	0	0	2	18	12	2	3	0	4	21	2	1	0	0	21	1
1575	1621	"Lago do Pires"	-17.95	-42.21667	1001	"AWI"	1001	5289	6174	5691	16	11	1	9	2	106	100	18	1	13	10	14	1	8	17	6	35	0	0	0	18	9	0	6	1	8	30	2	0	0	0	12	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	1016	"AWI"	1016	5411	6343	5835	16	11	5	11	5	94	81	21	0	18	10	14	5	3	21	6	25	1	0	1	13	7	1	1	1	4	34	2	0	0	2	19	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	1036	"AWI"	1036	5577	6567	6036	21	13	7	8	2	106	105	16	0	30	3	16	8	2	22	7	29	0	0	2	11	8	0	2	1	7	38	2	0	0	1	10	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	1056	"AWI"	1056	5754	6773	6231	14	15	8	10	3	76	105	12	0	20	15	5	8	6	31	6	33	1	0	3	12	11	0	1	1	3	41	0	0	0	2	7	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	1078	"AWI"	1078	5940	6993	6456	33	22	3	7	6	71	100	18	0	17	7	12	5	14	38	12	31	2	0	0	8	2	0	3	3	0	65	1	0	0	0	12	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	1115	"AWI"	1115	6283	7333	6824	10	19	6	8	3	80	131	11	0	8	8	8	0	11	24	11	17	0	0	0	9	2	0	3	3	4	73	0	1	0	0	7	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	1135	"AWI"	1135	6477	7505	7019	11	18	1	8	2	71	130	19	3	8	8	11	0	10	22	6	23	0	0	0	6	2	0	0	0	4	88	0	3	0	2	6	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	1155	"AWI"	1155	6686	7684	7219	6	11	0	5	2	52	116	9	0	9	8	18	1	11	27	15	26	4	1	1	8	3	0	0	2	3	95	0	0	0	4	17	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	1175	"AWI"	1175	6892	7849	7418	10	10	1	10	1	48	130	11	2	13	8	47	0	11	23	6	32	2	1	1	6	4	0	4	6	3	79	0	0	0	9	2	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	1197	"AWI"	1197	7135	8021	7637	19	10	0	15	2	39	194	25	0	8	2	29	1	20	20	9	26	0	1	0	6	3	0	0	0	2	99	0	0	0	2	3	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	1215	"AWI"	1215	7364	8157	7813	18	11	1	7	1	74	113	19	1	13	1	18	0	13	25	7	19	0	1	0	7	1	0	0	2	2	105	2	0	0	2	4	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	1235	"AWI"	1235	7616	8288	8010	9	13	1	0	0	59	116	17	1	8	5	55	1	10	12	4	28	0	0	1	7	3	0	0	1	15	123	0	0	0	3	2	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	1255	"AWI"	1255	7932	8427	8200	24	10	0	14	2	94	87	20	0	10	3	17	6	15	34	11	35	0	0	1	7	4	0	1	8	4	119	1	2	0	2	7	1
1575	1621	"Lago do Pires"	-17.95	-42.21667	1275	"AWI"	1275	8143	8692	8397	8	9	0	10	2	79	131	12	0	20	6	65	1	7	17	2	20	1	0	0	10	7	0	0	2	4	68	0	0	0	8	0	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	1297	"AWI"	1297	8327	9009	8631	27	14	1	9	2	102	117	14	1	36	8	32	1	6	17	0	44	0	1	2	11	26	1	2	0	2	65	1	2	0	7	8	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	1315	"AWI"	1315	8484	9238	8840	9	14	2	7	3	94	132	8	2	24	2	18	6	6	25	0	43	0	0	1	13	23	0	0	2	3	35	0	1	0	2	2	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	1335	"AWI"	1335	8673	9442	9064	10	14	2	8	1	68	155	18	0	7	0	28	1	15	21	1	18	4	2	1	13	10	0	3	0	1	50	1	0	0	9	7	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	1355	"AWI"	1355	8886	9642	9298	10	26	0	5	2	58	150	2	1	17	2	16	6	11	7	0	32	2	1	0	11	11	0	0	0	2	58	0	1	0	4	8	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	1375	"AWI"	1375	9114	9809	9521	6	24	1	6	2	52	223	4	0	4	1	15	0	23	17	0	16	0	2	0	7	7	0	0	0	0	80	2	0	0	6	4	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	1397	"AWI"	1397	9299	10021	9701	7	8	2	20	5	81	134	3	0	10	0	33	1	54	35	0	15	1	0	0	10	2	0	0	1	5	158	1	1	0	14	10	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	1415	"AWI"	1415	9432	10164	9825	2	3	0	6	1	28	85	0	0	1	2	20	0	33	17	0	16	0	0	0	6	4	0	0	0	15	91	1	1	0	6	3	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	1435	"AWI"	1435	9584	10338	9966	5	4	1	0	0	39	76	6	0	0	3	33	1	23	26	1	24	0	3	0	4	3	0	0	0	0	141	0	2	0	9	9	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	1497	"AWI"	1497	10031	10805	10402	5	6	1	8	4	81	130	2	0	3	0	35	1	99	41	1	27	0	1	0	3	0	1	0	0	0	151	0	0	0	6	10	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	1515	"AWI"	1515	10155	10929	10525	7	0	3	12	3	37	33	2	0	2	0	70	0	66	35	0	18	0	1	1	5	5	0	0	1	0	244	0	0	0	18	7	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	1535	"AWI"	1535	10305	11054	10660	4	0	1	13	4	39	110	0	0	5	0	36	1	68	25	0	20	0	3	0	4	3	0	0	0	0	153	0	0	0	15	5	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	1550	"AWI"	1550	10407	11182	10768	2	0	0	10	3	48	126	3	0	1	0	33	1	57	32	0	21	1	2	0	2	3	0	0	0	0	137	0	0	0	11	4	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	1579	"AWI"	1579	10573	11472	10978	4	0	0	0	4	47	53	3	0	2	1	69	2	65	48	1	23	0	1	0	7	0	0	0	2	2	156	0	1	0	9	7	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	1597	"AWI"	1597	10666	11640	11107	4	1	1	11	2	45	65	1	0	1	0	59	0	72	46	0	23	0	3	2	4	2	0	0	0	0	302	0	0	0	31	7	0
