"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Betulaceae"	"Caprifoliaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Juglans"	"Larix"	"Liliaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
977	1008	"Harrie Lake"	52.93333	-66.95	900	"AWI"	900	3776	4538	4164	24	0	27	0	1	0	69	6	0	2	0	0	0	0	0	0	3	12	0	4	0	0	0	0	0	10	1	0	1	0	0	1	0	0	1	0
977	1008	"Harrie Lake"	52.93333	-66.95	930	"AWI"	930	4216	4785	4507	15	0	16	0	1	0	28	5	0	1	0	3	0	0	0	0	3	4	0	7	0	1	0	1	0	11	0	0	0	0	0	0	0	0	0	0
977	1008	"Harrie Lake"	52.93333	-66.95	950	"AWI"	950	4443	4934	4693	17	0	15	0	0	0	71	12	0	0	0	6	0	1	0	0	3	15	0	3	0	0	0	0	0	8	1	0	0	0	0	3	0	0	0	0
977	1008	"Harrie Lake"	52.93333	-66.95	990	"AWI"	990	4702	5223	4965	14	0	32	0	0	0	54	10	0	0	0	4	0	0	0	0	4	3	0	1	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0
977	1008	"Harrie Lake"	52.93333	-66.95	1020	"AWI"	1020	4908	5410	5156	38	0	45	0	1	0	0	14	0	0	0	9	0	0	0	0	15	15	0	5	0	0	0	0	0	16	0	0	0	1	0	0	0	0	0	0
977	1008	"Harrie Lake"	52.93333	-66.95	1050	"AWI"	1050	5128	5687	5394	25	0	23	0	0	0	61	10	0	0	0	1	0	0	0	0	0	4	0	4	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1
977	1008	"Harrie Lake"	52.93333	-66.95	1070	"AWI"	1070	5277	5899	5564	32	0	32	1	0	0	114	21	0	0	0	5	0	0	0	0	7	8	0	1	0	1	0	0	0	16	1	1	0	0	0	2	0	0	0	0
977	1008	"Harrie Lake"	52.93333	-66.95	1080	"AWI"	1080	5353	5997	5647	26	0	0	1	1	0	64	18	0	0	0	5	0	0	0	0	5	3	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1
977	1008	"Harrie Lake"	52.93333	-66.95	1090	"AWI"	1090	5513	6099	5745	41	0	29	0	0	0	94	5	0	0	0	2	0	0	0	0	10	11	0	4	0	1	0	0	0	14	1	0	0	0	0	0	0	0	0	0
977	1008	"Harrie Lake"	52.93333	-66.95	1100	"AWI"	1100	5637	6215	5864	27	0	93	1	0	0	0	22	0	0	0	6	0	0	0	0	17	12	0	7	0	2	0	0	0	17	0	2	0	0	1	2	0	0	0	1
977	1008	"Harrie Lake"	52.93333	-66.95	1103	"AWI"	1103	5656	6268	5893	16	0	46	0	0	0	132	23	1	0	0	4	0	0	0	0	8	4	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
977	1008	"Harrie Lake"	52.93333	-66.95	1111	"AWI"	1111	5858	6428	6104	11	0	75	0	0	0	98	19	0	1	0	4	0	0	0	0	11	13	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
977	1008	"Harrie Lake"	52.93333	-66.95	1115	"AWI"	1115	5935	6531	6234	10	0	374	0	0	2	0	67	0	0	0	20	0	1	0	0	14	22	3	15	0	4	0	0	0	29	9	2	1	2	0	4	0	0	0	0
977	1008	"Harrie Lake"	52.93333	-66.95	1125	"AWI"	1125	6064	6945	6542	2	0	302	0	1	2	0	22	0	0	0	13	1	3	0	0	28	20	0	13	0	1	0	0	0	17	6	2	0	0	0	3	0	0	0	0
977	1008	"Harrie Lake"	52.93333	-66.95	1132	"AWI"	1132	6297	7061	6708	1	0	0	0	0	0	0	13	0	0	0	7	0	1	0	0	8	8	0	1	0	1	0	2	0	14	1	0	0	0	0	4	0	0	0	0
977	1008	"Harrie Lake"	52.93333	-66.95	1144	"AWI"	1144	6472	7495	6952	9	0	54	0	0	2	0	13	0	0	0	24	0	0	0	0	30	1	0	0	0	1	0	1	0	45	1	0	0	0	0	7	0	0	0	0
977	1008	"Harrie Lake"	52.93333	-66.95	1152	"AWI"	1152	6567	7726	7079	3	0	43	0	0	0	18	15	1	0	0	1	0	1	0	3	51	1	0	1	0	0	0	1	0	25	1	0	1	0	0	5	0	0	0	0
977	1008	"Harrie Lake"	52.93333	-66.95	1167	"AWI"	1167	6679	8162	7276	9	0	0	1	1	3	27	29	3	0	0	7	0	0	0	0	52	0	0	0	0	0	0	3	0	47	2	4	0	0	0	2	0	0	0	0
