"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Larix"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"
300	306	"Lac Boucané"	47.45778	-69.45278	60	"AWI"	60	1976	3781	2877	14	0	0	0	1	0	381	1	0	0	0	1	0	0	0	7	0	1	0	3	0	10	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	1	0
300	306	"Lac Boucané"	47.45778	-69.45278	80	"AWI"	80	2941	4657	3860	5	0	23	0	1	0	369	0	0	1	0	2	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	5	0	1	0	0	0	1	0	0	1	6	0
300	306	"Lac Boucané"	47.45778	-69.45278	100	"AWI"	100	4171	5361	4860	5	0	0	0	0	0	420	0	0	0	0	1	0	0	0	7	7	1	0	2	1	0	1	0	0	0	0	137	1	0	0	14	0	2	0	0	0	6	0	0	0	3	0
300	306	"Lac Boucané"	47.45778	-69.45278	120	"AWI"	120	5100	6166	5644	3	0	22	0	0	0	401	1	0	2	3	1	0	0	0	1	0	1	0	1	0	0	4	1	0	0	0	150	1	0	0	5	0	1	1	0	0	7	0	0	12	2	0
300	306	"Lac Boucané"	47.45778	-69.45278	140	"AWI"	140	5696	6930	6318	9	0	38	1	2	0	287	0	0	0	5	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	122	0	0	0	12	0	0	0	0	0	3	0	0	10	7	0
300	306	"Lac Boucané"	47.45778	-69.45278	160	"AWI"	160	6387	7549	7010	9	0	59	0	2	0	273	0	0	0	4	3	0	0	0	2	11	0	0	1	0	0	4	2	0	0	0	181	0	0	0	23	0	0	0	2	0	11	0	0	2	4	0
300	306	"Lac Boucané"	47.45778	-69.45278	180	"AWI"	180	7216	8077	7693	8	0	7	0	1	0	227	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	1	0	0	0	97	1	0	0	10	0	0	0	0	0	4	0	0	5	4	0
300	306	"Lac Boucané"	47.45778	-69.45278	190	"AWI"	190	7724	8344	8018	11	0	22	0	3	0	283	0	0	0	2	1	0	0	0	1	6	0	0	1	0	0	1	1	0	0	0	95	1	0	9	14	0	0	0	0	0	9	1	0	4	8	0
300	306	"Lac Boucané"	47.45778	-69.45278	200	"AWI"	200	7977	8830	8363	10	0	35	0	2	0	249	0	0	0	2	4	0	0	0	0	8	0	0	0	0	0	1	4	0	0	0	98	3	0	8	11	0	0	0	1	0	4	0	0	1	6	0
300	306	"Lac Boucané"	47.45778	-69.45278	210	"AWI"	210	8257	9276	8717	10	0	43	0	0	0	273	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	3	0	0	0	61	0	0	0	4	0	0	0	0	0	2	1	0	0	2	1
300	306	"Lac Boucané"	47.45778	-69.45278	220	"AWI"	220	8556	9671	9090	25	0	72	0	0	0	450	0	0	0	1	1	0	0	0	2	0	0	0	0	1	0	3	3	0	0	30	129	3	0	15	12	0	0	0	4	0	3	0	0	2	4	0
300	306	"Lac Boucané"	47.45778	-69.45278	230	"AWI"	230	8873	9999	9455	14	0	0	0	1	0	215	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	61	0	0	27	11	0	0	0	1	0	1	0	0	0	4	0
300	306	"Lac Boucané"	47.45778	-69.45278	240	"AWI"	240	9230	10305	9816	2	0	358	1	1	0	128	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	48	0	0	0	11	0	0	0	4	0	0	0	0	0	1	0
300	306	"Lac Boucané"	47.45778	-69.45278	250	"AWI"	250	9638	10559	10173	0	0	374	2	4	0	73	0	0	0	1	3	0	0	0	0	0	0	0	3	0	0	0	7	0	0	0	27	0	0	24	9	0	1	0	1	0	0	0	0	2	3	0
