"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caryophyllaceae"	"Ceanothus"	"Celtis"	"Cercocarpus"	"Chrysolepis"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Lamiaceae"	"Liliaceae"	"Lithocarpus"	"Malvaceae"	"Onagraceae"	"Orobanchaceae"	"Phrymaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Portulacaceae"	"Prunus"	"Quercus"	"Rhamnus"	"Rosaceae"	"Salix"	"Sambucus"	"Santalaceae"	"Sarcobataceae"	"Sequoiadendron"	"Thalictrum"	"Tsuga"
794	816	"Exchequer Meadow"	37	-119.83333	210	"AWI"	210	6509	7907	7452	92	1	0	2	3	0	5	0	0	0	0	0	0	0	0	1	8	0	0	1	0	25	0	0	4	0	0	0	0	167	0	8	0	0	3	3	0	5	0	0	0	0	0	0	0	0	0
794	816	"Exchequer Meadow"	37	-119.83333	230	"AWI"	230	7953	9593	8475	25	1	5	8	3	0	0	0	0	0	0	0	0	0	0	0	4	31	0	0	0	10	1	1	0	0	0	0	0	229	0	8	0	0	2	0	0	28	0	0	4	0	0	0	0	0	1
794	816	"Exchequer Meadow"	37	-119.83333	240	"AWI"	240	8219	10462	9001	23	0	0	9	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	2	6	1	0	0	0	0	0	0	242	0	2	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0
794	816	"Exchequer Meadow"	37	-119.83333	255	"AWI"	255	8755	11436	9802	14	0	0	12	21	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	187	0	6	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
794	816	"Exchequer Meadow"	37	-119.83333	270	"AWI"	270	9343	12514	10586	36	2	5	10	33	0	3	0	0	0	0	0	17	0	0	0	6	50	1	0	0	28	2	0	1	0	0	0	0	88	0	3	0	0	2	0	0	26	0	1	17	3	0	0	0	0	0
794	816	"Exchequer Meadow"	37	-119.83333	291	"AWI"	291	10301	13500	11536	11	0	0	11	27	0	0	1	5	0	0	0	0	0	0	0	3	58	0	2	0	0	0	1	0	0	0	0	0	134	0	23	0	33	3	0	2	4	0	1	5	3	0	0	0	0	1
794	816	"Exchequer Meadow"	37	-119.83333	312	"AWI"	312	10936	14227	12125	1	0	2	5	33	0	0	0	1	3	0	0	2	0	0	0	52	149	0	0	1	0	0	0	0	0	0	0	1	133	0	27	0	0	5	0	0	5	0	6	0	0	0	2	11	1	0
794	816	"Exchequer Meadow"	37	-119.83333	333	"AWI"	333	11650	14893	12712	4	1	1	2	24	0	0	0	0	2	0	0	0	0	0	0	66	183	0	0	0	27	0	0	0	0	0	44	0	119	0	37	0	7	1	4	0	1	0	0	6	0	0	2	7	0	0
794	816	"Exchequer Meadow"	37	-119.83333	340	"AWI"	340	11897	15099	12928	3	0	1	3	28	0	0	0	0	2	0	0	0	0	0	0	8	91	0	1	0	33	0	0	0	0	0	62	0	106	0	100	0	0	2	0	0	6	0	0	0	0	0	1	2	0	0
794	816	"Exchequer Meadow"	37	-119.83333	345	"AWI"	345	12120	15290	13173	3	0	1	1	46	0	0	0	0	1	0	0	1	0	0	0	0	41	0	6	0	19	0	1	0	1	0	25	0	64	0	49	0	0	0	2	0	9	0	0	13	0	0	5	0	0	0
794	816	"Exchequer Meadow"	37	-119.83333	355	"AWI"	355	12475	15674	13688	1	0	2	0	36	0	0	0	7	1	0	0	0	0	0	0	7	24	0	10	0	50	0	0	0	0	6	0	0	44	0	87	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0
794	816	"Exchequer Meadow"	37	-119.83333	360	"AWI"	360	12659	15903	13950	1	1	1	1	52	44	0	0	2	0	0	0	0	0	0	0	7	16	0	5	0	0	0	0	0	0	0	0	0	84	0	69	0	0	0	0	0	2	0	0	9	0	0	4	0	0	0
794	816	"Exchequer Meadow"	37	-119.83333	397	"AWI"	397	14195	17464	15839	0	0	0	0	4	0	0	0	49	4	0	0	0	0	0	0	8	43	0	0	0	87	0	3	0	0	0	0	1	4	0	124	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0
