"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Aquifoliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Castanea"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Juglans"	"Larix"	"Liquidambar"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
754	773	"Lac Dufresne"	45.85	-70.35	200	"AWI"	200	4775	6010	5436	3	8	39	0	0	0	6	355	0	0	0	4	5	0	0	11	11	0	1	0	1	5	4	74	0	1	4	21	0	0	0	0	0	1	1	4	6
754	773	"Lac Dufresne"	45.85	-70.35	220	"AWI"	220	5615	6494	5967	7	14	40	1	0	0	0	292	1	0	1	3	2	0	0	7	6	2	1	0	4	5	4	60	0	2	2	17	0	0	0	0	2	1	0	56	1
754	773	"Lac Dufresne"	45.85	-70.35	240	"AWI"	240	6160	8106	7006	9	8	40	0	0	0	4	249	1	0	0	5	5	0	0	4	9	0	2	0	3	1	8	89	0	3	1	10	0	0	2	0	0	0	0	44	8
754	773	"Lac Dufresne"	45.85	-70.35	260	"AWI"	260	7022	9052	8135	6	11	37	0	0	0	0	174	1	0	2	0	8	0	0	3	8	0	1	0	1	3	7	125	0	0	0	15	0	0	0	1	4	0	1	24	8
754	773	"Lac Dufresne"	45.85	-70.35	280	"AWI"	280	8542	9748	9217	14	24	44	1	0	0	0	144	0	0	3	10	7	0	2	3	11	0	0	0	1	1	6	0	0	3	3	38	0	0	0	0	0	0	0	4	8
754	773	"Lac Dufresne"	45.85	-70.35	300	"AWI"	300	9134	10736	9873	16	10	21	0	0	0	0	167	0	0	2	8	1	0	0	2	11	0	0	1	2	5	31	180	0	2	5	30	0	0	1	0	0	2	0	8	10
754	773	"Lac Dufresne"	45.85	-70.35	320	"AWI"	320	9715	11571	10523	22	3	36	1	0	1	2	141	0	0	1	3	5	0	0	0	5	1	1	0	6	8	17	177	0	3	8	24	0	0	2	0	7	0	0	2	6
754	773	"Lac Dufresne"	45.85	-70.35	330	"AWI"	330	10043	11942	10844	35	1	27	0	0	0	0	179	0	0	0	3	4	0	0	0	7	0	4	0	5	3	23	147	1	0	10	18	0	0	2	0	2	0	0	2	6
754	773	"Lac Dufresne"	45.85	-70.35	340	"AWI"	340	10403	12261	11155	34	3	45	0	0	0	3	257	0	0	0	0	6	0	0	0	8	1	7	0	12	14	36	0	0	4	30	30	0	0	3	0	0	1	0	0	11
754	773	"Lac Dufresne"	45.85	-70.35	345	"AWI"	345	10734	12407	11366	48	0	43	2	0	0	0	333	1	0	1	1	4	0	0	0	3	0	4	0	3	8	70	0	0	4	42	29	0	1	4	0	0	1	0	3	9
754	773	"Lac Dufresne"	45.85	-70.35	350	"AWI"	350	10876	12676	11583	46	2	17	0	0	2	0	63	1	0	4	6	12	0	0	1	7	0	10	0	13	13	63	0	0	5	30	39	0	0	2	0	0	0	0	0	11
754	773	"Lac Dufresne"	45.85	-70.35	355	"AWI"	355	11268	12894	12240	2	3	0	1	0	1	2	75	2	0	1	2	13	0	0	0	6	1	4	0	4	6	139	0	0	6	15	24	0	0	8	0	0	0	0	0	7
754	773	"Lac Dufresne"	45.85	-70.35	358	"AWI"	358	11377	13093	12661	6	1	0	0	0	1	0	39	0	0	0	1	11	1	0	0	0	0	1	0	0	7	153	0	0	1	7	10	0	0	3	0	0	0	0	2	2
754	773	"Lac Dufresne"	45.85	-70.35	362	"AWI"	362	11504	13424	12982	1	0	21	0	0	0	2	63	0	0	1	1	14	1	2	0	0	0	0	0	1	0	176	0	0	1	13	3	0	1	8	0	0	0	0	3	0
754	773	"Lac Dufresne"	45.85	-70.35	364	"AWI"	364	11568	13570	13045	1	0	0	0	0	10	2	180	0	0	0	1	20	0	2	0	1	0	0	0	2	0	46	0	0	7	17	3	0	0	33	0	0	2	0	1	3
754	773	"Lac Dufresne"	45.85	-70.35	366	"AWI"	366	11620	13737	13102	0	0	0	0	0	2	5	139	1	0	1	3	78	0	0	0	0	0	0	0	1	2	21	0	0	8	0	4	0	0	34	0	0	3	0	1	1
754	773	"Lac Dufresne"	45.85	-70.35	371	"AWI"	371	11754	14173	13241	1	0	0	0	0	1	0	50	0	1	0	2	130	0	1	0	0	0	0	0	0	1	39	0	0	6	1	10	0	0	14	0	0	0	0	1	4
