"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Celtis"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Liquidambar"	"Liriodendron"	"Myrica"	"Nyssa"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
1100	1133	"Hudson Lake"	41.67	-86.53	580	"AWI"	580	10693	13425	12184	33	5	14	1	6	3	44	5	2	10	1	16	0	29	6	2	10	0	0	1	0	16	77	453	1	8	9	51	0	4	1	0	0	30
1100	1133	"Hudson Lake"	41.67	-86.53	590	"AWI"	590	10908	13842	12404	21	2	5	1	4	10	45	5	0	0	2	6	0	23	0	1	3	0	0	0	0	16	45	205	0	2	10	36	0	4	0	0	0	20
1100	1133	"Hudson Lake"	41.67	-86.53	605	"AWI"	605	11354	14052	12638	22	6	6	1	5	10	15	8	1	7	1	7	0	15	0	4	4	0	0	0	0	14	34	137	2	4	15	87	0	1	1	3	0	26
1100	1133	"Hudson Lake"	41.67	-86.53	615	"AWI"	615	11591	14227	12789	4	1	8	1	3	4	30	0	0	4	2	5	0	9	1	1	6	0	0	0	0	12	24	138	0	0	16	31	0	0	0	0	0	7
1100	1133	"Hudson Lake"	41.67	-86.53	625	"AWI"	625	11778	14421	12952	67	4	5	3	20	30	13	11	2	21	2	41	0	115	28	2	5	0	0	2	0	60	127	4	1	25	37	69	2	19	4	0	2	33
1100	1133	"Hudson Lake"	41.67	-86.53	635	"AWI"	635	11907	14687	13115	10	15	7	5	9	14	9	18	3	11	3	25	0	58	7	3	2	0	0	0	0	56	38	73	11	14	30	266	1	5	1	5	0	46
1100	1133	"Hudson Lake"	41.67	-86.53	645	"AWI"	645	12252	14893	13296	4	0	1	0	3	8	3	2	3	2	6	28	0	76	15	1	0	0	0	1	0	13	40	1	0	12	55	26	0	7	1	0	0	6
1100	1133	"Hudson Lake"	41.67	-86.53	650	"AWI"	650	12413	15018	13402	5	2	2	1	6	14	4	2	0	1	4	17	0	97	2	1	3	0	0	1	0	15	58	1	3	13	21	32	0	4	0	0	0	5
1100	1133	"Hudson Lake"	41.67	-86.53	655	"AWI"	655	12540	15144	13512	9	2	2	0	10	21	7	7	2	5	7	31	0	122	9	2	5	0	0	2	0	29	129	0	1	15	47	47	1	9	1	0	0	9
1100	1133	"Hudson Lake"	41.67	-86.53	660	"AWI"	660	12665	15259	13623	33	10	7	3	11	24	9	20	0	6	13	29	0	44	10	4	3	0	0	0	0	26	68	97	4	18	20	206	0	8	0	3	0	40
1100	1133	"Hudson Lake"	41.67	-86.53	670	"AWI"	670	12789	15634	13857	30	8	10	0	15	10	12	1	1	12	2	27	0	29	0	1	3	0	0	0	0	10	130	4	2	12	32	61	2	5	2	2	0	10
1100	1133	"Hudson Lake"	41.67	-86.53	686	"AWI"	686	12926	16386	14197	2	0	4	2	16	5	4	7	0	1	8	52	0	20	11	0	3	0	0	0	0	9	369	3	0	17	5	27	3	6	3	0	0	6
1100	1133	"Hudson Lake"	41.67	-86.53	696	"AWI"	696	13113	16680	14465	2	0	5	0	6	3	0	1	0	1	5	37	0	18	7	0	4	0	0	0	0	1	111	5	0	7	11	17	0	1	0	0	0	1
1100	1133	"Hudson Lake"	41.67	-86.53	706	"AWI"	706	13271	17071	14742	4	0	5	1	9	5	2	0	0	1	4	27	0	22	0	0	2	0	0	0	0	4	222	1	0	10	0	14	0	1	0	0	0	0
1100	1133	"Hudson Lake"	41.67	-86.53	716	"AWI"	716	13386	17660	14995	6	0	3	2	9	4	1	1	0	0	10	33	0	7	3	0	1	0	0	0	0	3	207	8	0	12	0	7	0	1	0	1	0	0
1100	1133	"Hudson Lake"	41.67	-86.53	736	"AWI"	736	13551	18946	15488	4	0	1	1	12	4	0	1	0	1	21	25	0	14	5	0	3	0	0	0	0	5	135	5	0	3	1	10	2	3	0	0	0	0
