"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Morus"	"Myrica"	"Nyssa"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
943	973	"Graham Lake"	45.18333	-77.35	1097	"AWI"	1097	6044	7301	6730	0	17	43	1	0	3	0	116	1	3	0	0	1	0	10	5	0	0	0	18	21	2	6	0	0	0	1	0	0	14	0	516	7	0	0	0	42	0	0	0	4	0	0	0	0	1	144	31	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1098	"AWI"	1098	6060	7372	6771	4	28	0	0	0	2	0	110	2	2	0	1	1	0	7	2	0	1	0	20	12	0	5	0	0	0	3	0	0	14	0	527	8	0	0	0	61	4	0	0	5	4	1	0	0	4	125	31	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1099	"AWI"	1099	6147	7380	6805	1	35	0	1	0	3	0	109	0	12	0	1	1	0	16	1	0	0	0	29	31	3	10	0	1	0	0	0	0	15	0	492	7	0	0	0	66	1	0	0	5	1	0	0	0	3	145	46	0	0	1
943	973	"Graham Lake"	45.18333	-77.35	1100	"AWI"	1100	6206	7389	6844	3	33	25	3	0	1	0	117	0	6	0	0	0	0	14	0	0	1	0	20	14	2	21	0	2	0	11	1	0	6	2	521	3	0	0	0	47	1	0	0	4	2	0	0	0	10	110	32	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1101	"AWI"	1101	6257	7393	6882	4	19	0	3	0	4	0	126	0	4	0	0	0	0	12	6	0	0	0	22	18	1	21	0	0	0	0	0	0	11	0	562	2	0	0	0	52	0	0	0	8	2	0	0	1	3	58	31	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1102	"AWI"	1102	6286	7409	6926	2	0	42	1	0	0	0	102	0	0	0	1	0	0	2	0	0	0	0	16	0	2	9	0	2	0	2	1	0	13	0	655	4	0	0	0	44	1	0	0	3	1	0	0	0	1	87	23	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1103	"AWI"	1103	6329	7420	6968	0	0	28	3	0	2	0	80	0	1	0	0	1	0	15	1	0	0	0	32	13	0	0	0	0	0	1	0	0	9	0	652	2	0	0	0	64	0	0	0	5	6	0	0	0	2	44	26	0	0	1
943	973	"Graham Lake"	45.18333	-77.35	1104	"AWI"	1104	6367	7430	7012	5	16	33	1	0	6	0	126	0	4	0	0	1	3	19	0	0	0	0	27	14	3	0	0	2	0	7	0	0	13	0	569	4	0	0	1	50	2	0	0	13	1	0	0	0	3	51	35	0	0	1
943	973	"Graham Lake"	45.18333	-77.35	1105	"AWI"	1105	6404	7444	7058	0	0	12	1	0	4	0	73	0	3	0	0	1	0	9	1	0	0	0	28	0	3	4	0	2	0	0	0	0	8	0	671	3	0	0	0	44	0	0	0	4	0	0	0	0	3	101	10	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1106	"AWI"	1106	6423	7463	7109	0	19	0	2	0	2	0	71	0	1	0	1	0	0	3	0	0	0	0	20	12	1	4	0	0	0	0	0	0	18	0	724	5	0	0	0	39	1	0	0	6	2	1	0	0	5	62	30	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1107	"AWI"	1107	6457	7488	7153	0	18	11	1	0	0	0	72	0	2	0	0	0	0	8	3	0	0	0	18	6	0	3	0	0	0	2	1	0	14	3	638	2	0	0	0	58	1	0	0	11	2	1	0	0	6	122	22	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1108	"AWI"	1108	6494	7522	7193	10	16	18	0	0	1	0	103	0	1	0	0	0	0	7	3	0	0	0	20	19	0	29	2	3	0	3	4	0	16	0	571	4	0	0	4	67	3	0	0	5	2	0	0	0	3	94	23	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1109	"AWI"	1109	6594	7527	7225	2	9	0	1	0	2	0	103	0	0	0	0	0	0	21	0	0	0	0	18	0	0	1	0	0	0	1	0	0	6	0	599	3	0	0	0	94	1	0	0	8	3	0	0	0	5	69	33	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1110	"AWI"	1110	6695	7533	7257	7	10	0	2	0	5	0	93	0	2	0	0	0	0	4	1	0	0	0	24	10	3	1	0	1	0	0	0	0	8	5	665	3	0	0	0	45	1	0	0	11	1	0	0	0	1	83	33	0	1	0
943	973	"Graham Lake"	45.18333	-77.35	1111	"AWI"	1111	6797	7540	7290	4	6	0	0	0	1	0	86	0	1	0	0	1	0	14	4	0	0	0	13	21	0	3	0	1	0	0	0	0	6	0	698	2	0	0	0	67	2	0	0	2	2	0	0	0	5	30	23	0	1	0
943	973	"Graham Lake"	45.18333	-77.35	1112	"AWI"	1112	6895	7548	7322	12	9	10	0	0	1	0	40	0	1	1	0	0	0	0	2	0	0	0	9	4	0	1	0	2	0	2	1	0	6	0	760	3	0	0	0	33	0	0	0	9	0	2	0	1	3	45	16	0	2	0
943	973	"Graham Lake"	45.18333	-77.35	1113	"AWI"	1113	6993	7556	7354	4	0	0	0	0	0	0	99	0	1	0	0	0	0	19	1	0	0	0	17	9	1	3	0	1	0	0	0	0	2	0	686	0	0	0	1	69	1	0	0	3	1	0	0	0	7	30	22	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1114	"AWI"	1114	7095	7566	7385	4	28	22	3	0	2	0	94	0	7	0	0	0	0	4	2	0	0	0	23	14	1	2	0	0	0	3	0	0	46	0	629	6	0	0	0	57	4	0	0	13	2	1	0	0	3	36	37	0	0	1
943	973	"Graham Lake"	45.18333	-77.35	1115	"AWI"	1115	7190	7581	7418	7	0	29	2	0	5	0	110	0	4	0	0	1	0	17	1	0	0	0	16	11	1	5	0	0	0	0	0	0	18	5	697	3	0	0	0	46	1	0	0	7	1	0	0	0	3	22	23	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1116	"AWI"	1116	7277	7596	7452	14	34	17	0	0	0	0	99	0	3	0	0	0	0	13	2	0	0	0	17	17	1	6	0	1	0	3	2	0	27	0	618	3	0	0	1	54	3	0	0	9	2	1	0	0	4	53	28	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1117	"AWI"	1117	7355	7617	7488	1	0	19	0	0	2	0	76	0	4	0	0	0	0	19	1	0	0	0	11	0	1	0	0	0	0	0	0	0	18	0	749	6	0	0	2	102	0	0	0	2	0	0	0	0	1	15	25	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1118	"AWI"	1118	7430	7649	7526	3	21	0	0	0	2	0	91	1	1	0	0	0	0	7	0	0	0	0	18	9	0	4	0	0	0	6	0	0	23	0	670	9	0	0	0	71	3	0	0	12	1	1	0	0	6	6	28	0	2	0
943	973	"Graham Lake"	45.18333	-77.35	1119	"AWI"	1119	7449	7695	7566	3	19	6	1	0	1	0	75	0	2	0	0	0	0	23	4	0	0	0	12	18	0	10	0	0	0	1	0	0	15	0	662	6	0	0	1	81	0	0	0	6	0	1	0	0	2	15	27	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1120	"AWI"	1120	7465	7773	7604	10	27	0	0	0	1	0	56	0	2	0	0	0	0	5	0	0	0	0	10	0	3	5	0	3	0	8	0	0	30	0	681	4	0	0	0	85	2	0	0	9	2	0	0	0	3	8	17	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1121	"AWI"	1121	7479	7868	7639	3	15	12	1	0	0	0	78	0	3	0	0	0	0	19	0	0	0	0	14	28	1	2	0	0	0	1	0	0	36	0	673	2	0	0	2	88	0	0	0	8	1	0	0	1	0	11	26	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1122	"AWI"	1122	7489	7963	7673	3	16	10	3	0	1	0	76	0	2	0	0	0	0	14	3	0	0	0	12	19	3	3	0	2	0	2	0	0	36	0	641	3	0	0	0	82	4	0	0	7	6	0	1	0	0	11	31	0	0	0
