"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cephalanthus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Larix"	"Liliaceae"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Quercus"	"Rhamnus"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"
1362	1397	"Tourbière de Lanoraie JOSEPH"	45.99194	-73.30278	60	"AWI"	60	790	1589	1216	10	0	0	3	0	0	123	0	0	1	0	0	0	1	69	0	0	32	9	0	0	0	0	6	0	0	0	21	126	0	0	0	14	0	0	0	0	0	2	1	0	0	0	0	5	95	6	0
1362	1397	"Tourbière de Lanoraie JOSEPH"	45.99194	-73.30278	80	"AWI"	80	1336	2195	1684	3	0	0	0	1	0	148	0	0	3	0	0	0	0	24	0	2	42	0	1	0	1	0	13	0	0	0	21	0	0	0	0	12	0	2	0	0	0	1	0	0	0	0	0	6	63	2	0
1362	1397	"Tourbière de Lanoraie JOSEPH"	45.99194	-73.30278	100	"AWI"	100	1611	3169	2290	3	0	4	0	0	0	69	0	0	0	0	0	0	0	325	0	0	14	0	0	1	2	0	33	0	0	0	9	0	0	0	0	14	0	0	0	1	0	4	0	1	0	0	0	1	42	5	0
1362	1397	"Tourbière de Lanoraie JOSEPH"	45.99194	-73.30278	120	"AWI"	120	2065	3810	2926	3	0	0	0	1	0	35	0	0	1	0	0	0	0	40	0	0	12	9	0	1	1	0	57	0	0	0	10	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	4	16	1	0
1362	1397	"Tourbière de Lanoraie JOSEPH"	45.99194	-73.30278	140	"AWI"	140	2704	4267	3573	2	0	0	0	0	0	41	0	0	1	0	0	0	0	16	0	1	0	5	0	2	3	0	94	0	0	0	9	511	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	6	1	0
1362	1397	"Tourbière de Lanoraie JOSEPH"	45.99194	-73.30278	160	"AWI"	160	3615	4595	4181	6	0	0	1	0	0	77	0	0	0	0	0	0	0	40	0	0	4	4	0	2	1	0	51	0	0	1	9	0	0	0	0	8	2	0	0	1	0	0	0	0	0	0	0	2	15	9	0
1362	1397	"Tourbière de Lanoraie JOSEPH"	45.99194	-73.30278	180	"AWI"	180	3966	4842	4448	5	0	0	0	1	0	59	0	0	1	0	0	0	0	23	0	1	3	0	0	1	0	0	62	0	0	0	9	0	0	0	0	13	0	0	0	0	0	1	0	0	0	0	0	2	5	3	0
1362	1397	"Tourbière de Lanoraie JOSEPH"	45.99194	-73.30278	200	"AWI"	200	4172	5137	4669	1	0	8	0	0	0	81	0	0	0	0	0	0	1	86	0	0	10	0	0	0	0	0	24	0	0	2	2	0	0	0	0	9	0	0	0	0	0	2	0	0	0	0	0	1	23	7	0
1362	1397	"Tourbière de Lanoraie JOSEPH"	45.99194	-73.30278	220	"AWI"	220	4358	5363	4868	9	0	0	0	2	0	72	0	0	0	0	0	0	4	73	0	0	6	0	0	1	1	0	128	0	0	0	0	0	0	0	0	12	0	0	0	0	0	1	0	0	0	0	0	4	147	7	0
1362	1397	"Tourbière de Lanoraie JOSEPH"	45.99194	-73.30278	240	"AWI"	240	4531	5540	5082	5	0	8	0	0	0	183	0	0	0	0	0	2	1	123	0	1	17	0	0	5	8	1	28	0	0	1	7	218	0	0	0	27	1	0	0	0	0	0	0	0	0	0	0	3	48	11	0
1362	1397	"Tourbière de Lanoraie JOSEPH"	45.99194	-73.30278	260	"AWI"	260	4821	5667	5292	3	0	0	0	1	0	208	0	0	2	0	0	1	0	84	0	0	30	0	2	2	5	0	17	0	0	2	0	0	0	0	0	66	0	0	0	0	0	0	1	0	0	1	0	3	113	15	0
