"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Celtis"	"Cephalanthus"	"Corylus"	"Cupressus"	"Cyperaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Ostrya.Carpinus"	"Picea"	"Pinaceae"	"Pinus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
337	345	"Carter Site"	40.21667	-84.68056	263	"AWI"	263	15446	16683	16051	0	2	2	2	3	21	3	3	0	0	0	0	42	1	34	5	0	0	27	83	104	0	86	0	27	0	16	1	0	0	4
337	345	"Carter Site"	40.21667	-84.68056	278	"AWI"	278	15566	16851	16194	0	0	2	0	1	6	2	0	0	1	0	0	35	0	0	4	1	0	13	79	110	0	9	1	13	0	3	1	0	0	4
337	345	"Carter Site"	40.21667	-84.68056	288	"AWI"	288	15631	16959	16287	0	2	7	3	5	26	8	1	0	2	0	0	46	0	25	4	1	1	15	140	175	0	24	0	32	0	6	2	0	0	3
337	345	"Carter Site"	40.21667	-84.68056	298	"AWI"	298	15709	17086	16379	0	0	1	0	2	9	1	0	1	0	0	0	29	0	26	3	1	1	8	119	81	0	25	2	22	0	3	0	0	0	4
337	345	"Carter Site"	40.21667	-84.68056	308	"AWI"	308	15785	17171	16480	0	2	0	0	1	30	3	2	0	0	1	0	68	0	21	2	0	1	12	142	174	0	40	1	37	0	4	2	0	0	3
337	345	"Carter Site"	40.21667	-84.68056	316	"AWI"	316	15838	17275	16561	1	0	3	1	0	7	1	0	1	1	3	0	34	0	0	2	0	0	6	95	94	3	10	0	23	0	3	0	0	0	3
337	345	"Carter Site"	40.21667	-84.68056	328	"AWI"	328	15922	17389	16675	0	2	0	1	4	19	6	3	1	1	4	0	48	0	45	6	0	0	29	55	42	0	89	0	33	0	10	1	0	0	12
337	345	"Carter Site"	40.21667	-84.68056	338	"AWI"	338	15985	17477	16774	0	0	4	1	10	4	2	0	0	0	1	0	61	0	10	3	0	0	10	80	100	0	16	0	24	0	3	1	1	0	3
337	345	"Carter Site"	40.21667	-84.68056	348	"AWI"	348	16055	17588	16866	0	2	2	1	9	5	1	2	2	0	1	0	85	1	17	7	0	0	12	111	186	0	17	2	51	2	3	0	0	0	7
337	345	"Carter Site"	40.21667	-84.68056	358	"AWI"	358	16142	17660	16965	0	0	3	2	5	5	9	1	0	0	1	0	43	1	0	4	0	0	1	39	60	0	10	1	36	0	2	1	0	0	7
337	345	"Carter Site"	40.21667	-84.68056	368	"AWI"	368	16225	17757	17063	0	1	5	3	6	9	1	0	0	0	2	0	111	0	0	3	2	2	14	138	216	0	26	1	36	1	2	1	0	0	7
337	345	"Carter Site"	40.21667	-84.68056	378	"AWI"	378	16301	17847	17163	1	3	3	2	3	11	4	0	3	0	0	0	48	0	12	1	0	0	3	67	77	0	23	1	34	1	2	0	0	0	4
337	345	"Carter Site"	40.21667	-84.68056	388	"AWI"	388	16372	17914	17262	1	0	5	1	10	7	3	0	0	0	1	0	22	0	0	6	0	2	5	249	184	0	7	0	31	0	3	2	0	0	6
337	345	"Carter Site"	40.21667	-84.68056	398	"AWI"	398	16434	18023	17363	0	0	6	1	3	6	4	0	0	0	2	2	75	0	0	12	2	0	5	32	380	0	14	0	28	1	4	1	0	0	2
337	345	"Carter Site"	40.21667	-84.68056	448	"AWI"	448	16702	18391	17665	0	0	0	2	2	0	0	1	0	0	0	1	29	0	0	3	0	2	1	102	13	0	4	0	7	0	0	0	0	0	0
337	345	"Carter Site"	40.21667	-84.68056	468	"AWI"	468	16806	18543	17772	0	0	0	1	0	2	0	0	0	0	0	0	31	0	0	0	0	0	0	71	17	0	0	0	2	0	0	0	0	0	0
337	345	"Carter Site"	40.21667	-84.68056	488	"AWI"	488	16916	18692	17884	1	0	0	0	1	0	0	0	0	0	0	0	58	0	0	1	0	2	0	224	34	0	2	0	3	0	1	0	0	0	0
337	345	"Carter Site"	40.21667	-84.68056	508	"AWI"	508	17022	18844	17998	0	0	0	0	0	2	0	0	0	0	0	0	33	0	0	0	0	4	0	280	55	0	5	0	2	0	0	0	0	0	1
337	345	"Carter Site"	40.21667	-84.68056	528	"AWI"	528	17132	18975	18104	2	1	0	0	2	0	1	0	0	0	0	0	20	0	0	3	1	2	0	285	46	13	5	0	3	1	0	0	0	0	0
337	345	"Carter Site"	40.21667	-84.68056	548	"AWI"	548	17240	19108	18216	4	0	0	0	1	4	0	0	0	0	0	0	16	0	0	2	0	0	0	294	44	22	3	0	6	0	0	0	0	0	0
337	345	"Carter Site"	40.21667	-84.68056	568	"AWI"	568	17346	19237	18325	2	0	0	1	7	7	0	0	0	0	0	0	28	0	0	6	0	6	0	141	90	22	3	0	12	0	0	1	0	0	0
337	345	"Carter Site"	40.21667	-84.68056	588	"AWI"	588	17455	19354	18437	0	0	0	0	5	4	0	0	0	0	0	0	22	0	0	3	0	0	1	102	86	0	3	0	13	0	0	0	0	0	0
337	345	"Carter Site"	40.21667	-84.68056	608	"AWI"	608	17572	19481	18547	0	0	0	0	1	0	0	0	0	0	0	0	36	0	0	2	0	0	0	56	53	0	2	0	2	0	0	0	0	0	0
337	345	"Carter Site"	40.21667	-84.68056	648	"AWI"	648	17786	19721	18765	2	0	0	1	1	0	0	0	0	0	0	0	30	0	0	6	0	0	0	252	113	0	1	0	2	0	0	0	1	0	0
337	345	"Carter Site"	40.21667	-84.68056	688	"AWI"	688	17991	19991	18988	2	0	11	1	10	4	0	2	0	0	2	0	33	0	0	6	0	7	3	242	82	24	6	0	26	0	0	4	0	0	0
337	345	"Carter Site"	40.21667	-84.68056	708	"AWI"	708	18106	20125	19099	0	0	2	4	13	8	3	0	0	1	0	0	41	0	0	15	0	6	2	174	108	24	12	0	9	2	0	3	1	1	1
337	345	"Carter Site"	40.21667	-84.68056	728	"AWI"	728	18210	20258	19213	0	1	8	2	39	17	3	0	0	2	0	0	38	0	0	15	0	0	9	52	24	0	13	0	35	0	0	2	0	0	0
337	345	"Carter Site"	40.21667	-84.68056	748	"AWI"	748	18314	20381	19321	1	0	0	1	0	0	0	0	0	0	0	0	23	0	0	5	0	0	0	42	68	0	0	0	5	0	0	0	0	0	0
337	345	"Carter Site"	40.21667	-84.68056	768	"AWI"	768	18424	20498	19428	5	0	2	2	12	12	1	1	0	0	0	0	30	0	0	11	0	1	2	205	63	0	0	0	24	0	0	0	0	0	0
337	345	"Carter Site"	40.21667	-84.68056	778	"AWI"	778	18478	20570	19485	1	0	19	4	37	28	10	0	0	4	4	0	51	0	0	29	0	2	9	77	87	0	8	1	51	2	10	2	0	0	0
337	345	"Carter Site"	40.21667	-84.68056	788	"AWI"	788	18540	20626	19539	2	1	3	1	37	15	7	0	0	6	0	0	54	0	0	22	0	1	6	111	144	21	7	0	27	0	6	3	0	0	0
