"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Carya"	"Cupressaceae"	"Cyperaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Larix"	"Liquidambar"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Salix"	"Sarcobataceae"	"Tilia"	"Tsuga"	"Ulmus"	"Vitaceae"
305	312	"Brophy Ditch"	43.22	-81.73	75	"AWI"	75	2699	3923	3321	6.68523676880223	0	0	0	0.557103064066852	0	0	1.39275766016713	0.557103064066852	0	3.34261838440111	11.6991643454039	3.34261838440111	0	5.01392757660167	0	0	0	0	0	0	13.9275766016713	0	1.67130919220056	1.39275766016713	0	0	8.35654596100279	0.278551532033426	0	3.62116991643454	28.9693593314763	3.62116991643454	5.57103064066852
305	312	"Brophy Ditch"	43.22	-81.73	80	"AWI"	80	2927	4128	3544	3.54430379746835	0	0.759493670886076	0	0.253164556962025	0	0	1.0126582278481	0.759493670886076	0	6.83544303797468	5.31645569620253	2.27848101265823	0	11.3924050632911	0	0	0	0	0.253164556962025	0	6.83544303797468	0	0.253164556962025	0.506329113924051	0	0	4.81012658227848	0	0	1.26582278481013	47.8481012658228	5.06329113924051	1.0126582278481
305	312	"Brophy Ditch"	43.22	-81.73	85	"AWI"	85	3167	4321	3768	2.89855072463768	0.289855072463768	0	0	0.869565217391304	0	0	1.73913043478261	0.289855072463768	0.289855072463768	4.34782608695652	15.3623188405797	1.44927536231884	0	5.50724637681159	0	0	0	0	1.15942028985507	0	6.66666666666667	0	0.289855072463768	2.02898550724638	0	0	10.7246376811594	0	0	1.15942028985507	34.4927536231884	10.1449275362319	0.289855072463768
305	312	"Brophy Ditch"	43.22	-81.73	90	"AWI"	90	3406	4529	3995	6.72782874617737	0.305810397553517	0	0	0	0	0	0.917431192660551	0.917431192660551	0.917431192660551	0	16.8195718654434	3.97553516819572	0	5.19877675840979	0	0	0	0	1.52905198776758	0.305810397553517	7.03363914373089	0	2.44648318042813	2.44648318042813	0	0	13.1498470948012	0.305810397553517	0	1.8348623853211	25.6880733944954	8.86850152905199	0.611620795107034
305	312	"Brophy Ditch"	43.22	-81.73	95	"AWI"	95	3654	4723	4222	4.92753623188406	0.869565217391304	0.579710144927536	0	0	0	0	0.579710144927536	1.15942028985507	0	2.02898550724638	15.6521739130435	3.47826086956522	0.289855072463768	9.27536231884058	0	0	0	0.289855072463768	1.44927536231884	0	8.11594202898551	0	0.579710144927536	1.15942028985507	0	0.289855072463768	14.2028985507246	0.289855072463768	0	0.579710144927536	25.7971014492754	8.40579710144928	0
305	312	"Brophy Ditch"	43.22	-81.73	100	"AWI"	100	3901	4913	4444	6.91489361702128	0.265957446808511	0	0	1.06382978723404	0	0	1.06382978723404	0.797872340425532	0.265957446808511	1.59574468085106	5.31914893617021	2.65957446808511	0	13.563829787234	0	0	0	0	0.265957446808511	0	18.8829787234043	0	1.32978723404255	1.86170212765957	0	0	10.3723404255319	0	0	0.797872340425532	28.7234042553192	4.25531914893617	0
305	312	"Brophy Ditch"	43.22	-81.73	105	"AWI"	105	4149	5107	4665	2.35602094240838	0	0.261780104712042	0	0	1.30890052356021	0	0.523560209424084	0.523560209424084	0	1.30890052356021	13.8743455497382	2.61780104712042	0	13.6125654450262	1.04712041884817	0	0	0	0.261780104712042	0	14.6596858638743	0	1.57068062827225	0.523560209424084	0	0	19.6335078534031	0	0	1.83246073298429	17.5392670157068	6.02094240837696	0.523560209424084
305	312	"Brophy Ditch"	43.22	-81.73	110	"AWI"	110	4414	5283	4885	2.45231607629428	0.272479564032698	0.544959128065395	0	0.817438692098093	0	0	1.36239782016349	2.17983651226158	0.544959128065395	4.63215258855586	14.7138964577657	2.17983651226158	0	8.99182561307902	0.817438692098093	0	0	0	0.272479564032698	0	12.2615803814714	0	1.08991825613079	0.544959128065395	0	0	19.3460490463215	0.544959128065395	0	1.36239782016349	16.8937329700272	8.17438692098093	0
305	312	"Brophy Ditch"	43.22	-81.73	115	"AWI"	115	4702	5450	5110	6.25	0	0.297619047619048	0	0.297619047619048	0	0	0	0.297619047619048	0	0.892857142857143	4.46428571428571	0	0	4.76190476190476	0	0	0	0	0	0	25.8928571428571	0	0	0	0	0	3.27380952380952	0	0.297619047619048	1.19047619047619	51.4880952380952	0.595238095238095	0
305	312	"Brophy Ditch"	43.22	-81.73	120	"AWI"	120	4997	5603	5336	5.26315789473684	0	0.554016620498615	0	0.277008310249307	0	0	0.277008310249307	0	0.277008310249307	0.554016620498615	1.66204986149584	0.831024930747922	0	9.69529085872576	0	0	0.277008310249307	0	0	0.554016620498615	11.0803324099723	0	0.831024930747922	0.277008310249307	0	0	5.26315789473684	0.277008310249307	0	0.831024930747922	58.1717451523546	3.04709141274238	0
305	312	"Brophy Ditch"	43.22	-81.73	125	"AWI"	125	5246	5974	5598	10.3448275862069	0	0.862068965517241	0	0	0	0	0	0	0	0	6.03448275862069	0	0	9.48275862068965	0	0	0	0	0	0	11.2068965517241	0	0	0	0	0	1.72413793103448	0	0	2.58620689655172	56.0344827586207	1.72413793103448	0
305	312	"Brophy Ditch"	43.22	-81.73	130	"AWI"	130	5493	6304	5879	7.01754385964912	1.75438596491228	0	0	0	0	0	0	0.87719298245614	0.87719298245614	0	1.75438596491228	0	0	8.7719298245614	0	0	0	0	0	0.87719298245614	7.01754385964912	0	0	0.87719298245614	0	0	0	0	0	9.64912280701754	56.140350877193	4.3859649122807	0
305	312	"Brophy Ditch"	43.22	-81.73	135	"AWI"	135	5702	6764	6173	0	0	0	0	0	0	0	8.91089108910891	0	0	0.99009900990099	0	0	0	0	0	0	0	0	0	49.5049504950495	36.6336633663366	0	0	0.99009900990099	0	0	1.98019801980198	0	0	0	0	0.99009900990099	0
305	312	"Brophy Ditch"	43.22	-81.73	140	"AWI"	140	5928	7196	6477	0	0	0	0	0	0	0	0.943396226415094	0.943396226415094	0	3.77358490566038	0	0	0	1.88679245283019	0	0	0	0	0	51.8867924528302	38.6792452830189	0	0	0.943396226415094	0	0	0.943396226415094	0	0	0	0	0	0
