"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Ilex"	"Isoëtes"	"Juniperus"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Solanaceae"	"Taxus"	"Thalictrum"	"Tofieldiaceae"	"Ulmus"	"Viburnum"
1413	1450	"Kennys Pond"	47.59028	-52.71389	190	"AWI"	190	3659	4710	4115	16	0	42	0	0	123	0	0	0	0	0	0	1	5	0	1	52	0	16	0	124	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	195	"AWI"	195	3982	4837	4286	25	1	45	0	0	90	0	0	0	0	0	0	0	6	0	2	37	0	36	0	104	5	0	1	0	1	3	0	0	3	0	1	0	0	0	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	200	"AWI"	200	4087	5167	4462	44	0	13	1	0	97	2	0	0	0	0	0	1	4	0	2	20	0	9	0	150	24	0	0	0	1	3	0	0	0	0	0	2	1	1	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	205	"AWI"	205	4319	5522	4849	25	1	13	0	0	133	0	0	0	0	0	0	1	1	0	0	28	0	18	0	102	8	1	0	0	1	6	0	0	0	0	5	0	0	1	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	210	"AWI"	210	4427	6167	5210	9	0	5	0	0	171	0	0	0	0	1	0	0	3	1	0	19	0	20	0	88	4	1	0	0	0	1	1	1	0	0	0	0	0	0	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	220	"AWI"	220	5061	6652	6050	12	0	8	0	0	238	0	0	0	0	0	0	2	2	0	0	0	6	0	0	79	1	1	0	1	0	3	0	0	0	0	3	0	0	0	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	230	"AWI"	230	6377	7061	6705	6	0	3	0	0	231	0	0	0	0	0	0	1	0	0	0	1	0	17	0	40	13	1	0	0	0	1	0	0	0	0	0	0	0	0	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	240	"AWI"	240	6588	7955	7101	23	2	3	1	0	291	0	0	0	0	0	0	1	2	0	0	0	1	18	0	83	3	2	0	0	1	0	0	0	1	0	3	0	0	0	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	250	"AWI"	250	6872	8479	7555	17	0	4	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	19	0	96	6	0	0	1	0	0	0	0	0	0	0	0	0	1	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	260	"AWI"	260	7174	8921	8018	16	0	9	0	0	195	0	0	0	0	0	1	10	1	0	0	0	2	12	0	105	0	0	1	0	2	2	0	0	0	0	1	0	2	0	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	270	"AWI"	270	7565	9255	8477	23	0	13	0	0	247	0	0	0	0	0	0	1	0	0	0	0	4	47	0	57	11	0	0	1	0	0	0	0	0	0	0	0	0	1	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	280	"AWI"	280	8050	9567	8929	39	0	18	0	0	296	0	0	1	0	0	0	5	9	0	0	0	15	64	0	73	16	2	2	0	1	2	0	0	0	0	0	5	0	2	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	290	"AWI"	290	8730	9858	9364	4	1	5	0	0	250	0	0	0	0	0	0	1	1	0	0	1	4	28	0	77	10	2	0	3	0	0	0	0	1	0	0	2	0	0	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	295	"AWI"	295	9190	10040	9556	3	0	4	0	0	143	0	0	0	0	0	0	2	2	0	0	0	7	48	0	113	6	0	0	1	0	0	0	0	1	0	0	3	0	0	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	297.5	"AWI"	297.5	9298	10182	9678	5	0	4	0	0	198	0	0	0	0	0	0	2	8	0	0	0	26	134	0	42	7	4	0	0	0	1	0	0	0	0	0	5	0	0	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	299	"AWI"	299	9340	10316	9744	1	0	5	0	0	148	0	0	0	0	0	0	7	7	0	0	1	0	108	0	5	20	7	0	0	0	0	0	0	2	0	0	2	0	1	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	302	"AWI"	302	9441	10547	9893	0	0	0	2	0	6	1	0	1	0	0	0	24	1	0	0	0	0	3	0	33	20	6	0	0	0	1	0	0	0	0	0	0	0	0	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	304.5	"AWI"	304.5	9518	10788.5	10018	0	0	0	3	0	6	2	0	0	0	0	0	19	9	0	1	0	0	5	0	27	26	3	0	0	0	2	0	1	14	0	0	0	0	0	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	308	"AWI"	308	9580	11247	10178	0	0	0	4	0	37	0	0	0	0	0	0	8	5	0	0	0	0	13	0	11	4	14	0	0	0	2	0	0	1	0	0	0	0	0	0
