"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Caryophyllaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rhamnaceae"	"Rosaceae"	"Salix"	"Tilia"	"Tsuga"	"Ulmus"
360	369	"Chippewa Bog"	43.12389	-83.24111	556	"AWI"	556	5354	6770	5982	0	2.52525252525253	0.505050505050505	0	0	0	3.03030303030303	0	0	0	0	0	0	0	11.6161616161616	2.52525252525253	0	0	0	0	1.01010101010101	0	0	4.54545454545455	0	0	0.505050505050505	0	63.6363636363636	0	0	0.505050505050505	1.51515151515152	0	8.08080808080808
360	369	"Chippewa Bog"	43.12389	-83.24111	566	"AWI"	566	5507	6965	6164	0	9.9009900990099	0	0	0	0	4.95049504950495	0.495049504950495	0	0	0	0	0	0	10.8910891089109	2.97029702970297	0	0	0.495049504950495	0.99009900990099	0	0	0	8.41584158415842	0	0.495049504950495	1.48514851485149	0.495049504950495	39.1089108910891	0	0	2.97029702970297	0	0	16.3366336633663
360	369	"Chippewa Bog"	43.12389	-83.24111	576	"AWI"	576	5656	7158	6343	0	5.91133004926108	0.492610837438424	0.492610837438424	0	0	3.44827586206897	1.47783251231527	0	0	0	0	0	0	13.3004926108374	0.985221674876847	0.492610837438424	0	0	0	0	0	0	1.47783251231527	0	0.492610837438424	0.985221674876847	0.985221674876847	57.1428571428571	0	0	0.492610837438424	1.97044334975369	0	9.85221674876847
360	369	"Chippewa Bog"	43.12389	-83.24111	586	"AWI"	586	5798	7332	6521	0	9.40594059405941	0	0.495049504950495	0.495049504950495	0	3.46534653465347	2.97029702970297	0	0.495049504950495	0.495049504950495	0.495049504950495	0	0	6.43564356435644	0.99009900990099	0	0	0	0.495049504950495	0.99009900990099	0.495049504950495	0	9.40594059405941	0	0	1.48514851485149	0.99009900990099	38.6138613861386	0	0.495049504950495	0	2.47524752475248	0	18.8118811881188
360	369	"Chippewa Bog"	43.12389	-83.24111	596	"AWI"	596	5945	7513	6699	0	1.47783251231527	1.47783251231527	0	0	0	3.94088669950739	0.492610837438424	0	0	0.985221674876847	0	0	0	4.92610837438424	3.44827586206897	0	0	0	0	0	0	0	3.44827586206897	0	0	0.985221674876847	2.46305418719212	62.5615763546798	0	0	0.492610837438424	0	0.492610837438424	12.807881773399
360	369	"Chippewa Bog"	43.12389	-83.24111	606	"AWI"	606	6119	7681	6869	0	6.93069306930693	0.99009900990099	0.495049504950495	0	0	6.43564356435644	0.99009900990099	0	0	0	0	0	0	7.42574257425743	3.46534653465347	0.495049504950495	0	0	0.99009900990099	0.99009900990099	0	0	4.95049504950495	0	0	1.48514851485149	1.98019801980198	30.6930693069307	0	0	2.47524752475248	4.95049504950495	0.99009900990099	23.2673267326733
360	369	"Chippewa Bog"	43.12389	-83.24111	616	"AWI"	616	6283	7828	7056	0	2.01005025125628	1.50753768844221	1.00502512562814	0	0	7.53768844221105	1.00502512562814	0	1.00502512562814	0.50251256281407	0	0.50251256281407	0	4.52261306532663	0	0	0	0	0	0	0.50251256281407	0	4.02010050251256	0	0	0.50251256281407	1.00502512562814	58.7939698492462	0	0	1.00502512562814	1.00502512562814	0	13.5678391959799
360	369	"Chippewa Bog"	43.12389	-83.24111	626	"AWI"	626	6451	7987	7227	0	10.2439024390244	0	0	0	0	9.75609756097561	3.90243902439024	0	0	0	0.48780487804878	0	0	7.31707317073171	2.92682926829268	0	0	0	0	0	0	0	11.219512195122	0	0	0.975609756097561	0	35.609756097561	0	0	2.92682926829268	2.92682926829268	0.48780487804878	11.219512195122
360	369	"Chippewa Bog"	43.12389	-83.24111	636	"AWI"	636	6615	8154	7402	0	1.95121951219512	0.975609756097561	0.48780487804878	0	0	11.219512195122	0	0	0.48780487804878	0.975609756097561	0	1.95121951219512	0	0	0	0	0	0	0	0	0	0	11.7073170731707	0	0	0.48780487804878	0	59.0243902439024	0	0	1.95121951219512	0	0.48780487804878	8.29268292682927
360	369	"Chippewa Bog"	43.12389	-83.24111	646	"AWI"	646	6809	8311	7583	0	12.9807692307692	0	0	0	0	5.28846153846154	3.36538461538462	0	0	0.480769230769231	0	0	0	7.69230769230769	0.961538461538462	0.480769230769231	0	0	0	0.480769230769231	0	0.480769230769231	18.75	0	0	0.480769230769231	0.961538461538462	28.8461538461538	0	0.480769230769231	2.40384615384615	1.44230769230769	1.44230769230769	12.9807692307692
360	369	"Chippewa Bog"	43.12389	-83.24111	656	"AWI"	656	6960	8488	7772	0	1	0.5	0.5	0	1	7	0	0	0	0	0	0	0	2	4.5	0	0	0	0	1	0	4.5	19	0	0	0	0	51.5	0	0	0	2.5	0	5
360	369	"Chippewa Bog"	43.12389	-83.24111	666	"AWI"	666	7166	8616	7950	0	6.34146341463415	0	0.48780487804878	0	0	2.92682926829268	0.48780487804878	0	0	0	0	0	0.48780487804878	1.95121951219512	2.4390243902439	0.48780487804878	0	0	0	1.46341463414634	0	0	19.5121951219512	0	0	0.48780487804878	1.46341463414634	43.9024390243902	0	0	0.48780487804878	4.39024390243902	0.48780487804878	12.1951219512195
360	369	"Chippewa Bog"	43.12389	-83.24111	676	"AWI"	676	7361	8746	8129	0	2.5	0.5	0.5	0	0	7	0	0	0.5	1	0.5	0	0	3	2	0	0	0	0	1	1	0	15.5	0	0.5	0	1	49	0	0	2.5	4	0	8
360	369	"Chippewa Bog"	43.12389	-83.24111	686	"AWI"	686	7568	8884	8303	0	10.4477611940298	0	0.995024875621891	0.497512437810945	0	5.97014925373134	1.49253731343284	0	0.497512437810945	0.995024875621891	0	0	0	0.995024875621891	1.99004975124378	0	0	0	0	0.995024875621891	0	0	10.4477611940298	0	0	0.995024875621891	1.49253731343284	42.2885572139304	0	0.995024875621891	2.48756218905473	2.48756218905473	0	13.9303482587065
360	369	"Chippewa Bog"	43.12389	-83.24111	696	"AWI"	696	7774	9018	8486	0	1.51515151515152	1.01010101010101	0.505050505050505	0	0	9.09090909090909	0.505050505050505	0.505050505050505	0.505050505050505	0.505050505050505	0	0	0	5.55555555555556	0.505050505050505	0	0	0	0	0.505050505050505	1.01010101010101	0.505050505050505	13.1313131313131	0	0	0.505050505050505	0	49.4949494949495	0	0	1.01010101010101	5.55555555555556	0	8.08080808080808
360	369	"Chippewa Bog"	43.12389	-83.24111	706	"AWI"	706	7973	9144	8664	0	7.84313725490196	0	0	0	0.980392156862745	9.80392156862745	0	0	0.490196078431373	1.47058823529412	0	0	0	2.45098039215686	3.92156862745098	0	0	0	0.490196078431373	0.490196078431373	0.980392156862745	1.47058823529412	11.7647058823529	0	0	0	0.490196078431373	42.156862745098	0	0.490196078431373	2.45098039215686	0.980392156862745	0	11.2745098039216
360	369	"Chippewa Bog"	43.12389	-83.24111	716	"AWI"	716	8181	9257	8841	0	2.94117647058824	0.490196078431373	0	0	2.45098039215686	9.31372549019608	0.490196078431373	0	0.980392156862745	0	0	0	0	2.94117647058824	2.45098039215686	0	0	0	0	0.980392156862745	0	0.490196078431373	27.4509803921569	0	0	0	0	40.6862745098039	0	0	0.980392156862745	1.96078431372549	0	5.3921568627451
360	369	"Chippewa Bog"	43.12389	-83.24111	726	"AWI"	726	8455	9361	9021	0	2.08333333333333	0	0.833333333333333	0	0	4.58333333333333	0.416666666666667	0	0.416666666666667	0.833333333333333	0.416666666666667	0	0	1.66666666666667	1.66666666666667	0.416666666666667	0.416666666666667	0	0.416666666666667	0.833333333333333	1.25	7.91666666666667	42.0833333333333	0	0	0.833333333333333	1.66666666666667	20	0	0.416666666666667	2.5	0	0.833333333333333	7.5
360	369	"Chippewa Bog"	43.12389	-83.24111	731	"AWI"	731	8618	9403	9103	0	0.956937799043062	0	0	0.478468899521531	0	6.69856459330144	0	0.478468899521531	0.478468899521531	0.478468899521531	0.478468899521531	0	0	1.43540669856459	2.39234449760766	0	0.478468899521531	0	0	0.478468899521531	0.956937799043062	1.91387559808612	19.6172248803828	0	0	0.478468899521531	1.43540669856459	50.2392344497608	0	0	1.43540669856459	0.956937799043062	0.478468899521531	7.6555023923445
360	369	"Chippewa Bog"	43.12389	-83.24111	736	"AWI"	736	8761	9441	9187	0	0	0	0.5	0	1.5	5.5	0	0	0	0	0	0	0	1.5	4.5	0	0	0	0	0.5	0	4	14.5	0	0	1.5	0.5	56.5	0	0	1	2	0	6
360	369	"Chippewa Bog"	43.12389	-83.24111	741	"AWI"	741	8897	9491	9271	0	1.00502512562814	0.50251256281407	0	1.00502512562814	0	9.54773869346734	0.50251256281407	0	0	1.00502512562814	1.00502512562814	0	0.50251256281407	1.00502512562814	2.51256281407035	0	0	0	0	0.50251256281407	3.51758793969849	3.51758793969849	11.0552763819095	0	0	0.50251256281407	2.01005025125628	47.7386934673367	0	0	2.51256281407035	1.50753768844221	0	8.5427135678392
360	369	"Chippewa Bog"	43.12389	-83.24111	746	"AWI"	746	9031	9529	9350	0	5.63380281690141	0	0.938967136150235	0	0	6.10328638497653	0	0	0.469483568075117	3.28638497652582	0	0	0	0	4.69483568075117	0	0	0	0.469483568075117	0.469483568075117	0	0.938967136150235	38.4976525821596	0	0	0.938967136150235	0.938967136150235	23.4741784037559	0	0	3.75586854460094	0	0.469483568075117	8.92018779342723
360	369	"Chippewa Bog"	43.12389	-83.24111	756	"AWI"	756	9170	9752	9501	0	2.31481481481481	0.925925925925926	0.925925925925926	0	0	3.7037037037037	0	0	0	0	0	0	0	0.462962962962963	0.462962962962963	0	0	0	0	0.462962962962963	0	3.7037037037037	56.9444444444444	0	0	0.925925925925926	0.462962962962963	24.0740740740741	0	0	0.925925925925926	0.462962962962963	0	3.24074074074074
360	369	"Chippewa Bog"	43.12389	-83.24111	766	"AWI"	766	9264	9994	9625	0	2.72727272727273	0	0	0	0	3.18181818181818	0.454545454545455	0	0	1.36363636363636	0	0	0	0.454545454545455	3.63636363636364	0.454545454545455	0	0	0	0	2.27272727272727	9.09090909090909	43.1818181818182	0	0	0.454545454545455	0.909090909090909	17.2727272727273	0	0.454545454545455	3.18181818181818	0.454545454545455	0	10.4545454545455
