"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Cercocarpus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Fabaceae"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Pseudotsuga"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Ulmus"
520	534	"Cub Lake"	44.125	-111.18333	140	"AWI"	140	10940	12420	11823	2	0	0	6	0	88	6	0	0	0	265	0	0	0	0	8	0	0	3	0	12	70	0	15	0	0	0	0	0	0	0	1	2	2	0	0
520	534	"Cub Lake"	44.125	-111.18333	150	"AWI"	150	11359	12596	12151	0	0	1	8	0	103	0	6	0	0	406	0	0	0	0	0	0	0	8	0	3	20	0	25	0	0	0	0	0	0	0	5	1	3	0	0
520	534	"Cub Lake"	44.125	-111.18333	160	"AWI"	160	11906	12757	12483	1	0	0	10	1	110	0	10	0	0	123	0	0	0	0	4	8	1	18	0	4	60	0	53	0	0	0	0	0	0	0	3	7	1	0	0
520	534	"Cub Lake"	44.125	-111.18333	170	"AWI"	170	12158	13415	12771	0	0	1	14	1	141	0	5	0	0	31	0	0	0	1	2	5	0	4	0	3	51	0	31	0	0	0	0	2	0	1	6	3	8	0	0
520	534	"Cub Lake"	44.125	-111.18333	180	"AWI"	180	12357	14012	13070	0	0	1	6	1	176	0	7	0	0	20	0	0	0	0	1	4	0	3	0	2	41	0	33	0	0	0	0	1	0	0	8	3	9	0	1
520	534	"Cub Lake"	44.125	-111.18333	200	"AWI"	200	12804	14999	13721	0	0	2	9	1	172	11	1	0	0	22	0	0	0	0	4	4	0	7	0	2	51	0	36	0	0	0	0	0	0	1	5	7	5	0	0
520	534	"Cub Lake"	44.125	-111.18333	210	"AWI"	210	13056	15467	14035	0	0	0	8	0	129	18	3	0	0	38	0	0	0	0	1	0	0	15	0	2	46	0	43	0	0	0	0	1	2	8	2	12	2	0	0
520	534	"Cub Lake"	44.125	-111.18333	220	"AWI"	220	13270	15898	14372	1	0	0	5	1	97	0	0	1	1	41	0	0	0	0	5	0	0	21	0	2	30	0	67	1	0	0	0	0	0	1	5	21	4	0	0
520	534	"Cub Lake"	44.125	-111.18333	230	"AWI"	230	13496	16340	14676	0	0	0	10	1	97	0	1	1	0	38	0	0	0	0	2	0	0	20	0	2	26	0	68	0	0	0	0	3	0	5	1	10	4	1	0
520	534	"Cub Lake"	44.125	-111.18333	240	"AWI"	240	13710	16771	15016	0	0	0	2	1	118	0	2	0	2	43	0	0	0	0	3	0	0	7	0	2	49	0	46	0	0	0	0	2	0	4	0	11	3	0	0
520	534	"Cub Lake"	44.125	-111.18333	250	"AWI"	250	13981	17179	15349	0	0	0	7	0	147	0	0	0	1	54	1	0	0	0	1	0	0	9	0	5	68	1	40	0	0	0	0	1	0	5	0	9	3	2	0
520	534	"Cub Lake"	44.125	-111.18333	260	"AWI"	260	14259	17598	15674	0	0	1	3	0	149	0	0	2	0	49	0	0	0	0	0	0	0	6	0	2	57	0	42	1	0	0	0	1	0	0	0	4	1	0	0
520	534	"Cub Lake"	44.125	-111.18333	270	"AWI"	270	14498	17987	16003	0	0	0	6	0	127	13	0	0	0	39	0	0	0	0	4	0	1	2	0	2	52	0	62	0	0	0	0	0	0	0	0	4	1	0	0
520	534	"Cub Lake"	44.125	-111.18333	280	"AWI"	280	14776	18383	16349	0	0	0	5	0	123	0	1	0	0	57	0	0	0	0	2	0	0	6	0	4	69	0	28	0	0	0	0	0	0	2	1	3	0	0	0
520	534	"Cub Lake"	44.125	-111.18333	300	"AWI"	300	15309	19237	17005	1	0	0	3	0	131	16	1	0	1	33	0	1	0	0	2	0	0	3	0	1	52	0	41	0	0	0	0	0	0	2	0	6	1	0	0
520	534	"Cub Lake"	44.125	-111.18333	310	"AWI"	310	15547	19621	17351	1	0	0	2	0	130	9	0	0	0	19	0	0	1	0	2	0	0	3	0	4	50	0	42	0	0	0	1	0	0	2	0	6	1	0	0
