"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Campanulaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Fagus"	"Indeterminable"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"
1109	1142	"Iglutalik Lake"	66.135	-66.08333	44	"AWI"	44	1874	3188	2519	54	2	0	0	13	0	0	24	56	2	7	0	6	11	20	0	0	0	0	77	1
1109	1142	"Iglutalik Lake"	66.135	-66.08333	46	"AWI"	46	2052	3294	2665	62	1	0	0	13	0	0	49	33	0	10	0	13	5	41	0	1	0	0	52	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	48	"AWI"	48	2180	3426	2812	53	4	0	0	9	1	2	47	51	0	10	0	8	6	54	0	0	0	0	35	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	50	"AWI"	50	2285	3622	2955	29	3	0	0	6	0	0	77	50	0	7	2	7	6	52	0	0	0	0	40	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	52	"AWI"	52	2360	3856	3096	36	0	0	0	14	0	1	45	57	0	11	0	4	8	48	0	1	0	0	44	4
1109	1142	"Iglutalik Lake"	66.135	-66.08333	54	"AWI"	54	2421	4131	3236	28	2	0	0	3	0	0	65	43	0	3	0	4	7	64	0	0	0	1	37	2
1109	1142	"Iglutalik Lake"	66.135	-66.08333	56	"AWI"	56	2469	4419	3373	53	3	0	0	14	0	0	49	38	0	14	0	6	5	66	0	0	0	0	28	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	58	"AWI"	58	2508	4726	3506	41	0	0	0	9	0	0	69	25	0	4	2	6	11	66	0	0	0	0	38	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	60	"AWI"	60	2692	4774	3617	25	0	0	0	16	0	0	74	32	0	7	0	7	8	65	0	0	0	0	46	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	62	"AWI"	62	2825	4823	3737	40	0	0	0	12	0	0	62	26	0	1	2	10	9	61	0	0	0	0	42	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	64	"AWI"	64	2955	4877	3865	65	3	0	0	13	3	3	135	65	0	37	0	7	13	134	0	0	0	0	86	1
1109	1142	"Iglutalik Lake"	66.135	-66.08333	66	"AWI"	66	3077	4940	3986	35	2	1	0	13	0	0	63	40	0	4	2	9	16	44	0	0	0	0	50	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	68	"AWI"	68	3173	5004	4114	51	0	0	0	7	0	0	70	53	0	10	0	8	9	43	0	0	0	0	27	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	70	"AWI"	70	3249	5074	4247	43	0	0	0	13	0	1	73	25	0	4	0	4	7	60	0	0	0	0	40	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	72	"AWI"	72	3326	5158	4377	31	2	1	0	12	0	1	72	52	0	4	0	10	9	42	0	0	0	0	35	2
1109	1142	"Iglutalik Lake"	66.135	-66.08333	74	"AWI"	74	3405	5271	4504	45	0	0	0	11	0	2	71	35	0	5	2	9	12	55	0	1	0	3	42	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	76	"AWI"	76	3465	5418	4620	52	5	0	0	14	0	1	62	31	0	3	1	9	19	36	0	0	0	0	39	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	78	"AWI"	78	3575	5527	4725	49	0	0	0	12	0	1	64	45	0	16	0	9	15	46	0	0	0	0	21	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	80	"AWI"	80	3750	5560	4800	44	0	0	0	7	0	0	91	39	0	1	0	7	3	56	0	0	0	0	26	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	82	"AWI"	82	3932	5591	4879	37	0	0	0	3	2	0	74	38	0	3	0	3	4	69	0	0	0	0	32	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	84	"AWI"	84	4079	5630	4956	38	0	0	0	9	0	1	83	44	0	1	2	5	7	48	0	0	0	0	17	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	86	"AWI"	86	4201	5669	5034	33	0	0	0	3	0	1	115	20	0	3	2	6	10	58	0	0	0	0	13	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	88	"AWI"	88	4318	5714	5121	23	0	0	0	6	0	4	88	21	0	2	0	7	4	80	0	2	0	0	10	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	90	"AWI"	90	4412	5778	5209	45	0	0	0	10	0	0	100	27	0	5	0	7	11	58	0	0	0	0	10	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	100	"AWI"	100	4736	6265	5568	45	0	2	0	19	0	0	91	40	0	12	6	4	1	42	0	0	0	0	12	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	110	"AWI"	110	4983	6487	5792	50	0	0	0	15	1	1	84	27	0	7	0	9	4	49	0	0	0	0	10	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	120	"AWI"	120	5237	6759	6009	103	3	2	0	17	1	0	65	19	0	9	0	4	5	40	0	0	0	0	9	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	130	"AWI"	130	5486	6940	6242	32	0	0	0	6	0	0	81	23	0	7	0	5	10	75	0	0	0	0	14	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	140	"AWI"	140	5819	7161	6471	12	0	0	0	1	0	0	92	43	0	8	0	2	5	65	0	0	0	0	10	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	150	"AWI"	150	6186	7360	6727	7	0	0	0	0	0	0	121	20	0	10	6	1	1	80	0	0	0	0	4	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	155	"AWI"	155	6281	7520	6861	7	0	0	0	0	0	0	109	32	0	20	0	2	0	60	0	2	0	0	4	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	160	"AWI"	160	6563	7631	7074	9	0	0	4	1	0	0	112	54	0	17	0	0	0	64	0	0	0	0	5	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	165	"AWI"	165	6770	7784	7295	7	0	0	0	2	0	0	123	30	0	40	0	0	0	57	0	0	0	0	0	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	170	"AWI"	170	6908	8003	7511	7	1	0	0	0	0	2	99	18	0	9	2	1	4	81	0	0	0	0	13	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	175	"AWI"	175	7028	8266	7702	0	0	0	0	1	0	14	72	27	0	7	1	0	0	84	0	0	0	0	13	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	180	"AWI"	180	7222	8350	7844	1	0	0	0	0	0	1	76	17	0	8	1	0	0	87	0	0	0	0	11	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	190	"AWI"	190	7444	8797	8126	5	0	0	0	4	0	4	79	25	0	13	0	0	0	116	0	0	0	0	0	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	200	"AWI"	200	7660	9146	8352	1	1	0	0	0	5	4	71	33	0	8	0	0	0	133	0	0	0	0	2	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	210	"AWI"	210	7817	9455	8575	3	1	0	0	3	0	5	97	32	0	3	0	0	0	87	0	0	0	0	14	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	220	"AWI"	220	8027	9692	8799	2	4	0	0	0	0	10	65	27	0	8	0	0	0	80	0	0	0	0	1	1
1109	1142	"Iglutalik Lake"	66.135	-66.08333	230	"AWI"	230	8186	9989	9034	2	1	0	0	0	0	12	95	17	0	4	0	0	0	72	0	0	0	0	4	2
1109	1142	"Iglutalik Lake"	66.135	-66.08333	240	"AWI"	240	8462	10197	9254	0	2	0	0	0	0	13	95	19	0	5	0	0	0	74	0	0	0	0	0	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	250	"AWI"	250	8635	10443	9480	0	21	0	0	0	0	0	56	32	0	8	0	0	0	65	0	0	0	0	0	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	260	"AWI"	260	8966	10648	9695	3	0	0	0	0	0	8	63	48	0	6	0	0	0	66	0	2	0	0	1	3
1109	1142	"Iglutalik Lake"	66.135	-66.08333	270	"AWI"	270	9175	10902	9905	8	0	0	0	4	0	6	50	29	0	24	0	0	2	75	0	0	0	0	0	2
1109	1142	"Iglutalik Lake"	66.135	-66.08333	280	"AWI"	280	9440	11244	10193	14	0	0	0	0	0	0	39	7	0	16	0	3	2	51	0	0	0	0	1	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	290	"AWI"	290	9579	11879	10458	26	0	0	0	1	0	0	63	32	0	2	0	5	3	91	0	0	0	0	27	0
