"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Caryophyllaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Isoëtes"	"Juglans"	"Larix"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tsuga"	"Ulmus"
1553	1594	"Lake GB1"	55.11083	-75.24889	45	"AWI"	45	2463	3236	2856	0	0	136	0	4	2	48	0	0	0	2	3	11	0	0	0	21	0	0	4	0	2	331	0	1	4	0	2	0	0	0	0	0	0	1
1553	1594	"Lake GB1"	55.11083	-75.24889	50	"AWI"	50	2796	3506	3158	1	1	208	0	6	0	68	0	0	0	3	2	11	0	0	1	21	0	1	2	0	0	486	12.5	0	0	0	1	0	0	0	2	0	0	0
1553	1594	"Lake GB1"	55.11083	-75.24889	55	"AWI"	55	3168	3797	3463	0	0	146	0	6	4	72	0	0	1	2	2	7	0	0	0	14	0	2	5	0	0	408.5	0	0	1	0	0	0	0	0	0	0	0	1
1553	1594	"Lake GB1"	55.11083	-75.24889	60	"AWI"	60	3421	4181	3779	0	0	240	0	3	0	91	0	0	0	2	1	5	0	0	1	21	0	0	5	0	0	462	9	0	3	0	0	0	0	0	0	0	0	0
1553	1594	"Lake GB1"	55.11083	-75.24889	65	"AWI"	65	3680	4566	4102	0	0	187	0	8	0	99	0	0	0	1	5	8	0	0	0	11	0	1	1	0	0	357.5	0	0	1	0	1	0	0	0	1	0	0	0
1553	1594	"Lake GB1"	55.11083	-75.24889	70	"AWI"	70	3959	4937	4425	0	0	205	0	0	0	107	0	0	0	2	0	7	0	0	1	10	0	2	5	0	0	345.5	4.5	0	3	0	1	0	0	0	2	0	0	0
1553	1594	"Lake GB1"	55.11083	-75.24889	75	"AWI"	75	4242	5279	4748	0	0	248	0	5	0	112	0	0	0	0	8	4	0	0	0	7	0	4	1	0	0	311.5	8	0	2	0	2	0	0	0	0	0	0	0
1553	1594	"Lake GB1"	55.11083	-75.24889	80	"AWI"	80	4557	5601	5069	0	0	366	1	3	0	190	0	0	0	0	1	0	0	1	1	13	0	3	3	0	0	346.5	13	0	2	0	0	0	0	0	1	0	0	0
1553	1594	"Lake GB1"	55.11083	-75.24889	85	"AWI"	85	4880	5898	5394	0	0	281	1	2	3	156	0	0	0	0	3	3	1	0	1	4	0	1	4	0	1	304	4	0	1	0	2	0	0	0	3	0	0	0
1553	1594	"Lake GB1"	55.11083	-75.24889	90	"AWI"	90	5214	6204	5718	0	0	0	1	3	4	101	0	0	0	0	5	1	0	0	1	8	0	0	4	0	0	220	0	0	2	0	0	0	0	0	0	0	0	1
1553	1594	"Lake GB1"	55.11083	-75.24889	95	"AWI"	95	5547	6492	6037	0	0	193	2	3	0	81	0	0	0	2	5	4	0	0	0	4	0	3	0	0	0	273.5	0	0	1	0	1	0	0	0	0	0	0	1
1553	1594	"Lake GB1"	55.11083	-75.24889	100	"AWI"	100	5917	6773	6352	0	0	72	2	12	4	132	1	0	0	43	23	22	0	0	1	11	0	31	1	0	1	168	0	2	17	15	5	0	0	0	17	0	0	0
