"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Euphorbiaceae"	"Fabaceae"	"Larix"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
1402	1439	"Karasye Lake"	53.03	70.22	265	"AWI"	265	3636	4950	4260	0	0	13	0	63	0	0	7	0	0	0	0	2	3	0	2	157	0	0	6	0	0	1	0	0	3	0	0	0	4	0	0	0
1402	1439	"Karasye Lake"	53.03	70.22	275	"AWI"	275	3735	5127	4398	0	0	13	0	49	0	0	2	0	1	0	0	2	1	0	0	156	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0
1402	1439	"Karasye Lake"	53.03	70.22	285	"AWI"	285	4023	5252	4611	0	0	20	1	143	2	87	1	1	0	0	0	0	0	0	0	159	0	0	1	0	0	2	0	0	1	3	0	1	1	0	0	0
1402	1439	"Karasye Lake"	53.03	70.22	295	"AWI"	295	4198	5424	4834	0	0	28	0	68	0	0	0	0	0	0	0	0	1	0	0	117	0	0	4	0	0	1	0	0	1	1	0	0	1	0	0	0
1402	1439	"Karasye Lake"	53.03	70.22	305	"AWI"	305	4592	5615	5109	0	0	10	0	72	0	0	1	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	1	0	0	1	1	0	0	0
1402	1439	"Karasye Lake"	53.03	70.22	315	"AWI"	315	4978	5822	5441	1	0	7	0	38	0	0	0	0	0	0	0	0	0	0	1	141	0	0	7	2	0	1	0	0	1	1	0	2	0	1	0	0
1402	1439	"Karasye Lake"	53.03	70.22	325	"AWI"	325	5266	6139	5741	0	2	19	0	58	0	0	0	1	0	0	2	0	0	0	1	0	0	0	13	0	0	0	0	0	1	1	0	0	2	0	0	0
1402	1439	"Karasye Lake"	53.03	70.22	330	"AWI"	330	5460	6190	5859	0	0	31	1	126	0	0	0	0	0	0	0	0	0	0	0	266	0	0	18	0	0	1	1	0	3	0	0	0	4	0	0	0
1402	1439	"Karasye Lake"	53.03	70.22	335	"AWI"	335	5587	6285	5981	0	0	44	2	146	0	0	0	1	0	0	4	0	0	0	1	0	1	0	29	1	0	0	0	0	4	3	0	1	8	0	0	0
1402	1439	"Karasye Lake"	53.03	70.22	340	"AWI"	340	5644	6494	6096	0	0	25	3	72	0	146	0	1	0	0	0	0	0	0	0	0	1	0	8	2	0	0	0	0	6	1	0	3	1	0	0	0
1402	1439	"Karasye Lake"	53.03	70.22	345	"AWI"	345	5695	6776	6196	0	0	57	2	138	0	0	0	4	0	0	0	4	1	0	0	0	0	0	29	0	0	0	0	0	9	1	0	0	4	0	0	0
