"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Geraniaceae"	"Juglans"	"Lamiaceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Pterocarya"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Tilia"	"Ulmus"
9	9	"Adange"	43.30556	41.33333	108	"AWI"	108	1201	2520	1871	21	40	3	0	2	0	0	0	0	0	5	32	0	0	10	0	0	0	0	0	0	4	50	11	0	0	0	0	0	0	0	1	1
9	9	"Adange"	43.30556	41.33333	109.5	"AWI"	109.5	1328.5	2545.5	1935.5	23	33	0	0	0	0	0	0	0	0	7	25	0	0	10	0	0	0	0	0	0	4	26	0	0	0	0	0	0	0	0	0	0
9	9	"Adange"	43.30556	41.33333	114.5	"AWI"	114.5	1655.5	2643.5	2163.5	33	36	0	0	1	0	0	0	0	0	2	22	0	0	5	0	0	0	0	0	0	8	26	0	0	0	0	0	2	1	0	0	0
9	9	"Adange"	43.30556	41.33333	120.5	"AWI"	120.5	1867.5	2911	2445.5	29	38	1	1	0	0	0	0	0	0	7	26	0	1	11	0	1	5	0	0	0	4	22	0	0	0	0	0	1	0	1	0	1
9	9	"Adange"	43.30556	41.33333	125	"AWI"	125	2064	3004	2577	13	50	2	5	2	0	3	2	4	1	7	23	0	0	20	1	0	4	0	1	4	8	43	0	0	0	13	0	1	0	3	2	1
9	9	"Adange"	43.30556	41.33333	126	"AWI"	126	2111	3027	2607	18	37	1	2	0	0	0	0	0	0	4	25	0	0	10	0	1	0	0	0	0	5	40	0	0	0	0	0	0	0	0	0	2
9	9	"Adange"	43.30556	41.33333	135	"AWI"	135	2348	3320	2854	13	48	1	1	2	0	0	0	0	1	8	82	0	0	11	0	0	0	0	0	0	1	24	0	0	0	0	0	0	0	0	0	0
9	9	"Adange"	43.30556	41.33333	140	"AWI"	140	2485	3448	2996	7	70	2	2	3	0	0	0	1	1	4	46	0	1	5	0	0	3	0	0	0	2	26	0	0	0	3	0	0	2	0	1	0
9	9	"Adange"	43.30556	41.33333	155	"AWI"	155	2809	4103	3405	10	90	3	1	0	32	0	0	1	2	10	4	0	5	4	0	0	4	0	0	0	4	29	0	0	0	11	0	1	6	0	0	1
9	9	"Adange"	43.30556	41.33333	155.5	"AWI"	155.5	2815.5	4130.5	3418.5	11	140	8	1	0	0	0	0	10	1	15	1	0	1	10	0	0	1	0	0	2	4	42	0	4	0	0	0	1	0	0	0	1
9	9	"Adange"	43.30556	41.33333	189	"AWI"	189	3503	5364	4321	7	32	1	1	1	0	0	0	0	0	7	0	0	0	4	0	0	0	0	0	0	4	13	0	0	0	1	0	0	0	0	0	0
9	9	"Adange"	43.30556	41.33333	195	"AWI"	195	3659	5539	4487	8	60	3	4	0	0	0	8	6	0	15	2	0	4	13	0	0	3	0	4	0	3	65	0	4	0	43	0	0	4	5	1	0
9	9	"Adange"	43.30556	41.33333	197	"AWI"	197	3690	5609	4543	3	144	8	7	4	0	1	4	5	1	16	22	0	7	14	0	1	6	0	0	0	3	32	0	3	0	23	0	0	4	3	0	0
9	9	"Adange"	43.30556	41.33333	200	"AWI"	200	3738	5725	4622	2	77	15	10	3	0	1	2	20	1	11	1	1	9	3	1	0	8	1	0	0	1	26	0	1	0	18	0	0	0	1	1	0
