"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caryophyllaceae"	"Ceanothus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Pseudotsuga"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Salix"	"Sambucus"	"Santalaceae"	"Sarcobataceae"	"Saxifragaceae"	"Thalictrum"	"Thuja"	"Tsuga"
937	966	"Gold Lake Bog"	43.65	-122.04167	190	"AWI"	190	5345	5903	5623	31	0	5	0	0	0	0	0	5	0	0	0	1	3	8	0	0	0	325	2	217	2	0	0	0	0	0	3	0	0	0	3	1	0	0	0	0	0	4
937	966	"Gold Lake Bog"	43.65	-122.04167	200	"AWI"	200	5513	6410	5898	10	0	6	1	1	0	1	0	11	0	0	1	0	2	5	3	0	7	437	2	251	1	0	0	0	0	5	0	1	1	0	5	0	0	0	0	0	0	0
937	966	"Gold Lake Bog"	43.65	-122.04167	210	"AWI"	210	5689	6911	6183	13	0	7	0	0	0	4	0	5	0	0	0	0	0	13	2	0	4	304	5	252	3	1	0	0	0	4	0	0	0	0	6	4	1	0	0	0	0	0
937	966	"Gold Lake Bog"	43.65	-122.04167	230	"AWI"	230	6224	7430	6884	16	0	10	2	0	0	4	0	0	0	0	0	4	2	5	1	0	0	272	3	229	1	0	0	0	0	2	3	0	0	0	3	0	1	1	0	0	2	0
937	966	"Gold Lake Bog"	43.65	-122.04167	250	"AWI"	250	6794	7726	7421	17	0	8	0	0	0	9	0	4	0	0	0	0	3	7	0	0	3	316	2	264	0	0	0	0	0	2	2	1	0	0	6	0	1	0	0	0	0	0
937	966	"Gold Lake Bog"	43.65	-122.04167	330	"AWI"	330	7949	8934	8431	13	0	12	1	1	0	5	0	4	0	0	0	1	2	10	1	0	0	1	14	253	5	0	1	0	0	6	6	0	0	4	1	0	0	0	0	0	2	0
937	966	"Gold Lake Bog"	43.65	-122.04167	350	"AWI"	350	8251	9215	8767	15	0	13	2	0	0	6	0	1	0	0	0	1	0	9	0	0	1	13	5	259	5	0	1	0	0	4	5	0	0	0	1	0	2	0	1	0	1	5
937	966	"Gold Lake Bog"	43.65	-122.04167	370	"AWI"	370	8623	9437	9094	18	0	21	0	0	0	5	0	0	0	0	0	4	0	21	0	1	0	15	3	240	2	0	0	0	0	10	4	0	0	0	2	0	5	0	0	0	0	0
937	966	"Gold Lake Bog"	43.65	-122.04167	390	"AWI"	390	9089	9631	9420	18	0	6	0	0	0	6	0	3	0	0	0	11	5	31	0	0	1	0	0	263	1	0	0	0	0	4	2	0	0	2	4	0	3	3	0	0	0	0
937	966	"Gold Lake Bog"	43.65	-122.04167	420	"AWI"	420	9398	10123	9748	18	0	18	1	0	0	3	3	5	0	0	0	2	1	5	0	0	0	94	7	250	3	0	0	0	0	7	3	0	0	0	3	0	2	1	0	0	0	0
937	966	"Gold Lake Bog"	43.65	-122.04167	440	"AWI"	440	9594	10342	9967	26	0	15	1	0	0	9	0	0	0	0	0	0	1	4	0	0	1	205	2	269	2	0	0	0	0	5	4	0	0	0	2	0	0	0	0	0	1	0
937	966	"Gold Lake Bog"	43.65	-122.04167	480	"AWI"	480	10107	10797	10403	13	0	16	2	0	0	6	0	5	0	0	0	0	2	3	0	0	0	218	1	307	3	0	0	0	0	3	8	0	0	0	2	0	0	1	0	0	0	0
937	966	"Gold Lake Bog"	43.65	-122.04167	510	"AWI"	510	10477	11444	10826	17	0	7	1	0	0	13	0	7	0	0	0	0	0	4	0	0	0	188	5	259	6	0	0	0	0	0	0	0	0	0	7	6	2	1	0	1	1	4
937	966	"Gold Lake Bog"	43.65	-122.04167	516	"AWI"	516	10507	11691	10913	8	0	9	0	0	0	4	0	0	0	0	0	0	1	3	0	0	0	112	1	0	1	0	0	0	0	5	1	1	0	0	0	1	1	0	0	0	0	0
