"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cannabaceae"	"Carya"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
7	7	"Three Pines Bog"	47	-80.11667	100	"AWI"	100	1441	2576	2012	1.07066381156317	0	0.214132762312634	0	0	0	0	17.558886509636	0	0.214132762312634	0	0	0.642398286937901	0	1.2847965738758	0.856531049250535	0.428265524625268	0	0.856531049250535	0	0.428265524625268	0	0.428265524625268	2.35546038543897	69.3790149892934	0	0	0	0	2.99785867237687	0	0	0	0	0	0.214132762312634	0	0	0.428265524625268	0.642398286937901
7	7	"Three Pines Bog"	47	-80.11667	110	"AWI"	110	1644	2761	2222	3.36134453781513	0	9.2436974789916	0.840336134453782	0	0	0	46.218487394958	0	0	0	0.840336134453782	4.20168067226891	0	1.68067226890756	0.840336134453782	0	2.52100840336134	2.52100840336134	0	0	0	0.840336134453782	15.1260504201681	0	0	0	0.840336134453782	0.840336134453782	7.56302521008403	0	0	0	0	0	0	0	0.840336134453782	0.840336134453782	0.840336134453782
7	7	"Three Pines Bog"	47	-80.11667	120	"AWI"	120	1843	2970	2429	5.88235294117647	0	9.41176470588235	0	0	0	0	52.9411764705882	0	1.17647058823529	1.17647058823529	0	0	1.17647058823529	2.35294117647059	1.17647058823529	0	1.17647058823529	0	0	0	0	3.52941176470588	11.7647058823529	0	0	0	0	0	5.88235294117647	0	0	0	0	0	0	0	0	2.35294117647059	0
7	7	"Three Pines Bog"	47	-80.11667	130	"AWI"	130	2064	3149	2633	2.4390243902439	0	4.8780487804878	0	0	1.21951219512195	0	58.5365853658537	0	0	0	0	1.21951219512195	0	1.21951219512195	1.21951219512195	0	0	2.4390243902439	0	1.21951219512195	0	2.4390243902439	13.4146341463415	0	0	0	0	0	3.65853658536585	0	0	0	0	0	0	0	0	0	6.09756097560976
7	7	"Three Pines Bog"	47	-80.11667	140	"AWI"	140	2288	3316	2834	5	0	5	0	0	0	0	71.25	0	0	0	0	1.25	0	1.25	0	0	1.25	1.25	0	1.25	0	1.25	5	0	0	1.25	0	0	2.5	0	0	0	0	0	0	0	0	2.5	0
7	7	"Three Pines Bog"	47	-80.11667	150	"AWI"	150	2520	3477	3043	6.58682634730539	2.39520958083832	6.58682634730539	0.598802395209581	0	0.598802395209581	0	43.1137724550898	0	0	1.19760479041916	0	2.9940119760479	0	1.19760479041916	2.39520958083832	1.79640718562874	0.598802395209581	3.59281437125748	0	0.598802395209581	0	1.79640718562874	13.7724550898204	0	0	0	0	0	6.58682634730539	0	0	0	0.598802395209581	0	0	0	0	1.79640718562874	1.19760479041916
7	7	"Three Pines Bog"	47	-80.11667	160	"AWI"	160	2776	3645	3250	2.48447204968944	0	6.83229813664596	0	0	0	0	39.1304347826087	0	0	0	0	21.7391304347826	0	10.5590062111801	0.62111801242236	1.24223602484472	0.62111801242236	2.48447204968944	0	0	0	0	5.59006211180124	0	0	0	0	0	5.59006211180124	0	0	0	0	0	0	0	0	1.24223602484472	1.86335403726708
7	7	"Three Pines Bog"	47	-80.11667	170	"AWI"	170	3029	3783	3453	2.33918128654971	0	7.01754385964912	0.584795321637427	0	1.16959064327485	0	56.7251461988304	0	0	0	0	0	0	7.01754385964912	1.75438596491228	1.16959064327485	0	0.584795321637427	0	1.75438596491228	0.584795321637427	2.92397660818713	2.33918128654971	0	0	0	0	0.584795321637427	9.35672514619883	0	0	0	0.584795321637427	0	0	0	0	1.16959064327485	2.33918128654971
7	7	"Three Pines Bog"	47	-80.11667	180	"AWI"	180	3336	3929	3647	2.72108843537415	0	6.80272108843537	1.36054421768707	0	0	0	62.5850340136054	0	0	0	2.04081632653061	4.76190476190476	0	0	0.680272108843537	1.36054421768707	0	0.680272108843537	0	0	0	0	8.16326530612245	0	0	0.680272108843537	0	0	6.12244897959184	0	0	0	0	0	0	0	0	0	2.04081632653061
7	7	"Three Pines Bog"	47	-80.11667	190	"AWI"	190	3580	4103	3837	3.84615384615385	0	7.69230769230769	0.961538461538462	0	0.961538461538462	0	28.8461538461538	0	0	0	0	36.5384615384615	0	0	1.92307692307692	0	0	2.88461538461538	0	0	0	0.961538461538462	8.65384615384615	0	0	0	0.961538461538462	0	5.76923076923077	0	0	0	0	0	0	0	0	0	0
7	7	"Three Pines Bog"	47	-80.11667	200	"AWI"	200	3726	4343	4013	5.05050505050505	0	6.06060606060606	0	0	2.02020202020202	0	38.3838383838384	0	0	1.01010101010101	0	4.04040404040404	0	6.06060606060606	2.02020202020202	0	0	7.07070707070707	0	1.01010101010101	0	0	8.08080808080808	0	0	1.01010101010101	2.02020202020202	2.02020202020202	7.07070707070707	0	0	0	3.03030303030303	0	0	0	0	0	4.04040404040404
7	7	"Three Pines Bog"	47	-80.11667	210	"AWI"	210	3851	4593	4187	7.57575757575758	0	3.03030303030303	0	0	0	0	36.3636363636364	0	0	0	0	1.51515151515152	0	12.1212121212121	0	0	0	4.54545454545455	0	1.51515151515152	1.51515151515152	1.51515151515152	9.09090909090909	0	0	0	1.51515151515152	1.51515151515152	7.57575757575758	0	0	0	0	0	0	1.51515151515152	0	0	9.09090909090909
7	7	"Three Pines Bog"	47	-80.11667	220	"AWI"	220	3992	4801	4360	10.8910891089109	0	4.95049504950495	0.99009900990099	0	0.99009900990099	0	43.5643564356436	0	0	0.99009900990099	0.99009900990099	1.98019801980198	0	5.94059405940594	0	0	0.99009900990099	3.96039603960396	0	0.99009900990099	0	0	12.8712871287129	0	0	0	0	0	5.94059405940594	0	0	0	0.99009900990099	0	0	0	0	0	2.97029702970297
7	7	"Three Pines Bog"	47	-80.11667	230	"AWI"	230	4130	5008	4536	9.375	0	6.25	0	0	0	0	28.125	0	0	0	0	0	0	12.5	0	0	0	0	0	0	0	0	31.25	0	0	0	0	0	3.125	0	0	0	0	0	0	0	3.125	3.125	3.125
7	7	"Three Pines Bog"	47	-80.11667	240	"AWI"	240	4271	5196	4707	3.03030303030303	0	6.06060606060606	0	0	3.03030303030303	0	30.3030303030303	0	0	0	3.03030303030303	3.03030303030303	0	6.06060606060606	0	0	3.03030303030303	6.06060606060606	0	0	0	3.03030303030303	18.1818181818182	0	0	0	0	0	9.09090909090909	0	0	0	0	0	0	0	0	3.03030303030303	3.03030303030303
7	7	"Three Pines Bog"	47	-80.11667	250	"AWI"	250	4410	5398	4877	0.845070422535211	0	1.40845070422535	0	0	0	0	4.7887323943662	0	0	0	0	0	0	1.12676056338028	0.28169014084507	0	0.845070422535211	1.69014084507042	0	0.28169014084507	0	0.28169014084507	1.97183098591549	84.225352112676	0	0.28169014084507	0	0.28169014084507	0.845070422535211	0	0	0	0.28169014084507	0	0	0.28169014084507	0	0	0.28169014084507
7	7	"Three Pines Bog"	47	-80.11667	260	"AWI"	260	4574	5578	5058	6.06060606060606	9.09090909090909	3.03030303030303	0	0	3.03030303030303	0	30.3030303030303	0	0	0	3.03030303030303	0	0	0	3.03030303030303	0	3.03030303030303	6.06060606060606	0	0	0	3.03030303030303	18.1818181818182	0	0	0	0	3.03030303030303	6.06060606060606	0	0	0	0	0	0	0	0	3.03030303030303	0
7	7	"Three Pines Bog"	47	-80.11667	270	"AWI"	270	4721	5756	5229	2.8169014084507	0	5.63380281690141	0	0	2.8169014084507	0	49.2957746478873	0	1.40845070422535	1.40845070422535	5.63380281690141	0	0	0	0	4.22535211267606	1.40845070422535	2.8169014084507	0	0	0	1.40845070422535	8.45070422535211	0	0	0	1.40845070422535	0	4.22535211267606	0	0	0	2.8169014084507	0	0	0	0	1.40845070422535	2.8169014084507
7	7	"Three Pines Bog"	47	-80.11667	280	"AWI"	280	4894	5925	5406	2.08333333333333	0	2.08333333333333	0	0	0.892857142857143	0	4.76190476190476	0	0	0	0.595238095238095	0.595238095238095	0	0	0	0	0	0.892857142857143	0	0	0	0	2.08333333333333	84.2261904761905	0	0	0.297619047619048	0	0.892857142857143	0	0	0	0	0	0	0	0	0.297619047619048	0.297619047619048
7	7	"Three Pines Bog"	47	-80.11667	290	"AWI"	290	5047	6092	5580	17.0731707317073	0	7.31707317073171	0	0	0	0	14.6341463414634	0	0	0	2.4390243902439	4.8780487804878	0	0	4.8780487804878	0	0	2.4390243902439	0	0	0	0	17.0731707317073	0	0	0	7.31707317073171	0	12.1951219512195	2.4390243902439	0	0	4.8780487804878	0	0	0	0	0	2.4390243902439
7	7	"Three Pines Bog"	47	-80.11667	300	"AWI"	300	5236	6266	5756	1.96078431372549	0	5.88235294117647	3.92156862745098	0	0	0	33.3333333333333	0	0	0	11.7647058823529	9.80392156862745	0	0	0	0	0	3.92156862745098	0	1.96078431372549	0	3.92156862745098	7.84313725490196	0	0	0	1.96078431372549	0	5.88235294117647	0	0	0	0	0	0	0	0	1.96078431372549	5.88235294117647
7	7	"Three Pines Bog"	47	-80.11667	310	"AWI"	310	5402	6431	5934	7.14285714285714	0	7.14285714285714	0	0	4.76190476190476	0	14.2857142857143	0	0	0	2.38095238095238	4.76190476190476	0	9.52380952380952	0	0	0	4.76190476190476	0	7.14285714285714	0	7.14285714285714	9.52380952380952	0	0	0	0	0	4.76190476190476	0	0	0	4.76190476190476	0	0	0	0	0	11.9047619047619
7	7	"Three Pines Bog"	47	-80.11667	320	"AWI"	320	5586	6576	6107	6.06060606060606	0	3.03030303030303	0	0	0	0	21.2121212121212	0	0	0	0	9.09090909090909	0	6.06060606060606	0	0	0	0	0	0	0	6.06060606060606	21.2121212121212	0	0	0	3.03030303030303	0	18.1818181818182	0	0	0	0	0	0	0	0	3.03030303030303	3.03030303030303
7	7	"Three Pines Bog"	47	-80.11667	325	"AWI"	325	5673	6651	6194	5.66037735849057	0	0	0	0	0	0	43.3962264150943	0	0	0	0	0	0	0	0	0	0	1.88679245283019	0	1.88679245283019	0	3.77358490566038	20.7547169811321	0	0	0	0	0	5.66037735849057	0	0	0	3.77358490566038	0	0	0	0	5.66037735849057	7.54716981132075
7	7	"Three Pines Bog"	47	-80.11667	340	"AWI"	340	5952	6873	6458	7.27272727272727	0	5.45454545454545	0	0	0	0	36.3636363636364	0	0	0	0	9.09090909090909	0	5.45454545454545	0	0	0	10.9090909090909	0	0	0	0	14.5454545454545	0	0	0	0	0	5.45454545454545	0	0	0	0	0	0	0	0	0	5.45454545454545
7	7	"Three Pines Bog"	47	-80.11667	350	"AWI"	350	6150	7024	6634	25	0	0	0	0	0	0	19.4444444444444	0	5.55555555555556	0	2.77777777777778	0	0	0	0	0	0	5.55555555555556	0	0	0	2.77777777777778	22.2222222222222	0	0	0	0	0	8.33333333333333	0	0	0	0	0	0	0	0	0	8.33333333333333
7	7	"Three Pines Bog"	47	-80.11667	360	"AWI"	360	6346	7155	6813	4.65116279069767	0	4.65116279069767	2.32558139534884	2.32558139534884	0	0	20.9302325581395	0	0	0	0	16.2790697674419	0	6.97674418604651	0	0	0	16.2790697674419	0	2.32558139534884	0	2.32558139534884	6.97674418604651	0	0	0	2.32558139534884	0	9.30232558139535	0	0	0	0	0	0	0	0	0	2.32558139534884
7	7	"Three Pines Bog"	47	-80.11667	370	"AWI"	370	6564	7287	6989	5.88235294117647	0	2.94117647058824	0	0	0	0	17.6470588235294	0	0	0	5.88235294117647	11.7647058823529	0	2.94117647058824	0	0	0	8.82352941176471	0	5.88235294117647	0	0	11.7647058823529	0	0	0	0	0	5.88235294117647	0	0	0	5.88235294117647	0	0	0	0	0	14.7058823529412
7	7	"Three Pines Bog"	47	-80.11667	380	"AWI"	380	6783	7401	7158	6.06060606060606	0	3.03030303030303	0	0	0	0	15.1515151515152	0	6.06060606060606	0	0	12.1212121212121	0	0	0	0	0	6.06060606060606	0	0	0	6.06060606060606	18.1818181818182	0	0	0	0	0	9.09090909090909	0	0	0	0	0	0	0	0	6.06060606060606	12.1212121212121
7	7	"Three Pines Bog"	47	-80.11667	390	"AWI"	390	7024	7535	7328	8.69565217391304	0	4.34782608695652	4.34782608695652	0	0	0	39.1304347826087	0	0	0	0	0	0	4.34782608695652	4.34782608695652	0	0	8.69565217391304	0	0	0	0	4.34782608695652	0	0	0	0	0	0	0	0	0	4.34782608695652	0	0	0	0	8.69565217391304	8.69565217391304
7	7	"Three Pines Bog"	47	-80.11667	395	"AWI"	395	7086	7687	7407	7.69230769230769	0	0	3.84615384615385	0	0	0	19.2307692307692	0	0	0	0	3.84615384615385	0	3.84615384615385	0	0	0	23.0769230769231	0	0	0	0	23.0769230769231	0	0	0	7.69230769230769	0	3.84615384615385	0	0	0	0	0	0	0	0	0	3.84615384615385
