"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Asteraceae"	"Brassicaceae"	"Cactaceae"	"Campanulaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Gentianaceae"	"Geraniaceae"	"Isoëtes"	"Lamiaceae"	"Malvaceae"	"Myrica"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Polylepis"	"Ranunculaceae"	"Scrophulariaceae"	"Solanaceae"
523	537	"Cumbre Unduavi"	-16.35	-68.04167	125	"AWI"	125	2348	3793	2937	0	0	1	0	0	0	1	8	65	0	0	10	0	30	0	12	0	0	21	16	0	0	0	0
523	537	"Cumbre Unduavi"	-16.35	-68.04167	140	"AWI"	140	2953	5632	4181	1	0	0	0	0	0	0	5	0	0	0	2	0	6	0	11	15	0	26	8	0	0	0	1
523	537	"Cumbre Unduavi"	-16.35	-68.04167	145	"AWI"	145	3382	5861	4626	0	0	0	0	0	0	0	0	2	0	0	0	2	1	0	15	2	0	13	5	1	0	0	0
523	537	"Cumbre Unduavi"	-16.35	-68.04167	155	"AWI"	155	4240	6458	5491	0	0	0	0	0	0	1	1	1	0	0	1	0	4	0	20	0	0	20	3	0	1	0	0
523	537	"Cumbre Unduavi"	-16.35	-68.04167	160	"AWI"	160	4561	6810	5928	0	0	0	0	1	0	1	3	12	0	0	6	0	3	0	8	2	0	56	2	0	0	0	0
523	537	"Cumbre Unduavi"	-16.35	-68.04167	170	"AWI"	170	6001	7420	6711	1	0	0	0	0	0	1	16	87	0	0	70	0	3	0	8	1	0	73	13	0	0	0	2
523	537	"Cumbre Unduavi"	-16.35	-68.04167	180	"AWI"	180	6526	8895	7502	3	0	1	0	0	0	1	10	3	0	0	5	0	1	0	52	0	0	101	17	0	0	0	2
523	537	"Cumbre Unduavi"	-16.35	-68.04167	190	"AWI"	190	7082	9769	8417	0	0	2	0	0	0	5	5	11	0	2	4	0	3	0	43	0	0	34	2	0	0	0	1
523	537	"Cumbre Unduavi"	-16.35	-68.04167	200	"AWI"	200	7890	10377	9329	7	0	0	0	5	0	1	12	5	0	0	6	1	16	0	86	2	0	80	36	5	0	0	3
523	537	"Cumbre Unduavi"	-16.35	-68.04167	210	"AWI"	210	9220	10841	10168	0	0	0	0	0	0	0	17	67	0	1	1	0	1	0	2	0	0	7	5	0	0	0	1
523	537	"Cumbre Unduavi"	-16.35	-68.04167	220	"AWI"	220	10259	11753	10831	0	0	0	0	0	1	0	0	62	0	0	3	0	2	0	1	0	0	35	2	0	0	0	0
523	537	"Cumbre Unduavi"	-16.35	-68.04167	230	"AWI"	230	10551	12942	11400	1	0	0	208	0	0	0	6	100	0	0	0	0	9	0	20	1	0	79	2	0	0	0	5
523	537	"Cumbre Unduavi"	-16.35	-68.04167	240	"AWI"	240	10856	13907	12003	1	0	0	0	0	0	0	28	392	0	0	1	1	8	0	4	1	0	186	4	0	0	0	0
523	537	"Cumbre Unduavi"	-16.35	-68.04167	250	"AWI"	250	11202	14865	12608	7	0	0	0	1	0	2	1	22	0	0	8	0	5	0	9	3	1	113	32	3	0	0	0
523	537	"Cumbre Unduavi"	-16.35	-68.04167	261	"AWI"	261	11645	15779	13253	0	0	0	0	0	0	0	5	18	0	2	1	0	0	0	1	2	0	26	6	1	0	0	0
523	537	"Cumbre Unduavi"	-16.35	-68.04167	270	"AWI"	270	12013	16623	13807	1	0	0	0	1	0	1	2	25	0	0	1	1	3	0	4	2	0	38	3	0	0	0	0
